"","x"
"1","ACHILLEA MILLEFOLIUM"
"2","AGROSTIS CANINA"
"3","AGROSTIS CAPILLARIS"
"4","AGROSTIS SCABRA"
"5","AGROSTIS STOLONIFERA"
"6","ALOPECURUS PRATENSIS"
"7","AMBROSIA PSILOSTACHYA"
"8","AMBROSIA TENUIFOLIA"
"9","AMORPHA CANESCENS"
"10","ANDROPOGON GERARDII"
"11","ANDROPOGON GLOMERATUS"
"12","ANTHOXANTHUM ODORATUM"
"13","ARENARIA SERPYLLIFOLIA"
"14","ARISTIDA PURPUREA"
"15","ARISTIDA STRICTA"
"16","ARRHENATHERUM ELATIUS"
"17","ARTEMISIA LUDOVICIANA"
"18","ASPERULA CYNANCHICA"
"19","AVENELLA FLEXUOSA"
"20","AXYRIS AMARANTHOIDES"
"21","BOUTELOUA GRACILIS"
"22","BRACHYPODIUM PINNATUM"
"23","BRIZA MEDIA"
"24","BROMUS CATHARTICUS"
"25","BROMUS ERECTUS"
"26","CALAMAGROSTIS EPIGEIOS"
"27","CAMPANULA ROTUNDIFOLIA"
"28","CAREX ARENARIA"
"29","CAREX CARYOPHYLLEA"
"30","CAREX FILIFOLIA"
"31","CAREX FLACCA"
"32","CAREX INOPS"
"33","CAREX KORSHINSKYI"
"34","CAREX NIGRA"
"35","CAREX PANICEA"
"36","CAREX PILULIFERA"
"37","CAREX TRISTACHYA"
"38","CAREX VAGINATA"
"39","CENTAUREA JACEA"
"40","CENTAUREA SCABIOSA"
"41","CERASTIUM ARVENSE"
"42","CERASTIUM FONTANUM"
"43","CHAMAECRISTA FASCICULATA"
"44","CHONDROSUM ERIOPODUM"
"45","CHONDROSUM GRACILE"
"46","CLEISTOGENES SQUARROSA"
"47","CLINOPODIUM VULGARE"
"48","COLLINSIA PARVIFLORA"
"49","COMANDRA UMBELLATA"
"50","CONYZA CANADENSIS"
"51","COREOPSIS PALMATA"
"52","CREPIS BIENNIS"
"53","CYNODON DACTYLON"
"54","CYNOSURUS CRISTATUS"
"55","DACTYLIS GLOMERATA"
"56","DACTYLORHIZA MACULATA"
"57","DANTHONIA CALIFORNICA"
"58","DESCHAMPSIA CESPITOSA"
"59","DESCHAMPSIA FLEXUOSA"
"60","DICHANTHELIUM OLIGOSANTHES"
"61","ELYMUS ELYMOIDES"
"62","ELYMUS NUTANS"
"63","ELYMUS TRACHYCAULUS"
"64","ENNEAPOGON CAERULESCENS"
"65","ENNEAPOGON POLYPHYLLUS"
"66","EPILOBIUM BRACHYCARPUM"
"67","ERAGROSTIS DIELSII"
"68","ERAGROSTIS SPECTABILIS"
"69","EREMOGONE CONGESTA"
"70","ERIGERON STRIGOSUS"
"71","ERIOPHORUM VAGINATUM"
"72","EUPHORBIA CYPARISSIAS"
"73","EUPHORBIA ESULA"
"74","EUTHAMIA GRAMINIFOLIA"
"75","FESTUCA ALTAICA"
"76","FESTUCA IDAHOENSIS"
"77","FESTUCA OVINA"
"78","FESTUCA RUBRA"
"79","FESTUCA VIVIPARA"
"80","FRAGARIA VESCA"
"81","GALIUM APARINE"
"82","GALIUM BOREALE"
"83","GALIUM SAXATILE"
"84","GALIUM VERUM"
"85","GAURA COCCINEA"
"86","GLECHOMA HEDERACEA"
"87","GLOBULARIA VULGARIS"
"88","GUTIERREZIA SAROTHRAE"
"89","HELICTOTRICHON PRATENSE"
"90","HESPEROSTIPA COMATA"
"91","HETEROTHECA VILLOSA"
"92","HILARIA JAMESII"
"93","HIPPOCREPIS COMOSA"
"94","HOLCUS LANATUS"
"95","HYPERICUM PERFORATUM"
"96","HYPOCHAERIS RADICATA"
"97","KALLSTROEMIA PARVIFLORA"
"98","KOBRESIA PYGMAEA"
"99","KOELERIA MACRANTHA"
"100","KOELERIA MICRATHERA"
"101","KOELERIA PYRAMIDATA"
"102","LANCEA TIBETICA"
"103","LATHYRUS PRATENSIS"
"104","LESPEDEZA CAPITATA"
"105","LESPEDEZA DAVURICA"
"106","LEUCANTHEMUM VULGARE"
"107","LEYMUS CHINENSIS"
"108","LIATRIS PUNCTATA"
"109","LINUM CATHARTICUM"
"110","LINUM RIGIDUM"
"111","LITHOSPERMUM INCISUM"
"112","LOLIUM PERENNE"
"113","LOTUS CORNICULATUS"
"114","LUZULA MULTIFLORA"
"115","MACHAERANTHERA PINNATIFIDA"
"116","MEDICAGO LUPULINA"
"117","MOLINIA CAERULEA"
"118","OPUNTIA POLYACANTHA"
"119","OXALIS STRICTA"
"120","PANICUM ACUMINATUM"
"121","PANICUM OLIGOSANTHES"
"122","PASCOPYRUM SMITHII"
"123","PEDICULARIS SYLVATICA"
"124","PHRAGMITES AUSTRALIS"
"125","PICRIS HIERACIOIDES"
"126","PIMPINELLA SAXIFRAGA"
"127","PLANTAGO LANCEOLATA"
"128","PLANTAGO PATAGONICA"
"129","POA ANNUA"
"130","POA PRATENSIS"
"131","POA SECUNDA"
"132","POA TRIVIALIS"
"133","POLYGALA VULGARIS"
"134","POLYGONUM SIBIRICUM"
"135","POTENTILLA ANSERINA"
"136","POTENTILLA ERECTA"
"137","POTENTILLA GRANDIFLORA"
"138","POTENTILLA REPTANS"
"139","PRIMULA VERIS"
"140","PROSOPIS GLANDULOSA"
"141","PRUNELLA VULGARIS"
"142","PSEUDOROEGNERIA SPICATA"
"143","PSORALIDIUM TENUIFLORUM"
"144","RANUNCULUS ACRIS"
"145","RATIBIDA COLUMNIFERA"
"146","RHINANTHUS MINOR"
"147","RUBUS CHAMAEMORUS"
"148","RUDBECKIA HIRTA"
"149","RUMEX ACETOSA"
"150","RYTIDOSPERMA CAESPITOSUM"
