"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Achillea millefolium",-123.078681,38.375181,"cdc,cdround","US",NA,"PRESENT",102,"iNaturalist","3873501676","https://www.inaturalist.org/observations/125725809","HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00","WGS84","iNaturalist research-grade observations","125725809"
"Achillea millefolium",-117.03111,32.55917,"cdc,colmano,inmafu","US",NA,"PRESENT",80,"SD","3125036743","https://cch2.org/portal/collections/individual/index.php?occid=436526","PRESERVED_SPECIMEN",2000,5,26,"2000-05-26","WGS84",NA,NA
"Achillea millefolium",-103.115852,39.028971,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573334350","https://botanydb.colorado.edu/collections/individual/index.php?occid=111821","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84",NA,"00478438"
"Achillea millefolium",-105.96903,38.74385,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573333961","https://botanydb.colorado.edu/collections/individual/index.php?occid=112146","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84",NA,"00864579"
"Achillea millefolium",-106.25159,40.40602,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573334797","https://botanydb.colorado.edu/collections/individual/index.php?occid=112210","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84",NA,"00877175"
"Achillea millefolium",-120.166667,44.698333,"cdc,cdround,gass84,ambinst","US",NA,"PRESENT",805,"OSU","3820638141","https://oregonflora.org/collections/individual/index.php?occid=986370","PRESERVED_SPECIMEN",2000,6,9,"2000-06-09","WGS84",NA,"OSC-V-064056"
"Achillea millefolium",-111.179001,58.2598,"osiic,colmano,inmafu","CA",1,"PRESENT",30,"University of Alberta Museums","883416084","https://search.museums.ualberta.ca/12-111962","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","University of Alberta Vascular Plant Herbarium (ALTA-VP)","126050"
"Achillea millefolium",-62.754444,46.204722,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859312743","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858138","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84",NA,"CM496568"
"Achillea millefolium",-61.239722,45.611667,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859342719","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858140","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84",NA,"CM496584"
"Achillea millefolium",-69.339444,44.732778,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"CM","2859343725","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858142","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84",NA,"CM496608"
"Achillea millefolium",-69.343611,44.750833,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"CM","2859055712","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858143","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84",NA,"CM496649"
"Achillea millefolium",-67.345556,45.121944,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"CM","2859051731","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858144","PRESERVED_SPECIMEN",2000,7,13,"2000-07-13","WGS84",NA,"CM496666"
"Achillea millefolium",-65.168611,45.814444,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859309739","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858153","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84",NA,"CM496862"
"Achillea millefolium",-74.64,41.374722,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"CM","2859311760","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858154","PRESERVED_SPECIMEN",2000,7,15,"2000-07-15","WGS84",NA,"CM496925"
"Achillea millefolium",-65.713056,45.837222,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859342720","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858159","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84",NA,"CM496968"
"Achillea millefolium",-67.47,45.098333,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"CM","2859311761","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858172","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84",NA,"CM497263"
"Achillea millefolium",-65.820556,45.9375,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859052729","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858182","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84",NA,"CM497439"
"Achillea millefolium",-67.358611,46.959444,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859058727","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858183","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84",NA,"CM497557"
"Achillea millefolium",-67.548056,46.3875,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859049745","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858184","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84",NA,"CM497568"
"Achillea millefolium",-71.066667,42.983611,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"CM","2859310765","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858189","PRESERVED_SPECIMEN",2000,7,15,"2000-07-15","WGS84",NA,"CM497739"
"Achillea millefolium",-120.7086,35.3261,"cdc,inmafu","US",NA,"PRESENT",750,"SBBG","3053454701","https://cch2.org/portal/collections/individual/index.php?occid=120514","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84",NA,"SBBG156798"
"Achillea millefolium",-79.0161,48.2853,"colmafu,inmafu,diffown","CA",NA,"PRESENT",350,"Université de Montréal Biodiversity Centre","473367700",NA,"PRESERVED_SPECIMEN",2000,7,16,"2000-07-16","WGS84","Marie-Victorin Herbarium (MT)","MT00014801"
"Achillea millefolium",-115.24416,45.304493,"cdc,incomis,inmafu","US",NA,"PRESENT",1000,"IDS","4073726454",NA,"PRESERVED_SPECIMEN",2000,7,23,"2000-07-23","WGS84",NA,"2014.003"
"Achillea millefolium",-76.441596,41.892646,"cdc,cdround","US",NA,"PRESENT",15,"iNaturalist","2423061144","https://www.inaturalist.org/observations/32690296","HUMAN_OBSERVATION",2000,7,6,"2000-07-06","WGS84","iNaturalist research-grade observations","32690296"
"Achillea millefolium",-94.7042811,59.3344588,"cdrep,cdround","CA",NA,"PRESENT",1000,"WIN","2028086320","https://nansh.org/portal/collections/individual/index.php?occid=30464544","PRESERVED_SPECIMEN",2000,7,17,"2000-07-17","WGS84",NA,"81846"
"Achillea millefolium",-116.67758,47.009373,"cdc,inmafu","US",NA,"PRESENT",946,"MISSA","3829941324","https://sernecportal.org/portal/collections/individual/index.php?occid=5780657","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84",NA,"MISSA003462"
"Achillea millefolium",-118.56,37.17,"cdc,gass84,inmafu","US",NA,"PRESENT",1000,"SFV","2575160783","https://cch2.org/portal/collections/individual/index.php?occid=613484","PRESERVED_SPECIMEN",2000,7,30,"2000-07-30","WGS84",NA,"SFV101287"
"Achillea millefolium",-98.667222,19.268333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"INECOL","1897382193",NA,"PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","Actualización y depuración de la base de datos del Herbario del Instituto de Ecología, AC, Centro Regional del Bajío. Fase 2","164683"
"Achillea millefolium",-123.574722,45.954444,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"CM","2859313734","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858191","PRESERVED_SPECIMEN",2000,8,11,"2000-08-11","WGS84",NA,"CM497783"
"Achillea millefolium",-100.97,25.355,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX",1,"PRESENT",50,"IBUNAM","3308111535",NA,"PRESERVED_SPECIMEN",2000,8,4,"2000-08-04","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1356896"
"Achillea millefolium",-98.6672,19.26833,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX",1,"PRESENT",80,"IBUNAM","3308668947",NA,"PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1128497"
"Achillea millefolium",-98.7322,19.31708,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX",1,"PRESENT",80,"IBUNAM","3308570524",NA,"PRESERVED_SPECIMEN",2000,12,7,"2000-12-07","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1029553"
"Achillea millefolium",-98.894444,19.524722,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417914241",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-16"
"Achillea millefolium",-98.895833,19.530278,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417925909",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-17"
"Achillea millefolium",-98.881389,19.505,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417914826",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-23"
"Achillea millefolium",-98.88,19.51,"cdc,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417927450",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-11"
"Achillea millefolium",-98.888889,19.521944,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417915919",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-5"
"Achillea millefolium",-98.891667,19.491667,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417914820",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-22"
"Achillea millefolium",-98.879722,19.51,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417925195",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-12"
"Achillea millefolium",-98.884722,19.523611,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417930547",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","JACS-MAX-001-25"
"Achillea millefolium",-98.808333,19.508333,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417918794",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-7"
"Achillea millefolium",-98.881944,19.505556,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417916205",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-1"
"Achillea millefolium",-98.86,19.48,"cdc,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417924612",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-4"
"Achillea millefolium",-98.881667,19.505278,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417918250",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-3"
"Achillea millefolium",-98.708333,19.425,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417921200",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-19"
"Achillea millefolium",-98.875,19.425,"cdc,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417930102",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-20"
"Achillea millefolium",-98.897222,19.527222,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417932079",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-21"
"Achillea millefolium",-98.925,19.508333,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417924138",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-24"
"Achillea millefolium",-98.905556,19.51,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417918023",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-13"
"Achillea millefolium",-98.86,19.503056,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417927498",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-8"
"Achillea millefolium",-98.891667,19.525,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417933134",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-18"
"Achillea millefolium",-98.890278,19.522222,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417913300",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-9"
"Achillea millefolium",-98.882222,19.505833,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417931254",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-2"
"Achillea millefolium",-98.886111,19.529167,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417919022",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-14"
"Achillea millefolium",-98.8875,19.525,"cdc,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417921139",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-6"
"Achillea millefolium",-98.893056,19.524444,"cdc,cdround,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",80,"UACh","1417926467",NA,"PRESERVED_SPECIMEN",1999,2,14,"1999-02-14","WGS84","Computarización de la base de datos del Banco Nacional de Germoplasma Vegetal-Fase 2","BANGEV-MAX-001-10"
