"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Agrostis capillaris",-120.377202,39.803053,"cdc,colmafu,inmafu","US",NA,"PRESENT",969,"RENO","4404884878","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4339454","PRESERVED_SPECIMEN",2000,8,2,"2000-08-02","WGS84",NA,"27060"
"Agrostis capillaris",-123.034722,39.923611,"cdc,ambinst","US",NA,"PRESENT",402,"CHSC","2418011731","https://cch2.org/portal/collections/individual/index.php?occid=2107944","PRESERVED_SPECIMEN",1999,6,28,"1999-06-28","WGS84",NA,"CHSC092667"
"Agrostis capillaris",-115.705156,45.102971,"cdc,incomis,inmafu","US",NA,"PRESENT",598,"ID","4073909048",NA,"PRESERVED_SPECIMEN",1999,7,23,"1999-07-23","WGS84",NA,"168077"
"Agrostis capillaris",-121.160924,44.201171,"cdc,cdround,ambinst","US",NA,"PRESENT",201,"OSU","3820530887","https://oregonflora.org/collections/individual/index.php?occid=980484","PRESERVED_SPECIMEN",1998,8,20,"1998-08-20","WGS84",NA,NA
"Agrostis capillaris",-122.849698,44.211881,"cdc,cdround,gass84,colmafu,inmafu","US",NA,"PRESENT",402,"ASU","2270488542","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13764479","PRESERVED_SPECIMEN",1997,6,29,"1997-06-29","WGS84",NA,NA
"Agrostis capillaris",-122.775784,43.989784,"cdc,inmafu","US",NA,"PRESENT",969,"CDA","3059691132","https://cch2.org/portal/collections/individual/index.php?occid=4111729","PRESERVED_SPECIMEN",1997,6,30,"1997-06-30","WGS84",NA,"CDA-0044985"
"Agrostis capillaris",-123.94972,46.15086,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820644261","https://oregonflora.org/collections/individual/index.php?occid=988654","PRESERVED_SPECIMEN",1997,6,24,"1997-06-24","WGS84",NA,NA
"Agrostis capillaris",-123.730168,43.201056,"cdc,colmafu,inmafu","US",NA,"PRESENT",400,"RENO","4404884877","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4339453","PRESERVED_SPECIMEN",1997,7,25,"1997-07-25","WGS84",NA,"27059"
"Agrostis capillaris",-123.738463,43.910896,"ambcol","US",NA,"PRESENT",907,"KU","2248083583",NA,"PRESERVED_SPECIMEN",1997,7,22,"1997-07-22","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","423757"
"Agrostis capillaris",-121.5490814,39.518513,"cdc,cdrep,colmano","US",NA,"PRESENT",804.67,"JEPS","4602316177",NA,"PRESERVED_SPECIMEN",1997,9,27,"1997-09-27","WGS84",NA,"JEPS95035"
"Agrostis capillaris",-123.243,44.607,"cdc,gass84,ambinst","US",NA,"PRESENT",805,"OSU","3820547944","https://oregonflora.org/collections/individual/index.php?occid=1029127","PRESERVED_SPECIMEN",1996,6,30,"1996-06-30","WGS84",NA,NA
"Agrostis capillaris",-123.401113,42.093102,"cdc,cdround,ambinst","US",NA,"PRESENT",402,"OSU","3820658999","https://oregonflora.org/collections/individual/index.php?occid=1029172","PRESERVED_SPECIMEN",1996,7,30,"1996-07-30","WGS84",NA,NA
"Agrostis capillaris",-123.410885,42.100376,"cdc,cdround,ambinst","US",NA,"PRESENT",402,"OSU","3820559322","https://oregonflora.org/collections/individual/index.php?occid=1037328","PRESERVED_SPECIMEN",1996,7,30,"1996-07-30","WGS84",NA,NA
"Agrostis capillaris",-123.9099,39.8855,"cdc,inmafu","US",NA,"PRESENT",130,"DAV","2421692244","https://cch2.org/portal/collections/individual/index.php?occid=1318756","PRESERVED_SPECIMEN",1995,6,8,"1995-06-08","WGS84",NA,NA
"Agrostis capillaris",-123.96469,39.94267,"cdc,inmafu","US",NA,"PRESENT",114,"DAV","2421693196","https://cch2.org/portal/collections/individual/index.php?occid=1318757","PRESERVED_SPECIMEN",1995,6,24,"1995-06-24","WGS84",NA,NA
"Agrostis capillaris",-122.10435,42.81399,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820551900","https://oregonflora.org/collections/individual/index.php?occid=1028932","PRESERVED_SPECIMEN",1995,7,26,"1995-07-26","WGS84",NA,NA
"Agrostis capillaris",-121.8030365,48.0759233,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",805,"WWB","4070126949",NA,"PRESERVED_SPECIMEN",1995,7,24,"1995-07-24","WGS84",NA,"22426"
"Agrostis capillaris",-122.297665,42.979765,"cdc,cdround,ambinst","US",NA,"PRESENT",402,"OSU","3820648931","https://oregonflora.org/collections/individual/index.php?occid=1004566","PRESERVED_SPECIMEN",1995,8,30,"1995-08-30","WGS84",NA,NA
"Agrostis capillaris",-122.829724,45.508744,"cdc,incomis,inmafu","US",NA,"PRESENT",209,"HPSU","4070148394",NA,"PRESERVED_SPECIMEN",1993,7,7,"1993-07-07","WGS84",NA,"6207"
"Agrostis capillaris",-122.46211,37.876964,"","US",NA,"PRESENT",100,"CAS","1426228537",NA,"PRESERVED_SPECIMEN",1993,7,2,"1993-07-02","WGS84",NA,"127493"
"Agrostis capillaris",-116.9653806,46.7365711,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073941875",NA,"PRESERVED_SPECIMEN",1992,7,24,"1992-07-24","WGS84",NA,"129218"
"Agrostis capillaris",-120.754722,39.751111,"cdc,ambinst","US",NA,"PRESENT",805,"CHSC","2417981379","https://cch2.org/portal/collections/individual/index.php?occid=2065942","PRESERVED_SPECIMEN",1992,8,30,"1992-08-30","WGS84",NA,"CHSC059842"
"Agrostis capillaris",-123.9129,39.8912,"cdc,inmafu","US",NA,"PRESENT",100,"HSC","2982032830","https://cch2.org/portal/collections/individual/index.php?occid=1832471","PRESERVED_SPECIMEN",1989,7,8,"1989-07-08","WGS84",NA,NA
"Agrostis capillaris",-122.39524,42.46819,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820638856","https://oregonflora.org/collections/individual/index.php?occid=979893","PRESERVED_SPECIMEN",1989,7,7,"1989-07-07","WGS84",NA,NA
"Agrostis capillaris",-123.92909,43.48223,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820663649","https://oregonflora.org/collections/individual/index.php?occid=1020987","PRESERVED_SPECIMEN",1988,7,10,"1988-07-10","WGS84",NA,NA
"Agrostis capillaris",-123.30019,44.13571,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820534189","https://oregonflora.org/collections/individual/index.php?occid=988409","PRESERVED_SPECIMEN",1988,8,10,"1988-08-10","WGS84",NA,NA
"Agrostis capillaris",-121.732597,46.803825,"cdc,incomis,inmafu","US",NA,"PRESENT",500,"MORA","4068346120",NA,"PRESERVED_SPECIMEN",1988,9,14,"1988-09-14","WGS84",NA,"MORA-00240"
"Agrostis capillaris",-115.515022,45.6194884,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073882581",NA,"PRESERVED_SPECIMEN",1987,7,29,"1987-07-29","WGS84",NA,"97735"
"Agrostis capillaris",-120.921667,39.768333,"cdround","US",NA,"PRESENT",805,"CAS","1426228510",NA,"PRESERVED_SPECIMEN",1987,9,22,"1987-09-22","WGS84",NA,"127498"
"Agrostis capillaris",-117.017971,46.720325,"cdc,inmano","US",NA,"PRESENT",500,"IDE","4074146009",NA,"PRESERVED_SPECIMEN",1986,9,20,"1986-09-20","WGS84",NA,"4140"
"Agrostis capillaris",-123.41172,45.30997,"cdc,inmafu","US",NA,"PRESENT",805,"CDA","3059691154","https://cch2.org/portal/collections/individual/index.php?occid=4111730","PRESERVED_SPECIMEN",1985,7,5,"1985-07-05","WGS84",NA,"CDA-0046095"
"Agrostis capillaris",-122.07031,46.193403,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820659767","https://oregonflora.org/collections/individual/index.php?occid=1024331","PRESERVED_SPECIMEN",1983,6,25,"1983-06-25","WGS84",NA,NA
"Agrostis capillaris",-122.272467,46.276429,"cdc,cdround,ambinst","US",NA,"PRESENT",805,"OSU","3820536901","https://oregonflora.org/collections/individual/index.php?occid=1004722","PRESERVED_SPECIMEN",1983,7,26,"1983-07-26","WGS84",NA,NA
"Agrostis capillaris",-123.1447,41.9417,"cdc,inmafu","US",NA,"PRESENT",700,"SJSU","2451553171","https://cch2.org/portal/collections/individual/index.php?occid=367674","PRESERVED_SPECIMEN",1981,7,4,"1981-07-04","WGS84",NA,"11317"
"Agrostis capillaris",-122.7024,38.5648,"","US",NA,"PRESENT",1000,"CAS","1426228525",NA,"PRESERVED_SPECIMEN",1980,6,28,"1980-06-28","WGS84",NA,"127485"
"Agrostis capillaris",-124.19344,42.2435,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820650900","https://oregonflora.org/collections/individual/index.php?occid=1003874","PRESERVED_SPECIMEN",1978,6,25,"1978-06-25","WGS84",NA,NA
"Agrostis capillaris",-122.9175,43.71578,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820587355","https://oregonflora.org/collections/individual/index.php?occid=1112610","PRESERVED_SPECIMEN",1978,7,10,"1978-07-10","WGS84",NA,NA
