"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Agrostis scabra",-105,24.5,"cdc,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895891254",NA,"PRESERVED_SPECIMEN",2000,2,8,"2000-02-08","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Agrostis scabra",-65.820556,45.9375,"cdc,colmafu,inmafu","CA",NA,"PRESENT",100,"CM","2859252080","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695441","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84",NA,"CM497713"
"Agrostis scabra",-77.95,40.766667,"cdc,colmafu,inmafu","US",NA,"PRESENT",50,"CM","2859276089","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11696176","PRESERVED_SPECIMEN",2000,7,27,"2000-07-27","WGS84",NA,"CM504586"
"Agrostis scabra",-119.98289,38.86718,"cdc,inmafu","US",NA,"PRESENT",962,"DAV","2421687050","https://cch2.org/portal/collections/individual/index.php?occid=1312758","PRESERVED_SPECIMEN",2000,7,25,"2000-07-25","WGS84",NA,NA
"Agrostis scabra",-75.307177,41.898256,"cdc,inmafu","US",NA,"PRESENT",325,"MOAR","4064838198","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16918164","PRESERVED_SPECIMEN",2000,7,7,"2000-07-07","WGS84",NA,"MOAR0018311"
"Agrostis scabra",-91.279172,47.269217,"cdc,gass84,ambcol","US",NA,"PRESENT",969,"MIN","2265428167","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=173790","PRESERVED_SPECIMEN",2000,7,25,"2000-07-25","WGS84",NA,"463599"
"Agrostis scabra",-91.253875,47.293714,"cdc,gass84,ambcol","US",NA,"PRESENT",969,"MIN","2265432440","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176391","PRESERVED_SPECIMEN",2000,7,27,"2000-07-27","WGS84",NA,"432467"
"Agrostis scabra",-91.161398,47.422385,"cdc,gass84,ambcol","US",NA,"PRESENT",969,"MIN","2265433112","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176912","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84",NA,"493640"
"Agrostis scabra",-106.56805,40.85744,"cdc,ambinst","US",NA,"PRESENT",500,"COLO","2573446019","https://botanydb.colorado.edu/collections/individual/index.php?occid=32314","PRESERVED_SPECIMEN",2000,7,27,"2000-07-27","WGS84",NA,"00919324"
"Agrostis scabra",-91.203696,47.378962,"cdc,gass84,ambcol","US",NA,"PRESENT",969,"MIN","2265555611","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=8524","PRESERVED_SPECIMEN",2000,7,25,"2000-07-25","WGS84",NA,"437838"
