"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Agrostis stolonifera",-112.08333,35.83333,"cdc,inmafu","US",NA,"PRESENT",10,"ASC","3091199286","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2082517","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84",NA,"ASC00076816"
"Agrostis stolonifera",-102.99028,39.29139,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573446858","https://botanydb.colorado.edu/collections/individual/index.php?occid=31927","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84",NA,"00673533"
"Agrostis stolonifera",-116.691552,44.545901,"cdc,incomis,inmafu","US",NA,"PRESENT",795,"ID","4073847560",NA,"PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84",NA,"172044"
"Agrostis stolonifera",-121.99587,37.8973,"cdc,gass84,inmafu","US",NA,"PRESENT",1000,"RSA","2430145079","https://cch2.org/portal/collections/individual/index.php?occid=1115870","PRESERVED_SPECIMEN",2000,7,16,"2000-07-16","WGS84",NA,"RSA0033844"
"Agrostis stolonifera",-97.052,49.8116,"cdc,inmano","CA",NA,"PRESENT",1000,"LPMMBH","1291636725",NA,"PRESERVED_SPECIMEN",2000,7,18,"2000-07-18","WGS84","Living Prairie Museum Manitoba Herbarium (LPMMBH)","165"
"Agrostis stolonifera",-120.675556,39.371389,"cdc,ambinst","US",NA,"PRESENT",201,"CHSC","2417996303","https://cch2.org/portal/collections/individual/index.php?occid=2082516","PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84",NA,"CHSC078551"
"Agrostis stolonifera",-103.422032,43.804407,"cdc,inmafu","US",NA,"PRESENT",624,"BHSC","2632244310","https://ngpherbaria.org/portal/collections/individual/index.php?occid=24938211","PRESERVED_SPECIMEN",2000,8,15,"2000-08-15","WGS84",NA,"BHSC0029822"
"Agrostis stolonifera",-116.061013,45.034126,"cdc,gass84,incomis,inmafu","US",NA,"PRESENT",90,"IDS","4073690771",NA,"PRESERVED_SPECIMEN",2000,8,22,"2000-08-22","WGS84",NA,"2014.003"
"Agrostis stolonifera",-117.3099,42.1425,"cdc,inmano","US",NA,"PRESENT",6,"VALE","4074152845",NA,"PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84",NA,"3825"
"Agrostis stolonifera",-73.576,45.6614,"colmafu,inmafu,diffown","CA",NA,"PRESENT",100,"Université de Montréal Biodiversity Centre","473307405",NA,"PRESERVED_SPECIMEN",1999,7,1,"1999-07-01","WGS84","Marie-Victorin Herbarium (MT)","MT00012693"
"Agrostis stolonifera",-104.001477,44.467239,"cdc,inmafu","US",NA,"PRESENT",969,"BHSC","2632244311","https://ngpherbaria.org/portal/collections/individual/index.php?occid=24938215","PRESERVED_SPECIMEN",1999,7,6,"1999-07-06","WGS84",NA,"BHSC0032721"
"Agrostis stolonifera",-115.928548,45.049623,"cdc,incomis,inmafu","US",NA,"PRESENT",90,"ID","4073835115",NA,"PRESERVED_SPECIMEN",1999,7,23,"1999-07-23","WGS84",NA,"167812"
"Agrostis stolonifera",-123.1088,44.58272,"cdc,gass84,ambinst","US",NA,"PRESENT",805,"OSU","3820561919","https://oregonflora.org/collections/individual/index.php?occid=1052377","PRESERVED_SPECIMEN",1999,9,21,"1999-09-21","WGS84",NA,NA
"Agrostis stolonifera",-111.476861,40.647451,"cdc,inmafu","US",NA,"PRESENT",855,"Weber State University","4010495808","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30405141","PRESERVED_SPECIMEN",1999,9,10,"1999-09-10","WGS84",NA,"WSCO002294"
"Agrostis stolonifera",-104.353,33.437,"cdc,colmafu,inmafu","US",NA,"PRESENT",285,"UNM","1843820526","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4031004","PRESERVED_SPECIMEN",1998,5,15,"1998-05-15","WGS84",NA,"UNM0095908"
"Agrostis stolonifera",-118.028654,44.173639,"cdc,cdround,ambinst","US",NA,"PRESENT",201,"OSU","3820683357","https://oregonflora.org/collections/individual/index.php?occid=1037636","PRESERVED_SPECIMEN",1998,7,29,"1998-07-29","WGS84",NA,NA
"Agrostis stolonifera",-113.78652,53.41705,"cdc,colmafu,inmafu","CA",NA,"PRESENT",600,"ASU","2270498346","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16780167","PRESERVED_SPECIMEN",1998,7,10,"1998-07-10","WGS84",NA,NA
