"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Alopecurus pratensis",-116.428971,44.716258,"cdc,incomis,inmafu","US","PRESENT",852,"ID","4073762783",NA,"PRESERVED_SPECIMEN",2000,5,18,"2000-05-18","WGS84",NA,"172141"
"Alopecurus pratensis",-121.07685,44.21391,"cdc,ambinst","US","PRESENT",805,"OSU","3820659307","https://oregonflora.org/collections/individual/index.php?occid=1013504","PRESERVED_SPECIMEN",2000,6,6,"2000-06-06","WGS84",NA,NA
"Alopecurus pratensis",-106.16636,40.84991,"cdc,ambinst","US","PRESENT",500,"COLO","2573444636","https://botanydb.colorado.edu/collections/individual/index.php?occid=32318","PRESERVED_SPECIMEN",2000,6,18,"2000-06-18","WGS84",NA,"00919407"
"Alopecurus pratensis",-106.42263,39.58892,"cdc,ambinst","US","PRESENT",1000,"COLO","2573459289","https://botanydb.colorado.edu/collections/individual/index.php?occid=374930","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84",NA,"02137164"
"Alopecurus pratensis",-111.4197785,43.4158363,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073806775",NA,"PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84",NA,"118410"
"Alopecurus pratensis",-123.09762,44.01836,"cdc,ambinst","US","PRESENT",805,"OSU","3820687980","https://oregonflora.org/collections/individual/index.php?occid=1052032","PRESERVED_SPECIMEN",1998,4,7,"1998-04-07","WGS84",NA,NA
"Alopecurus pratensis",-121.181008,44.154237,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820685152","https://oregonflora.org/collections/individual/index.php?occid=1056429","PRESERVED_SPECIMEN",1998,5,7,"1998-05-07","WGS84",NA,NA
"Alopecurus pratensis",-117.575351,47.456535,"cdc,colmafu,inmafu","US","PRESENT",969,"EWU","4070137914",NA,"PRESERVED_SPECIMEN",1998,5,12,"1998-05-12","WGS84",NA,"10304"
"Alopecurus pratensis",-106.583924,38.979853,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573445109","https://botanydb.colorado.edu/collections/individual/index.php?occid=31696","PRESERVED_SPECIMEN",1998,6,12,"1998-06-12","WGS84",NA,"00540864"
"Alopecurus pratensis",-105.45709,37.93076,"cdc,ambinst","US","PRESENT",805,"COLO","2573445118","https://botanydb.colorado.edu/collections/individual/index.php?occid=32382","PRESERVED_SPECIMEN",1998,6,22,"1998-06-22","WGS84",NA,"00942037"
