"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Ambrosia psilostachya",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573338244","https://botanydb.colorado.edu/collections/individual/index.php?occid=115802","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84",NA,"00655217"
"Ambrosia psilostachya",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573337000","https://botanydb.colorado.edu/collections/individual/index.php?occid=115788","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84",NA,"00645887"
"Ambrosia psilostachya",-102.78194,38.48056,"cdc,ambinst","US","PRESENT",250,"COLO","2573339125","https://botanydb.colorado.edu/collections/individual/index.php?occid=115790","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84",NA,"00646075"
"Ambrosia psilostachya",-103.1625,38.85528,"cdc,ambinst","US","PRESENT",250,"COLO","2573338030","https://botanydb.colorado.edu/collections/individual/index.php?occid=115797","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84",NA,"00649475"
"Ambrosia psilostachya",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573337397","https://botanydb.colorado.edu/collections/individual/index.php?occid=115799","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84",NA,"00653485"
"Ambrosia psilostachya",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573337346","https://botanydb.colorado.edu/collections/individual/index.php?occid=115823","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84",NA,"00691287"
"Ambrosia psilostachya",-92.748898,45.528557,"cdc,cdround","US","PRESENT",61,"iNaturalist","4525148862","https://www.inaturalist.org/observations/199318927","HUMAN_OBSERVATION",2000,8,16,"2000-08-16T15:22","WGS84","iNaturalist research-grade observations","199318927"
"Ambrosia psilostachya",-111.910556,40.430833,"cdc,gass84","US","PRESENT",500,"USU","3962315355","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30176114","PRESERVED_SPECIMEN",2000,8,11,"2000-08-11","WGS84",NA,NA
"Ambrosia psilostachya",-103.358611,39.037999,"ambcol","US","PRESENT",819,"KU","415719814",NA,"PRESERVED_SPECIMEN",2000,9,30,"2000-09-30","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","365714"
"Ambrosia psilostachya",-103.355574,39.038129,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573337923","https://botanydb.colorado.edu/collections/individual/index.php?occid=115667","PRESERVED_SPECIMEN",2000,9,30,"2000-09-30","WGS84",NA,"00487728"
