"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Amorpha canescens",-99.381035,36.627041,"ambcol","US","PRESENT",582,"KU","176873899",NA,"PRESERVED_SPECIMEN",2000,5,24,"2000-05-24","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","333718"
"Amorpha canescens",-93.166507,45.382973,"cdc,cdround","US","PRESENT",278,"iNaturalist","4597007657","https://www.inaturalist.org/observations/202336999","HUMAN_OBSERVATION",2000,7,4,"2000-07-04T16:05","WGS84","iNaturalist research-grade observations","202336999"
"Amorpha canescens",-95.20028,38.805536,"ambcol","US","PRESENT",451,"KU","176874347",NA,"PRESERVED_SPECIMEN",1999,5,15,"1999-05-15","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","323028"
"Amorpha canescens",-92.339224,44.519991,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265429265","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=173845","PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84",NA,"488828"
"Amorpha canescens",-91.991839,38.947196,"cdc,gass84,incomis,inmafu","US","PRESENT",249,"CHAS","1802532060","http://arctos.database.museum/guid/CHAS:Herb:2015.16.30","PRESERVED_SPECIMEN",1999,6,15,"1999-06-15","WGS84",NA,"CHAS:Herb:2015.16.30"
"Amorpha canescens",-93.939321,44.507469,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265444448","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=188835","PRESERVED_SPECIMEN",1999,8,2,"1999-08-02","WGS84",NA,"479987"
"Amorpha canescens",-94.366246,44.841409,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265471474","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=3076","PRESERVED_SPECIMEN",1999,8,17,"1999-08-17","WGS84",NA,"510572"
"Amorpha canescens",-98.806705,39.576783,"ambcol","US","PRESENT",304,"KU","176874326",NA,"PRESERVED_SPECIMEN",1998,5,28,"1998-05-28","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","317541"
"Amorpha canescens",-104.617,37.14239,"cdc,ambinst","US","PRESENT",1000,"COLO","2573480343","https://botanydb.colorado.edu/collections/individual/index.php?occid=60457","PRESERVED_SPECIMEN",1998,6,27,"1998-06-27","WGS84",NA,"00941138"
"Amorpha canescens",-94.87095,37.957347,"ambcol","US","PRESENT",141,"KU","176874342",NA,"PRESERVED_SPECIMEN",1998,7,11,"1998-07-11","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","320056"
"Amorpha canescens",-95.997622,39.083998,"ambcol","US","PRESENT",600,"KU","176874058",NA,"PRESERVED_SPECIMEN",1997,6,18,"1997-06-18","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","313319"
"Amorpha canescens",-94.656082,38.834438,"ambcol","US","PRESENT",281,"KU","176874261",NA,"PRESERVED_SPECIMEN",1997,6,27,"1997-06-27","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","312503"
"Amorpha canescens",-95.196114,44.631448,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265503851","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=6058","PRESERVED_SPECIMEN",1997,6,26,"1997-06-26","WGS84",NA,"482427"
"Amorpha canescens",-95.274719,38.181119,"ambcol","US","PRESENT",477,"KU","176873882",NA,"PRESERVED_SPECIMEN",1997,7,5,"1997-07-05","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","315646"
"Amorpha canescens",-94.978778,39.257884,"ambcol","US","PRESENT",380,"KU","176873917",NA,"PRESERVED_SPECIMEN",1997,7,13,"1997-07-13","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","312533"
"Amorpha canescens",-95.014276,39.262897,"ambcol","US","PRESENT",439,"KU","176873921",NA,"PRESERVED_SPECIMEN",1997,7,13,"1997-07-13","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","312552"
"Amorpha canescens",-98.33033,39.461618,"ambcol","US","PRESENT",168,"KU","176873832",NA,"PRESERVED_SPECIMEN",1997,8,19,"1997-08-19","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","315160"
