"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Andropogon gerardi",-103.43028,38.92306,"cdc,txmatfuz,ambinst","US","PRESENT",250,"COLO","2573446759","https://botanydb.colorado.edu/collections/individual/index.php?occid=31835","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84",NA,"00645184"
"Andropogon gerardi",-94.251565,45.933896,"cdc,gass84,txmatfuz,ambcol","US","PRESENT",969,"MIN","2265435795","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=180951","PRESERVED_SPECIMEN",2000,9,17,"2000-09-17","WGS84",NA,"436411"
"Andropogon gerardi",-102.0625,38.85528,"cdc,txmatfuz,ambinst","US","PRESENT",250,"COLO","2573446228","https://botanydb.colorado.edu/collections/individual/index.php?occid=31843","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84",NA,"00645333"
"Andropogon gerardi",-106.833,29,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",60,"IBUNAM","3308638133",NA,"PRESERVED_SPECIMEN",2000,10,7,"2000-10-07","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1236014"
"Andropogon gerardi",-104.005213,44.555643,"cdc,txmatfuz,inmafu","US","PRESENT",969,"BHSC","2632245611","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25004014","PRESERVED_SPECIMEN",1999,7,15,"1999-07-15","WGS84",NA,"BHSC0032905"
"Andropogon gerardi",-78.070937,44.588317,"cdc,cdround","CA","PRESENT",8,"iNaturalist","2423105241","https://www.inaturalist.org/observations/32847208","HUMAN_OBSERVATION",1999,7,7,"1999-07-07T14:32","WGS84","iNaturalist research-grade observations","32847208"
"Andropogon gerardi",-101.010372,38.86958,"ambcol","US","PRESENT",891,"KU","176875003",NA,"PRESERVED_SPECIMEN",1999,8,25,"1999-08-25","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","325151"
"Andropogon gerardi",-90.762389,48.083961,"cdc,gass84,txmatfuz,ambcol","US","PRESENT",969,"MIN","2265432871","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=177437","PRESERVED_SPECIMEN",1999,8,13,"1999-08-13","WGS84",NA,"432223"
"Andropogon gerardi",-104.768472,32.045673,"cdc,txmatfuz,colmafu,inmafu","US","PRESENT",668,"UTEP","3413521739","http://arctos.database.museum/guid/UTEP:Herb:58789","PRESERVED_SPECIMEN",1999,8,21,"1999-08-21","WGS84",NA,"UTEP:Herb:58789"
"Andropogon gerardi",-94.240943,44.275753,"cdc,gass84,txmatfuz,ambcol","US","PRESENT",969,"MIN","2265439669","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=183246","PRESERVED_SPECIMEN",1999,9,9,"1999-09-09","WGS84",NA,"478517"
"Andropogon gerardi",-94.183627,44.564942,"cdc,gass84,txmatfuz,ambcol","US","PRESENT",969,"MIN","2265455410","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=19937","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84",NA,"426805"
"Andropogon gerardi",-103.70244,44.474936,"cdc,txmatfuz,inmafu","US","PRESENT",871,"BHSC","2632245159","https://ngpherbaria.org/portal/collections/individual/index.php?occid=24933804","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84",NA,"BHSC0026826"
