"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Andropogon glomeratus",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064837754","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16918210","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84",NA,"MOAR0018357"
"Andropogon glomeratus",-99.4145,23.727333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"IEA-UAT","1893942920",NA,"PRESERVED_SPECIMEN",2000,8,31,"2000-08-31","WGS84","Flora vascular acuática de la cuenca del Río Tamesí","UAT"
"Andropogon glomeratus",-91.76528,18.64167,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308574926",NA,"PRESERVED_SPECIMEN",2000,9,19,"2000-09-19","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1041452"
"Andropogon glomeratus",-99.063111,22.549278,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"IEA-UAT","1893943012",NA,"PRESERVED_SPECIMEN",2000,9,30,"2000-09-30","WGS84","Flora vascular acuática de la cuenca del Río Tamesí","UAT"
"Andropogon glomeratus",-81.020778,33.982491,"cdc,inmafu","US","PRESENT",301,"CDA","3059694769","https://cch2.org/portal/collections/individual/index.php?occid=4111908","PRESERVED_SPECIMEN",2000,10,11,"2000-10-11","WGS84",NA,"CDA-0031533"
"Andropogon glomeratus",-105.915,32.748,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843898815","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4108138","PRESERVED_SPECIMEN",1999,4,30,"1999-04-30","WGS84",NA,"UNM0094883"
"Andropogon glomeratus",-91.55,16.933,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3308646744",NA,"PRESERVED_SPECIMEN",1999,7,10,"1999-07-10","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1089387"
"Andropogon glomeratus",-105.30639,25.85778,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",50,"IBUNAM","3308033345",NA,"PRESERVED_SPECIMEN",1999,8,NA,"1999-08","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1089671"
"Andropogon glomeratus",-89.63889,19.425,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308040286",NA,"PRESERVED_SPECIMEN",1999,9,20,"1999-09-20","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1184112"
"Andropogon glomeratus",-113.99528,36.11278,"cdc,inmafu,diffown","US","PRESENT",10,"ASC","3091253374","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1056888","PRESERVED_SPECIMEN",1999,9,30,"1999-09-30","WGS84",NA,"ASC00069380"
