"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Anthoxanthum odoratum",-78.982568,41.968623,"ambcol","US","PRESENT",553,"KU","176877543",NA,"PRESERVED_SPECIMEN",2000,5,27,"2000-05-27","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","348543"
"Anthoxanthum odoratum",-121.265278,39.486944,"cdc,ambinst","US","PRESENT",402,"CHSC","2417994076","https://cch2.org/portal/collections/individual/index.php?occid=2082320","PRESERVED_SPECIMEN",2000,6,19,"2000-06-19","WGS84",NA,"CHSC078356"
"Anthoxanthum odoratum",-121.483611,39.830833,"cdc,ambinst","US","PRESENT",201,"CHSC","2417999789","https://cch2.org/portal/collections/individual/index.php?occid=2082321","PRESERVED_SPECIMEN",2000,6,29,"2000-06-29","WGS84",NA,"CHSC078357"
"Anthoxanthum odoratum",-122.619696,37.962521,"cdround","US","PRESENT",450,"CAS","1426238450",NA,"PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84",NA,"137734"
"Anthoxanthum odoratum",-61.239722,45.611667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859276048","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695384","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84",NA,"CM496589"
"Anthoxanthum odoratum",-75.795756,40.185166,"cdc,inmafu","US","PRESENT",502,"MOAR","4064836065","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16916911","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84",NA,"MOAR0017656"
"Anthoxanthum odoratum",-84.925641,45.284573,"gass84","US","PRESENT",944,"MICH","1989145635",NA,"PRESERVED_SPECIMEN",2000,7,6,"2000-07-06","WGS84",NA,"1479567"
"Anthoxanthum odoratum",-76.199418,36.905288,"cdc,inmafu","US","PRESENT",745,"ODU","3496973029","https://sernecportal.org/portal/collections/individual/index.php?occid=21869954","PRESERVED_SPECIMEN",1998,4,22,"1998-04-22","WGS84",NA,"ODU00006884"
"Anthoxanthum odoratum",-77.461946,36.995738,"cdc,inmafu","US","PRESENT",592,"ODU","3496973185","https://sernecportal.org/portal/collections/individual/index.php?occid=21869930","PRESERVED_SPECIMEN",1998,5,29,"1998-05-29","WGS84",NA,"ODU00006863"
"Anthoxanthum odoratum",-122.966422,38.256827,"","US","PRESENT",555,"CAS","1426238458",NA,"PRESERVED_SPECIMEN",1998,5,5,"1998-05-05","WGS84",NA,"137732"
"Anthoxanthum odoratum",-121.570911,46.72876,"cdc,incomis,inmafu","US","PRESENT",300,"MORA","4068344654",NA,"PRESERVED_SPECIMEN",1998,6,29,"1998-06-29","WGS84",NA,"MORA-00350"
"Anthoxanthum odoratum",-73.47888,41.75472,"cdc,gass84,inmano","US","PRESENT",3,"UConn","415917395",NA,"PRESERVED_SPECIMEN",1998,6,4,"1998-06-04","WGS84",NA,"CONN00037706"
"Anthoxanthum odoratum",-100.152278,17.477083,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",100,"FC-UNAM","1895728859",NA,"PRESERVED_SPECIMEN",1998,12,10,"1998-12-10","WGS84","Base de datos del Municipio General Heliodoro Castillo, Guerrero (120. Sierra Madre del Sur)","NO DISPONIBLE"
