"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Arenaria serpyllifolia",-95.5754,36.6899,"cdc,inmafu","US","PRESENT",100,"BRIT","3969609506","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26733627","PRESERVED_SPECIMEN",2000,4,25,"2000-04-25","WGS84",NA,"BRIT563229"
"Arenaria serpyllifolia",-95.5053,36.6429,"cdc,inmafu","US","PRESENT",100,"BRIT","3969517427","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26733629","PRESERVED_SPECIMEN",2000,4,25,"2000-04-25","WGS84",NA,"BRIT563230"
"Arenaria serpyllifolia",-95.20009,37.424464,"ambcol","US","PRESENT",897,"KU","176879020",NA,"PRESERVED_SPECIMEN",2000,5,2,"2000-05-02","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","348485"
"Arenaria serpyllifolia",-121.07685,44.21391,"cdc,ambinst","US","PRESENT",805,"OSU","3820550173","https://oregonflora.org/collections/individual/index.php?occid=1034024","PRESERVED_SPECIMEN",2000,6,6,"2000-06-06","WGS84",NA,NA
"Arenaria serpyllifolia",-61.386667,45.659722,"cdc,colmafu,inmafu","CA","PRESENT",50,"CM","2859335582","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946703","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84",NA,"CM496760"
"Arenaria serpyllifolia",-113.565085,48.00186,"cdc,incomis,inmafu","US","PRESENT",560,"MONTU","4069904679",NA,"PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84",NA,"165282"
"Arenaria serpyllifolia",-95.833117,40.682077,"ambcol","US","PRESENT",804,"KU","176879024",NA,"PRESERVED_SPECIMEN",1999,5,7,"1999-05-07","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","322559"
"Arenaria serpyllifolia",-97.187393,40.119329,"ambcol","US","PRESENT",284,"KU","176879027",NA,"PRESERVED_SPECIMEN",1999,5,25,"1999-05-25","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","333058"
"Arenaria serpyllifolia",-95.140038,38.024257,"ambcol","US","PRESENT",147,"KU","176878550",NA,"PRESERVED_SPECIMEN",1999,5,1,"1999-05-01","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","324318"
"Arenaria serpyllifolia",-76.617956,40.507681,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859373565","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946333","PRESERVED_SPECIMEN",1999,6,5,"1999-06-05","WGS84",NA,"CM488098"
"Arenaria serpyllifolia",-79.512625,39.968459,"cdc,colmafu,inmafu","US","PRESENT",300,"CM","2859338582","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946904","PRESERVED_SPECIMEN",1999,6,22,"1999-06-22","WGS84",NA,"CM501325"
"Arenaria serpyllifolia",-99.212,40.0493,"gass84,ambcol","US","PRESENT",0.36,"KU","176879018",NA,"PRESERVED_SPECIMEN",1999,7,20,"1999-07-20","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","329281"
"Arenaria serpyllifolia",-86.66153,46.46707,"","US","PRESENT",975,"MICH","1988644788",NA,"PRESERVED_SPECIMEN",1999,7,18,"1999-07-18","WGS84",NA,"1303806"
"Arenaria serpyllifolia",-95.344426,39.128561,"ambcol","US","PRESENT",114,"KU","176877711",NA,"PRESERVED_SPECIMEN",1998,4,9,"1998-04-09","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","317601"
"Arenaria serpyllifolia",-92.469661,42.726661,"ambcol","US","PRESENT",437,"KU","176879029",NA,"PRESERVED_SPECIMEN",1998,5,24,"1998-05-24","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","317444"
"Arenaria serpyllifolia",-92.586323,42.705614,"ambcol","US","PRESENT",284,"KU","176879022",NA,"PRESERVED_SPECIMEN",1998,5,24,"1998-05-24","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","317436"
