"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Arrhenatherum elatius",-78.985235,37.901648,"cdc,gass84,inmafu","US","PRESENT",800,"USCH","2885068324","https://sernecportal.org/portal/collections/individual/index.php?occid=26778476","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84",NA,"USCH0065891"
"Arrhenatherum elatius",-105.05127,37.24009,"cdc,ambinst","US","PRESENT",1000,"COLO","2573445822","https://botanydb.colorado.edu/collections/individual/index.php?occid=32391","PRESERVED_SPECIMEN",1998,7,10,"1998-07-10","WGS84",NA,"00943035"
"Arrhenatherum elatius",-121.105833,40.013056,"cdc,ambinst","US","PRESENT",402,"CHSC","2417999304","https://cch2.org/portal/collections/individual/index.php?occid=2084096","PRESERVED_SPECIMEN",1996,6,20,"1996-06-20","WGS84",NA,"CHSC080113"
"Arrhenatherum elatius",-117.7017115,47.3261628,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073785484",NA,"PRESERVED_SPECIMEN",1996,6,24,"1996-06-24","WGS84",NA,"120554"
"Arrhenatherum elatius",-105.197015,40.591792,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573441850","https://botanydb.colorado.edu/collections/individual/index.php?occid=30189","PRESERVED_SPECIMEN",1996,7,13,"1996-07-13","WGS84",NA,"00476184"
"Arrhenatherum elatius",-72.679232,41.511095,"cdc,txmatfuz,inmafu","US","PRESENT",439,"VT","2573049777","https://nansh.org/portal/collections/individual/index.php?occid=22883169","PRESERVED_SPECIMEN",1996,8,19,"1996-08-19","WGS84",NA,"UVMVT292030"
"Arrhenatherum elatius",-82.579353,39.589178,"cdc,colmafu,inmafu","US","PRESENT",300,"CM","2859250989","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11693625","PRESERVED_SPECIMEN",1995,6,13,"1995-06-13","WGS84",NA,"CM472433"
"Arrhenatherum elatius",-79.35,41.833333,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2858990865","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691576","PRESERVED_SPECIMEN",1994,6,11,"1994-06-11","WGS84",NA,"CM390738"
"Arrhenatherum elatius",-121.0675,39.601667,"cdc,ambinst","US","PRESENT",201,"CHSC","2417984972","https://cch2.org/portal/collections/individual/index.php?occid=2068857","PRESERVED_SPECIMEN",1994,6,27,"1994-06-27","WGS84",NA,"CHSC063206"
"Arrhenatherum elatius",-121.0653713,39.6051155,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602271483",NA,"PRESERVED_SPECIMEN",1994,6,27,"1994-06-27","WGS84",NA,"JEPS87727"
"Arrhenatherum elatius",-85.3073,42.31148,"","US","PRESENT",969,"MICH","1989291852",NA,"PRESERVED_SPECIMEN",1994,6,7,"1994-06-07","WGS84",NA,"1309298"
"Arrhenatherum elatius",-79.671667,40.12,"cdc,colmafu,inmafu","US","PRESENT",50,"CM","2859276830","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691191","PRESERVED_SPECIMEN",1993,6,4,"1993-06-04","WGS84",NA,"CM384839"
"Arrhenatherum elatius",-105.262234,39.963892,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573443125","https://botanydb.colorado.edu/collections/individual/index.php?occid=30188","PRESERVED_SPECIMEN",1993,6,21,"1993-06-21","WGS84",NA,"00476176"
"Arrhenatherum elatius",-120.2122,39.6474,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404975798","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4342859","PRESERVED_SPECIMEN",1993,6,26,"1993-06-26","WGS84",NA,"27498"
"Arrhenatherum elatius",-83.46168,45.08343,"gass84","US","PRESENT",969,"MICH","1989044753",NA,"PRESERVED_SPECIMEN",1993,7,13,"1993-07-13","WGS84",NA,"1309299"
"Arrhenatherum elatius",-116.8193654,46.0983751,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073771119",NA,"PRESERVED_SPECIMEN",1993,9,15,"1993-09-15","WGS84",NA,"112419"
