"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Avenella flexuosa",-67.5706,44.5786,"osiic,colmano,inmafu","US","PRESENT",260,"University of Alberta Museums","883416661","https://search.museums.ualberta.ca/12-111410","PRESERVED_SPECIMEN",2000,7,5,"2000-07-05","WGS84","University of Alberta Vascular Plant Herbarium (ALTA-VP)","125883"
"Avenella flexuosa",-80.997835,36.455924,"cdc,gass84,colmafu,inmafu","US","PRESENT",300,"NCSM","2825496042","http://sernecportal.org/portal/collections/individual/index.php?occid=20436540","PRESERVED_SPECIMEN",1999,7,10,"1999-07-10","WGS84","NCSM Herbarium Collection","191"
"Avenella flexuosa",-75.422222,41.018333,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2858992024","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694975","PRESERVED_SPECIMEN",1998,7,5,"1998-07-05","WGS84",NA,"CM489501"
"Avenella flexuosa",-81.381569,46.030938,"cdc","CA","PRESENT",417,"iNaturalist","1453547522","https://www.inaturalist.org/observations/847906","HUMAN_OBSERVATION",1997,9,15,"1997-09-15","WGS84","iNaturalist research-grade observations","847906"
"Avenella flexuosa",-78.338889,39.730833,"cdc,colmafu,inmafu","US","PRESENT",150,"CM","2859276970","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694107","PRESERVED_SPECIMEN",1996,6,10,"1996-06-10","WGS84",NA,"CM481757"
"Avenella flexuosa",-72.727023,41.266697,"osiic,colmafu,inmafu","US","PRESENT",180,"YPM","1038964754","http://collections.peabody.yale.edu/search/Record/YU.048143","PRESERVED_SPECIMEN",1995,9,15,"1995-09-15","WGS84",NA,"YU.048143"
"Avenella flexuosa",-83.19534,43.96935,"","US","PRESENT",969,"MICH","1988776034",NA,"PRESERVED_SPECIMEN",1992,6,12,"1992-06-12","WGS84",NA,"1212564"
"Avenella flexuosa",-84.52735,44.86366,"","US","PRESENT",363,"MICH","1988950347",NA,"PRESERVED_SPECIMEN",1992,6,10,"1992-06-10","WGS84",NA,"1212619"
"Avenella flexuosa",-82.693192,35.051237,"cdc,colmafu,inmafu","US","PRESENT",100,"USCH","1849137949","https://sernecportal.org/portal/collections/individual/index.php?occid=9316666","PRESERVED_SPECIMEN",1992,7,10,"1992-07-10","WGS84",NA,"USCH0067010"
"Avenella flexuosa",-82.34035,35.13741,"cdc,colmafu,inmafu","US","PRESENT",1000,"USCH","1849184011","https://sernecportal.org/portal/collections/individual/index.php?occid=9362663","PRESERVED_SPECIMEN",1992,7,8,"1992-07-08","WGS84",NA,"USCH0067012"
"Avenella flexuosa",-74.018889,40.416667,"cdc,gass84,inmafu","US","PRESENT",250,"EIU","4081345759","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4901889","PRESERVED_SPECIMEN",1992,8,4,"1992-08-04","WGS84",NA,NA
"Avenella flexuosa",-78.737185,36.930652,"cdc,inmafu","US","PRESENT",642,"ODU","3496961880","https://sernecportal.org/portal/collections/individual/index.php?occid=21899070","PRESERVED_SPECIMEN",1991,7,12,"1991-07-12","WGS84",NA,"ODU00007003"
"Avenella flexuosa",-78.820617,36.635016,"cdc,inmafu","US","PRESENT",356,"ODU","3496961942","https://sernecportal.org/portal/collections/individual/index.php?occid=21899073","PRESERVED_SPECIMEN",1991,7,11,"1991-07-11","WGS84",NA,"ODU00007004"
"Avenella flexuosa",-72.54472,41.46611,"cdc,gass84,inmano","US","PRESENT",3,"UConn","415919313",NA,"PRESERVED_SPECIMEN",1990,6,19,"1990-06-19","WGS84",NA,"CONN00039692"
"Avenella flexuosa",-82.65995,34.9017,"cdc,colmafu,inmafu","US","PRESENT",260,"USCH","1849129450","https://sernecportal.org/portal/collections/individual/index.php?occid=9309683","PRESERVED_SPECIMEN",1989,5,4,"1989-05-04","WGS84",NA,"USCH0067006"
"Avenella flexuosa",-84.17789,44.50069,"","US","PRESENT",969,"MICH","1988884282",NA,"PRESERVED_SPECIMEN",1989,6,10,"1989-06-10","WGS84",NA,"1212623"
"Avenella flexuosa",-79.15986,35.614153,"cdc,cdround,gass84,inmafu","US","PRESENT",640,"NCSC","1990235556","https://sernecportal.org/portal/collections/individual/index.php?occid=8718514","PRESERVED_SPECIMEN",1989,6,30,"1989-06-30","WGS84",NA,"NCSC00006470"
"Avenella flexuosa",-84.58273,46.411383,"gass84","US","PRESENT",969,"MICH","1989117662",NA,"PRESERVED_SPECIMEN",1987,7,24,"1987-07-24","WGS84",NA,"1212543"
"Avenella flexuosa",-78.331352,39.708887,"cdc,gass84,inmafu","US","PRESENT",72,"VT","2573156386","https://nansh.org/portal/collections/individual/index.php?occid=7237388","PRESERVED_SPECIMEN",1986,5,26,"1986-05-26","WGS84",NA,"UVMVT130212"
"Avenella flexuosa",-80.513392,37.361515,"cdc,inmafu","US","PRESENT",301,"LFCC","3799523318","https://www.sernecportal.org/portal/collections/individual/index.php?occid=29358430","PRESERVED_SPECIMEN",1986,8,3,"1986-08-03","WGS84",NA,"LFCC-0009515"
"Avenella flexuosa",-87.63215,46.329812,"gass84","US","PRESENT",459,"MICH","1988855853",NA,"PRESERVED_SPECIMEN",1985,6,25,"1985-06-25","WGS84",NA,"1212606"
"Avenella flexuosa",-68.04944,44.33055,"cdc,gass84,inmano","US","PRESENT",1,"UConn","415919389",NA,"PRESERVED_SPECIMEN",1985,6,21,"1985-06-21","WGS84",NA,"CONN00039768"
"Avenella flexuosa",-84.17081,45.59524,"gass84","US","PRESENT",1.61,"MICH","1988975673",NA,"PRESERVED_SPECIMEN",1985,7,6,"1985-07-06","WGS84",NA,"1212621"
"Avenella flexuosa",-75.735209,39.052561,"cdc,inmafu","US","PRESENT",940,"PH","3865453567","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=22056181","PRESERVED_SPECIMEN",1984,6,8,"1984-06-08","WGS84",NA,"PH00712126"
"Avenella flexuosa",-87.918881,46.342588,"gass84","US","PRESENT",969,"MICH","1989129542",NA,"PRESERVED_SPECIMEN",1984,6,30,"1984-06-30","WGS84",NA,"1212605"
"Avenella flexuosa",-72.1975,41.97388,"cdc,gass84,inmano","US","PRESENT",2,"UConn","606661118",NA,"PRESERVED_SPECIMEN",1984,8,1,"1984-08-01","WGS84",NA,"CONN00146643"
"Avenella flexuosa",-73.46916,41.99444,"cdc,gass84,inmano","US","PRESENT",1,"UConn","415919311",NA,"PRESERVED_SPECIMEN",1983,7,18,"1983-07-18","WGS84",NA,"CONN00039690"
"Avenella flexuosa",-70.843912,41.995723,"cdc,inmafu","US","PRESENT",301,"CDA","3059703470","https://cch2.org/portal/collections/individual/index.php?occid=4112827","PRESERVED_SPECIMEN",1981,6,20,"1981-06-20","WGS84",NA,"CDA-0045037"
"Avenella flexuosa",-76.010049,41.179444,"cdc,gass84,colmafu,inmafu","US","PRESENT",798,"CM","2859277493","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11684378","PRESERVED_SPECIMEN",1979,8,2,"1979-08-02","WGS84",NA,"CM271092"
"Avenella flexuosa",-78.372757,38.596932,"cdc,gass84,inmafu","US","PRESENT",492,"LFCC","3357424970","https://www.sernecportal.org/portal/collections/individual/index.php?occid=23538386","PRESERVED_SPECIMEN",1978,7,30,"1978-07-30","WGS84",NA,"LFCC-0002648"
"Avenella flexuosa",-78.373762,38.598705,"cdc,inmafu","US","PRESENT",790,"LFCC","3357424956","https://www.sernecportal.org/portal/collections/individual/index.php?occid=23538396","PRESERVED_SPECIMEN",1978,7,30,"1978-07-30","WGS84",NA,"LFCC-0002660"
"Avenella flexuosa",-78.395267,38.555301,"cdc,inmafu","US","PRESENT",770,"LFCC","3357424968","https://www.sernecportal.org/portal/collections/individual/index.php?occid=23538382","PRESERVED_SPECIMEN",1978,9,3,"1978-09-03","WGS84",NA,"LFCC-0002649"
"Avenella flexuosa",-76.105584,39.596035,"cdc,cdround,inmafu","US","PRESENT",1000,"MVSC","3331197540",NA,"PRESERVED_SPECIMEN",1977,5,26,"1977-05-26","WGS84",NA,"451525"
"Avenella flexuosa",-82.32371,35.163,"cdc,colmafu,inmafu","US","PRESENT",165,"USCH","1849124900","https://sernecportal.org/portal/collections/individual/index.php?occid=9305598","PRESERVED_SPECIMEN",1977,6,7,"1977-06-07","WGS84",NA,"USCH0067013"
"Avenella flexuosa",-81.18515,36.417902,"cdc,gass84,inmafu","US","PRESENT",336,"WCUH","2273377679","https://sernecportal.org/portal/collections/individual/index.php?occid=18326298","PRESERVED_SPECIMEN",1977,7,10,"1977-07-10","WGS84",NA,"WCUH0028363"
