"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Bouteloua gracilis",-104.629722,24.42,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892536",NA,"PRESERVED_SPECIMEN",2000,1,5,"2000-01-05","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.94,24.738889,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892589",NA,"PRESERVED_SPECIMEN",2000,1,6,"2000-01-06","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.75,24.397778,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892603",NA,"PRESERVED_SPECIMEN",2000,1,5,"2000-01-05","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.72,24.61,"cdc,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892526",NA,"PRESERVED_SPECIMEN",2000,1,5,"2000-01-05","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.9,24.488889,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892538",NA,"PRESERVED_SPECIMEN",2000,1,6,"2000-01-06","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.61,24.62,"cdc,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892555",NA,"PRESERVED_SPECIMEN",2000,1,6,"2000-01-06","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.779722,24.62,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892483",NA,"PRESERVED_SPECIMEN",2000,1,5,"2000-01-05","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.709722,24.35,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892610",NA,"PRESERVED_SPECIMEN",2000,1,6,"2000-01-06","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.58,24.398889,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892573",NA,"PRESERVED_SPECIMEN",2000,1,5,"2000-01-05","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
"Bouteloua gracilis",-104.79,24.332778,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX",1,"PRESENT",50,"CIIDIR-IPN","1895892540",NA,"PRESERVED_SPECIMEN",2000,1,5,"2000-01-05","WGS84","Manual de las gramíneas de Durango","NO DISPONIBLE"
