"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Briza media",-84.619326,45.714669,"gass84","US","PRESENT",969,"MICH","1989553100",NA,"PRESERVED_SPECIMEN",1998,5,25,"1998-05-25","WGS84",NA,"1309445"
"Briza media",-84.8435,45.74475,"gass84","US","PRESENT",969,"MICH","1989126809",NA,"PRESERVED_SPECIMEN",1998,6,5,"1998-06-05","WGS84",NA,"1309444"
"Briza media",-99.9828,19.01389,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3308568500",NA,"PRESERVED_SPECIMEN",1997,9,17,"1997-09-17","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1042609"
"Briza media",-99.9675,19.00083,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3307987959",NA,"PRESERVED_SPECIMEN",1997,9,17,"1997-09-17","WGS84","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","1042607"
"Briza media",-65.850213,43.917027,"cdc","CA","PRESENT",500,"iNaturalist","3384121111","https://www.inaturalist.org/observations/97019229","HUMAN_OBSERVATION",1993,6,30,"1993-06-30T17:12","WGS84","iNaturalist research-grade observations","97019229"
"Briza media",-79.047175,43.152617,"cdc","CA","PRESENT",100,"iNaturalist","4075911896","https://www.inaturalist.org/observations/152623598","HUMAN_OBSERVATION",1991,5,30,"1991-05-30T08:39","WGS84","iNaturalist research-grade observations","152623598"
"Briza media",-83.44155,45.09816,"gass84","US","PRESENT",969,"MICH","1989294206",NA,"PRESERVED_SPECIMEN",1988,6,21,"1988-06-21","WGS84",NA,"1309446"
"Briza media",-97.453333,19.838333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893717926",NA,"PRESERVED_SPECIMEN",1987,4,18,"1987-04-18","WGS84","Etapa final de la captura y catalogación del Herbario del Instituto de Ecología, A.C., Centro Regional del Bajío","59457"
"Briza media",-105.212312,39.999953,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573443533","https://botanydb.colorado.edu/collections/individual/index.php?occid=30406","PRESERVED_SPECIMEN",1986,7,22,"1986-07-22","WGS84",NA,"00497008"
"Briza media",-83.48159,45.06878,"gass84","US","PRESENT",969,"MICH","1989518281",NA,"PRESERVED_SPECIMEN",1984,6,25,"1984-06-25","WGS84",NA,"1309449"
