"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Bromus catharticus",-111.94,33.42,"cdc,gass84,colmafu,inmafu","US","PRESENT",200,"ASU","2270564609","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3257225","PRESERVED_SPECIMEN",1999,2,8,"1999-02-08","WGS84",NA,"ASU0065497"
"Bromus catharticus",-100.063333,28.083333,"cdc,cdround,gass84,typstativ,inmano","MX","PRESENT",50,"UAAAN","1893940412",NA,"PRESERVED_SPECIMEN",1999,4,15,"1999-04-15","WGS84","Malezas introducidas en México","71728"
"Bromus catharticus",-95.246278,37.337267,"ambcol","US","PRESENT",329,"KU","176896146",NA,"PRESERVED_SPECIMEN",1999,5,6,"1999-05-06","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","324186"
"Bromus catharticus",-78.258556,35.666746,"cdc,colmafu,inmafu","US","PRESENT",460,"NCSM","2825495035","http://sernecportal.org/portal/collections/individual/index.php?occid=20436580","PRESERVED_SPECIMEN",1999,5,23,"1999-05-23","WGS84","NCSM Herbarium Collection","231"
"Bromus catharticus",-117.04059,32.84199,"cdc,inmafu","US","PRESENT",402,"CDA","3059700322","https://cch2.org/portal/collections/individual/index.php?occid=4112263","PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84",NA,"CDA-0018005"
"Bromus catharticus",-118.621288,38.518035,"cdc,colmafu,inmafu","US","PRESENT",50,"RENO","4404890996","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4345504","PRESERVED_SPECIMEN",1999,7,10,"1999-07-10","WGS84",NA,"27915"
"Bromus catharticus",-111.93,33.42,"cdc,gass84,colmafu,inmafu","US","PRESENT",50,"ASU","2270563601","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3257203","PRESERVED_SPECIMEN",1998,3,30,"1998-03-30","WGS84",NA,"ASU0065475"
"Bromus catharticus",-99.776451,37.186913,"ambcol","US","PRESENT",281,"KU","176895370",NA,"PRESERVED_SPECIMEN",1998,4,28,"1998-04-28","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","317487"
"Bromus catharticus",-99.785897,37.021809,"ambcol","US","PRESENT",933,"KU","176896136",NA,"PRESERVED_SPECIMEN",1998,4,28,"1998-04-28","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","319600"
"Bromus catharticus",-99.270446,39.425757,"ambcol","US","PRESENT",446,"KU","176895921",NA,"PRESERVED_SPECIMEN",1998,5,29,"1998-05-29","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","319850"
"Bromus catharticus",-116.94371,32.81326,"cdc,colmano,inmafu","US","PRESENT",161,"SD","3125155932","https://cch2.org/portal/collections/individual/index.php?occid=420210","PRESERVED_SPECIMEN",1998,5,12,"1998-05-12","WGS84",NA,NA
"Bromus catharticus",-119.75,35.13,"cdc,gass84,inmafu","US","PRESENT",1000,"SFV","2575148711","https://cch2.org/portal/collections/individual/index.php?occid=3756580","PRESERVED_SPECIMEN",1998,6,12,"1998-06-12","WGS84",NA,"SFV115218"
"Bromus catharticus",-102.3231602,22.3880382,"cdc,cdrep,cdround,elmms,typstativ,inmano","MX","PRESENT",860,"UAAAN","1893940466",NA,"PRESERVED_SPECIMEN",1998,7,20,"1998-07-20","WGS84","Malezas introducidas en México","71388"
"Bromus catharticus",-104.694185,32.24533,"cdc,colmafu,inmafu","US","PRESENT",400,"UTEP","3413530381","http://arctos.database.museum/guid/UTEP:Herb:58325","PRESERVED_SPECIMEN",1998,7,26,"1998-07-26","WGS84",NA,"UTEP:Herb:58325"
"Bromus catharticus",-104.304,32.449,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843838521","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4048406","PRESERVED_SPECIMEN",1998,8,21,"1998-08-21","WGS84",NA,"UNM0098565"
"Bromus catharticus",-108.516778,30.216833,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895417130",NA,"PRESERVED_SPECIMEN",1998,9,26,"1998-09-26","WGS84","Catálogo electrónico de especímenes depositados en el Herbario de la Universidad de Texas en Austin, Fase IV","00256088"
