"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Campanula rotundifolia",-95.080789,45.376238,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265447868","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=191015","PRESERVED_SPECIMEN",2000,6,7,"2000-06-07","WGS84",NA,"435474"
"Campanula rotundifolia",-106.42263,39.58892,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573479035","https://botanydb.colorado.edu/collections/individual/index.php?occid=81457","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84",NA,"00878413"
"Campanula rotundifolia",-106.184491,39.22656,"cdc,inmafu","US",NA,"PRESENT",500,"RMBL","3776194853","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=24451289","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84",NA,"RMBL0004741"
"Campanula rotundifolia",-105.93214,40.93782,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573484043","https://botanydb.colorado.edu/collections/individual/index.php?occid=81438","PRESERVED_SPECIMEN",2000,7,27,"2000-07-27","WGS84",NA,"00872044"
"Campanula rotundifolia",-106.18318,39.22538,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573539829","https://botanydb.colorado.edu/collections/individual/index.php?occid=81473","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84",NA,"00884197"
"Campanula rotundifolia",-123.68007,45.95972,"cdc,ambinst","US",NA,"PRESENT",805,"OSU","3820536919","https://oregonflora.org/collections/individual/index.php?occid=1005091","PRESERVED_SPECIMEN",2000,8,2,"2000-08-02","WGS84",NA,NA
"Campanula rotundifolia",-92.379741,44.53519,"cdc,cdround,gass84,ambcol","US",NA,"PRESENT",800,"MIN","2265437587","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=180208","PRESERVED_SPECIMEN",1999,6,9,"1999-06-09","WGS84",NA,"491150"
"Campanula rotundifolia",-68.322704,44.365771,"cdc,colmafu,inmafu","US",NA,"PRESENT",377,"NCSM","2825495092","http://sernecportal.org/portal/collections/individual/index.php?occid=20437499","PRESERVED_SPECIMEN",1999,6,25,"1999-06-25","WGS84","NCSM Herbarium Collection","1161"
"Campanula rotundifolia",-90.464435,48.099916,"cdc,cdround,gass84,ambcol","US",NA,"PRESENT",800,"MIN","2265434143","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176627","PRESERVED_SPECIMEN",1999,7,27,"1999-07-27","WGS84",NA,"431634"
"Campanula rotundifolia",-107.1858,33.97858,"cdc,gass84,colmafu,inmafu","US",NA,"PRESENT",200,"UNM","1843835653","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4045732","PRESERVED_SPECIMEN",1999,7,31,"1999-07-31","WGS84",NA,"UNM0032176"
"Campanula rotundifolia",-95.201333,47.188559,"cdc,cdround,gass84,ambcol","US",NA,"PRESENT",800,"MIN","2265490137","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=47508","PRESERVED_SPECIMEN",1999,7,20,"1999-07-20","WGS84",NA,"460489"
"Campanula rotundifolia",-95.160976,47.188773,"cdc,gass84,ambcol","US",NA,"PRESENT",969,"MIN","2265491936","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=47509","PRESERVED_SPECIMEN",1999,7,23,"1999-07-23","WGS84",NA,"460531"
"Campanula rotundifolia",-94.251125,45.948517,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265492124","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=47513","PRESERVED_SPECIMEN",1999,7,21,"1999-07-21","WGS84",NA,"471930"
"Campanula rotundifolia",-106.03095,38.435782,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573481061","https://botanydb.colorado.edu/collections/individual/index.php?occid=81012","PRESERVED_SPECIMEN",1999,7,30,"1999-07-30","WGS84",NA,"00403147"
"Campanula rotundifolia",-105.653632,37.95137,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573535864","https://botanydb.colorado.edu/collections/individual/index.php?occid=81017","PRESERVED_SPECIMEN",1999,7,28,"1999-07-28","WGS84",NA,"00426924"
"Campanula rotundifolia",-105.12111,37.20744,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573541874","https://botanydb.colorado.edu/collections/individual/index.php?occid=81668","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84",NA,"00928143"
"Campanula rotundifolia",-105.08969,38.03652,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573476046","https://botanydb.colorado.edu/collections/individual/index.php?occid=81675","PRESERVED_SPECIMEN",1999,7,15,"1999-07-15","WGS84",NA,"00933465"
"Campanula rotundifolia",-105.00009,38.01526,"cdc,ambinst","US",NA,"PRESENT",805,"COLO","2573540853","https://botanydb.colorado.edu/collections/individual/index.php?occid=81731","PRESERVED_SPECIMEN",1999,7,7,"1999-07-07","WGS84",NA,"00945014"
"Campanula rotundifolia",-93.712406,44.663581,"cdc,gass84,ambcol","US",NA,"PRESENT",800,"MIN","2265424012","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=1686","PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84",NA,"497914"
