"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Carex filifolia",-95.73905,46.100362,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265390460","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=13912","PRESERVED_SPECIMEN",2000,5,5,"2000-05-05","WGS84",NA,"482209"
"Carex filifolia",-103.677813,39.325928,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573535541","https://botanydb.colorado.edu/collections/individual/index.php?occid=72701","PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84",NA,"00475533"
"Carex filifolia",-103.585,39.13889,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573483706","https://botanydb.colorado.edu/collections/individual/index.php?occid=72825","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84",NA,"00605162"
"Carex filifolia",-99.251053,49.651339,"cdround","CA",NA,"PRESENT",1000,"WIN","1703282891","https://nansh.org/portal/collections/individual/index.php?occid=30441671","PRESERVED_SPECIMEN",2000,6,17,"2000-06-17","WGS84",NA,"65982"
"Carex filifolia",-103.67861,39.47444,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573482725","https://botanydb.colorado.edu/collections/individual/index.php?occid=72829","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84",NA,"00625319"
"Carex filifolia",-106.41239,40.86399,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573484743","https://botanydb.colorado.edu/collections/individual/index.php?occid=72966","PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84",NA,"00865667"
"Carex filifolia",-117.636005,47.467243,"cdc,colmafu,inmafu","US",NA,"PRESENT",200,"EWU","4070141158",NA,"PRESERVED_SPECIMEN",1999,5,24,"1999-05-24","WGS84",NA,"9109"
"Carex filifolia",-113.895825,46.450503,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069898148",NA,"PRESERVED_SPECIMEN",1999,5,19,"1999-05-19","WGS84",NA,"140373"
"Carex filifolia",-96.64617,45.723544,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265581245","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=9193","PRESERVED_SPECIMEN",1999,5,17,"1999-05-17","WGS84",NA,"509218"
"Carex filifolia",-111.4648,45.0076,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069921033",NA,"PRESERVED_SPECIMEN",1999,7,26,"1999-07-26","WGS84",NA,"125433"
