"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Carex inops",-103.274101,38.8081,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573540498","https://botanydb.colorado.edu/collections/individual/index.php?occid=72696","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84",NA,"00475475"
"Carex inops",-103.585,39.13889,"cdc,ambinst","US","PRESENT",250,"COLO","2573542494","https://botanydb.colorado.edu/collections/individual/index.php?occid=72823","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84",NA,"00605121"
"Carex inops",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573478702","https://botanydb.colorado.edu/collections/individual/index.php?occid=72862","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84",NA,"00683904"
"Carex inops",-99.247451,49.651409,"cdround,gass84","CA","PRESENT",100,"WIN","1703283085","https://nansh.org/portal/collections/individual/index.php?occid=30441853","PRESERVED_SPECIMEN",2000,6,17,"2000-06-17","WGS84",NA,"65976"
"Carex inops",-104.271901,38.710975,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573541519","https://botanydb.colorado.edu/collections/individual/index.php?occid=72695","PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84",NA,"00475467"
"Carex inops",-106.20735,40.87591,"cdc,ambinst","US","PRESENT",1000,"COLO","2573477727","https://botanydb.colorado.edu/collections/individual/index.php?occid=72983","PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84",NA,"00868059"
"Carex inops",-96.527719,38.050217,"ambcol","US","PRESENT",918,"KU","176905853",NA,"PRESERVED_SPECIMEN",1999,4,19,"1999-04-19","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","322535"
"Carex inops",-103.618592,40.114044,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573542484","https://botanydb.colorado.edu/collections/individual/index.php?occid=72643","PRESERVED_SPECIMEN",1999,4,16,"1999-04-16","WGS84",NA,"00388579"
"Carex inops",-100.00582,41.658201,"ambcol","US","PRESENT",594,"KU","176905890",NA,"PRESERVED_SPECIMEN",1999,5,27,"1999-05-27","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","329374"
"Carex inops",-95.802985,41.443123,"ambcol","US","PRESENT",244,"KU","176905796",NA,"PRESERVED_SPECIMEN",1999,5,7,"1999-05-07","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","322548"
"Carex inops",-95.687794,38.590665,"ambcol","US","PRESENT",0.54,"KU","176905840",NA,"PRESERVED_SPECIMEN",1999,5,1,"1999-05-01","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","325083"
"Carex inops",-95.332751,38.009502,"ambcol","US","PRESENT",79,"KU","176905874",NA,"PRESERVED_SPECIMEN",1999,5,1,"1999-05-01","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","325655"
"Carex inops",-96.7192,40.7674,"gass84,ambcol","US","PRESENT",0.1,"KU","176905863",NA,"PRESERVED_SPECIMEN",1999,5,24,"1999-05-24","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","329375"
"Carex inops",-96.317669,44.015848,"cdc,ambcol","US","PRESENT",800,"MIN","2265398815","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=14622","PRESERVED_SPECIMEN",1999,5,14,"1999-05-14","WGS84",NA,"510546"
"Carex inops",-96.64617,45.723544,"cdc,ambcol","US","PRESENT",800,"MIN","2265444996","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=19022","PRESERVED_SPECIMEN",1999,5,17,"1999-05-17","WGS84",NA,"509217"
"Carex inops",-105.104714,38.208333,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573533540","https://botanydb.colorado.edu/collections/individual/index.php?occid=72655","PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84",NA,"00427013"
"Carex inops",-106.574939,41.260827,"ambcol","US","PRESENT",941,"KU","176905834",NA,"PRESERVED_SPECIMEN",1999,6,2,"1999-06-02","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","322715"
"Carex inops",-105.394569,40.981551,"ambcol","US","PRESENT",211,"KU","176905835",NA,"PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","322778"
"Carex inops",-92.941662,48.660126,"cdc","CA","PRESENT",10,"iNaturalist","3994056385","https://www.inaturalist.org/observations/101804042","HUMAN_OBSERVATION",1999,6,15,"1999-06-15","WGS84","iNaturalist research-grade observations","101804042"
"Carex inops",-105.391921,40.980726,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573483696","https://botanydb.colorado.edu/collections/individual/index.php?occid=72645","PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84",NA,"00401133"
"Carex inops",-104.63184,37.09498,"cdc,ambinst","US","PRESENT",500,"COLO","2573537554","https://botanydb.colorado.edu/collections/individual/index.php?occid=73189","PRESERVED_SPECIMEN",1999,6,2,"1999-06-02","WGS84",NA,"00957811"
"Carex inops",-110.096456,49.671535,"osiic,colmano,inmafu","CA","PRESENT",752,"University of Alberta Museums","1563639460","https://search.museums.ualberta.ca/12-159499","PRESERVED_SPECIMEN",1999,6,14,"1999-06-14","WGS84","University of Alberta Vascular Plant Herbarium (ALTA-VP)","139272"
"Carex inops",-122.023231,41.245508,"cdc,inmafu","US","PRESENT",565,"DAV","2421707719","https://cch2.org/portal/collections/individual/index.php?occid=1334776","PRESERVED_SPECIMEN",1999,7,16,"1999-07-16","WGS84",NA,"DAV332613"
"Carex inops",-104.3615,37.00475,"cdc,ambinst","US","PRESENT",1000,"COLO","2573538523","https://botanydb.colorado.edu/collections/individual/index.php?occid=73191","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84",NA,"00957894"
"Carex inops",-95.191117,39.464671,"ambcol","US","PRESENT",73,"KU","176905877",NA,"PRESERVED_SPECIMEN",1998,4,9,"1998-04-09","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","317614"
"Carex inops",-96.23671,45.214682,"cdc,ambcol","US","PRESENT",800,"MIN","2265427270","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=172375","PRESERVED_SPECIMEN",1998,5,26,"1998-05-26","WGS84",NA,"476923"
"Carex inops",-96.44607,44.769075,"cdc,ambcol","US","PRESENT",800,"MIN","2265437847","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=182718","PRESERVED_SPECIMEN",1998,5,9,"1998-05-09","WGS84",NA,"509981"
"Carex inops",-96.278556,45.204077,"cdc,ambcol","US","PRESENT",800,"MIN","2265444225","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=188460","PRESERVED_SPECIMEN",1998,5,26,"1998-05-26","WGS84",NA,"511412"
"Carex inops",-106.862686,38.663964,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573483704","https://botanydb.colorado.edu/collections/individual/index.php?occid=72799","PRESERVED_SPECIMEN",1998,5,28,"1998-05-28","WGS84",NA,"00568212"
"Carex inops",-104.86202,37.93471,"cdc,ambinst","US","PRESENT",250,"COLO","2573539508","https://botanydb.colorado.edu/collections/individual/index.php?occid=73175","PRESERVED_SPECIMEN",1998,5,25,"1998-05-25","WGS84",NA,"00943720"
"Carex inops",-121.97746,44.45444,"cdc,gass84,colmafu,inmafu","US","PRESENT",805,"ASU","2270483328","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12626508","PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84",NA,NA
"Carex inops",-105.573159,38.166953,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573540488","https://botanydb.colorado.edu/collections/individual/index.php?occid=72506","PRESERVED_SPECIMEN",1998,6,11,"1998-06-11","WGS84",NA,"00287219"
"Carex inops",-97.520516,38.910038,"ambcol","US","PRESENT",124,"KU","176905832",NA,"PRESERVED_SPECIMEN",1997,5,6,"1997-05-06","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","311504"
"Carex inops",-97.274327,39.615679,"ambcol","US","PRESENT",94,"KU","176905833",NA,"PRESERVED_SPECIMEN",1997,5,9,"1997-05-09","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","311658"
"Carex inops",-97.389723,38.924604,"ambcol","US","PRESENT",89,"KU","176905881",NA,"PRESERVED_SPECIMEN",1997,5,6,"1997-05-06","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","312465"
"Carex inops",-107.329025,38.895846,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573536541","https://botanydb.colorado.edu/collections/individual/index.php?occid=72717","PRESERVED_SPECIMEN",1997,6,21,"1997-06-21","WGS84",NA,"00517524"
"Carex inops",-105.192159,39.876956,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573476736","https://botanydb.colorado.edu/collections/individual/index.php?occid=72750","PRESERVED_SPECIMEN",1996,4,15,"1996-04-15","WGS84",NA,"00540435"
"Carex inops",-105.216277,39.91208,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573478697","https://botanydb.colorado.edu/collections/individual/index.php?occid=72763","PRESERVED_SPECIMEN",1996,4,24,"1996-04-24","WGS84",NA,"00550434"
"Carex inops",-102.815209,40.828467,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573541490","https://botanydb.colorado.edu/collections/individual/index.php?occid=72163","PRESERVED_SPECIMEN",1996,5,25,"1996-05-25","WGS84",NA,"00279802"
"Carex inops",-122.087201,41.254844,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820644906","https://oregonflora.org/collections/individual/index.php?occid=980842","PRESERVED_SPECIMEN",1996,6,20,"1996-06-20","WGS84",NA,NA
"Carex inops",-122.32705,44.68965,"cdc,ambinst","US","PRESENT",805,"OSU","3820539275","https://oregonflora.org/collections/individual/index.php?occid=1012725","PRESERVED_SPECIMEN",1996,7,17,"1996-07-17","WGS84",NA,NA
"Carex inops",-95.1188,49.79254,"cdc","CA","PRESENT",100,"iNaturalist","4507616552","https://www.inaturalist.org/observations/95979598","HUMAN_OBSERVATION",1996,8,17,"1996-08-17T15:30","WGS84","iNaturalist research-grade observations","95979598"
"Carex inops",-98.034879,38.704266,"ambcol","US","PRESENT",914,"KU","176905831",NA,"PRESERVED_SPECIMEN",1995,4,24,"1995-04-24","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","112445"
"Carex inops",-107.237,36.94,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843829263","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039408","PRESERVED_SPECIMEN",1995,5,21,"1995-05-21","WGS84",NA,"UNM0117526"
"Carex inops",-107.22786,36.685547,"cdc,cdround,colmafu,inmafu","US","PRESENT",570,"UNM","1843829265","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039410","PRESERVED_SPECIMEN",1995,5,24,"1995-05-24","WGS84",NA,"UNM0117525"
"Carex inops",-121.875722,44.40547,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820660668","https://oregonflora.org/collections/individual/index.php?occid=1021308","PRESERVED_SPECIMEN",1995,7,24,"1995-07-24","WGS84",NA,NA
"Carex inops",-121.913053,44.4289,"cdc,cdround,ambinst","US","PRESENT",402,"OSU","3820535207","https://oregonflora.org/collections/individual/index.php?occid=988227","PRESERVED_SPECIMEN",1995,7,10,"1995-07-10","WGS84",NA,NA
"Carex inops",-105.117045,39.343404,"cdc,gass84,inmafu","US","PRESENT",500,"DBG","2960703302","https://intermountainbiota.org/portal/collections/individual/index.php?occid=26934970","PRESERVED_SPECIMEN",1995,8,27,"1995-08-27","WGS84",NA,"KHD00069763"
"Carex inops",-106.027781,39.040811,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573534511","https://botanydb.colorado.edu/collections/individual/index.php?occid=72160","PRESERVED_SPECIMEN",1995,8,12,"1995-08-12","WGS84",NA,"00279778"
"Carex inops",-105.179808,39.895954,"ambcol","US","PRESENT",566,"KU","176905846",NA,"PRESERVED_SPECIMEN",1994,5,18,"1994-05-18","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","357944"
