"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Carex vaginata",-91.63027,47.726203,"cdc,ambcol","US","PRESENT",800,"MIN","2265347780","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=10061","PRESERVED_SPECIMEN",2000,6,4,"2000-06-04","WGS84","477865"
"Carex vaginata",-91.272302,47.336163,"cdc,ambcol","US","PRESENT",800,"MIN","2265423468","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=16939","PRESERVED_SPECIMEN",2000,6,12,"2000-06-12","WGS84","480713"
"Carex vaginata",-90.755865,47.680801,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265460361","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=20710","PRESERVED_SPECIMEN",2000,6,15,"2000-06-15","WGS84","436026"
"Carex vaginata",-90.782109,48.08417,"cdc,ambcol","US","PRESENT",800,"MIN","2265438217","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=181182","PRESERVED_SPECIMEN",1999,5,30,"1999-05-30","WGS84","492246"
"Carex vaginata",-91.203638,47.450888,"cdc,ambcol","US","PRESENT",800,"MIN","2265428115","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=173337","PRESERVED_SPECIMEN",1999,6,16,"1999-06-16","WGS84","488345"
"Carex vaginata",-92.799537,57.827961,"cdround","CA","PRESENT",100,"WIN","2564816791","https://nansh.org/portal/collections/individual/index.php?occid=30465981","PRESERVED_SPECIMEN",1999,6,20,"1999-06-20","WGS84","83278"
"Carex vaginata",-93.7698469,58.7051331,"cdrep,cdround","CA","PRESENT",10,"WIN","1703302962","https://nansh.org/portal/collections/individual/index.php?occid=30462086","PRESERVED_SPECIMEN",1999,7,12,"1999-07-12","WGS84","79540"
"Carex vaginata",-93.7440337,58.698181,"cdrep,cdround","CA","PRESENT",10,"WIN","1703302664","https://nansh.org/portal/collections/individual/index.php?occid=30461800","PRESERVED_SPECIMEN",1999,7,9,"1999-07-09","WGS84","79452"
"Carex vaginata",-93.8345791,58.6715072,"cdrep,cdround","CA","PRESENT",10,"WIN","1703302723","https://nansh.org/portal/collections/individual/index.php?occid=30461838","PRESERVED_SPECIMEN",1999,7,8,"1999-07-08","WGS84","79502"
"Carex vaginata",-90.04601,48.057476,"cdc,ambcol","US","PRESENT",800,"MIN","2265436683","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=180216","PRESERVED_SPECIMEN",1998,5,21,"1998-05-21","WGS84","454404"
