"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Centaurea jacea",-82.561378,39.500467,"cdc,colmafu,inmafu","US","PRESENT",525,"CM","2859312696","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857247","PRESERVED_SPECIMEN",1998,9,10,"1998-09-10","WGS84","CM486453"
"Centaurea jacea",-79.10033,40.04301,"cdc,colmafu,inmafu","US","PRESENT",618,"CM","2859058689","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857355","PRESERVED_SPECIMEN",1994,8,13,"1994-08-13","WGS84","CM487099"
"Centaurea jacea",-121.1769729,39.5329159,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602276130",NA,"PRESERVED_SPECIMEN",1993,8,8,"1993-08-08","WGS84","JEPS87515"
"Centaurea jacea",-79.34573,39.74981,"cdc,colmafu,inmafu","US","PRESENT",776,"CM","2859054678","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857353","PRESERVED_SPECIMEN",1993,10,16,"1993-10-16","WGS84","CM487097"
"Centaurea jacea",-122.164345,41.153535,"cdc,gass84,inmafu","US","PRESENT",969,"HSC","2982035723","https://cch2.org/portal/collections/individual/index.php?occid=1830203","PRESERVED_SPECIMEN",1992,7,24,"1992-07-24","WGS84",NA
"Centaurea jacea",-122.159167,41.158611,"cdc,ambinst","US","PRESENT",402,"CHSC","2417996268","https://cch2.org/portal/collections/individual/index.php?occid=2079672","PRESERVED_SPECIMEN",1992,7,24,"1992-07-24","WGS84","CHSC075450"
"Centaurea jacea",-82.863742,35.363162,"cdc,gass84,colmafu,inmafu","US","PRESENT",686,"WCUH","2273386898","https://sernecportal.org/portal/collections/individual/index.php?occid=7344832","PRESERVED_SPECIMEN",1988,9,5,"1988-09-05","WGS84","WCUH0002183"
"Centaurea jacea",-83.48159,45.06878,"gass84","US","PRESENT",969,"MICH","1989473324",NA,"PRESERVED_SPECIMEN",1986,6,29,"1986-06-29","WGS84","1252565"
"Centaurea jacea",-83.046799,35.493908,"cdc,gass84,colmafu,inmafu","US","PRESENT",831,"WCUH","2273389454","https://sernecportal.org/portal/collections/individual/index.php?occid=7344833","PRESERVED_SPECIMEN",1986,7,15,"1986-07-15","WGS84","WCUH0002184"
"Centaurea jacea",-72.46166,41.45305,"cdc,gass84,inmano","US","PRESENT",2,"UConn","606661094",NA,"PRESERVED_SPECIMEN",1984,8,9,"1984-08-09","WGS84","CONN00146618"
"Centaurea jacea",-122.511163,45.901507,"cdc,incomis,inmafu","US","PRESENT",500,"HPSU","4070164583",NA,"PRESERVED_SPECIMEN",1983,7,21,"1983-07-21","WGS84","4944"
"Centaurea jacea",-122.240753,45.462388,"cdc,incomis,inmafu","US","PRESENT",500,"REED","4073451944",NA,"PRESERVED_SPECIMEN",1977,7,9,"1977-07-09","WGS84","7247"
"Centaurea jacea",-124.160617,40.809571,"cdc,inmafu","US","PRESENT",558,"HSC","2982051403","https://cch2.org/portal/collections/individual/index.php?occid=1784425","PRESERVED_SPECIMEN",1976,6,19,"1976-06-19","WGS84",NA
"Centaurea jacea",-88.198215,42.676468,"cdc,inmafu","US","PRESENT",969,"DEK","4533904097","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16200466","PRESERVED_SPECIMEN",1976,8,26,"1976-08-26","WGS84","DEK000093784"
"Centaurea jacea",-121.45021,45.88178,"cdc,incomis,inmafu","US","PRESENT",94,"PSM","4070521641",NA,"PRESERVED_SPECIMEN",1974,7,1,"1974-07-01","WGS84","9096"
