"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Cerastium fontanum",-105.18171,40.57587,"cdc,ambinst","US","PRESENT",100,"COLO","2573343736","https://botanydb.colorado.edu/collections/individual/index.php?occid=123832","PRESERVED_SPECIMEN",2000,5,13,"2000-05-13","WGS84","00981720"
"Cerastium fontanum",-105.329813,39.743069,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242376884","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3049990","PRESERVED_SPECIMEN",2000,5,28,"2000-05-28","WGS84","KHD00003186"
"Cerastium fontanum",-106.58824,40.67855,"cdc,ambinst","US","PRESENT",1000,"COLO","2573344278","https://botanydb.colorado.edu/collections/individual/index.php?occid=123582","PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","00868265"
"Cerastium fontanum",-65.788333,45.899444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859371573","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946709","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496950"
"Cerastium fontanum",-106.338151,39.584687,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573344433","https://botanydb.colorado.edu/collections/individual/index.php?occid=123342","PRESERVED_SPECIMEN",2000,9,13,"2000-09-13","WGS84","00504514"
"Cerastium fontanum",-96.317669,44.015848,"cdc,ambcol","US","PRESENT",800,"MIN","2265438122","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=181399","PRESERVED_SPECIMEN",1999,5,14,"1999-05-14","WGS84","510730"
"Cerastium fontanum",-76.617956,40.507681,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859338560","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11946508","PRESERVED_SPECIMEN",1999,6,5,"1999-06-05","WGS84","CM492487"
"Cerastium fontanum",-95.149836,44.605322,"cdc,ambcol","US","PRESENT",800,"MIN","2265430523","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175609","PRESERVED_SPECIMEN",1999,6,22,"1999-06-22","WGS84","478968"
"Cerastium fontanum",-108.090775,37.782575,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573343080","https://botanydb.colorado.edu/collections/individual/index.php?occid=123352","PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84","00513093"
"Cerastium fontanum",-90.803753,48.084497,"cdc,ambcol","US","PRESENT",800,"MIN","2265439993","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=185749","PRESERVED_SPECIMEN",1999,8,2,"1999-08-02","WGS84","432229"
"Cerastium fontanum",-93.111203,44.334371,"cdc,ambcol","US","PRESENT",800,"MIN","2265570710","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=8855","PRESERVED_SPECIMEN",1998,5,13,"1998-05-13","WGS84","487959"
"Cerastium fontanum",-105.10764,38.09938,"cdc,ambinst","US","PRESENT",500,"COLO","2573347670","https://botanydb.colorado.edu/collections/individual/index.php?occid=123714","PRESERVED_SPECIMEN",1998,6,28,"1998-06-28","WGS84","00926733"
"Cerastium fontanum",-90.335202,48.084859,"cdc,ambcol","US","PRESENT",800,"MIN","2265438490","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=183363","PRESERVED_SPECIMEN",1998,6,5,"1998-06-05","WGS84","510996"
"Cerastium fontanum",-93.694235,44.710583,"cdc,ambcol","US","PRESENT",800,"MIN","2265440839","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=184870","PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84","480839"
"Cerastium fontanum",-90.54412,48.084268,"cdc,ambcol","US","PRESENT",800,"MIN","2265542940","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=8382","PRESERVED_SPECIMEN",1998,6,9,"1998-06-09","WGS84","426830"
"Cerastium fontanum",-94.833576,37.62551,"ambcol","US","PRESENT",140,"KU","176911317",NA,"PRESERVED_SPECIMEN",1997,4,27,"1997-04-27","WGS84","312389"
"Cerastium fontanum",-105.206114,39.909765,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573344794","https://botanydb.colorado.edu/collections/individual/index.php?occid=123376","PRESERVED_SPECIMEN",1997,6,3,"1997-06-03","WGS84","00543041"
"Cerastium fontanum",-87.846591,41.710726,"cdc,inmafu","US","PRESENT",969,"VT","2573015919","https://nansh.org/portal/collections/individual/index.php?occid=16227750","PRESERVED_SPECIMEN",1997,6,11,"1997-06-11","WGS84","UVMVT258047"
"Cerastium fontanum",-89.707741,33.699073,"cdc,inmafu","US","PRESENT",969,"MISSA","3829924453","https://sernecportal.org/portal/collections/individual/index.php?occid=5784794","PRESERVED_SPECIMEN",1996,4,22,"1996-04-22","WGS84","MISSA007547"
"Cerastium fontanum",-89.71041,33.6972,"cdc,inmafu","US","PRESENT",400,"MMNS","3707738714","https://sernecportal.org/portal/collections/individual/index.php?occid=6353185","PRESERVED_SPECIMEN",1996,4,22,"1996-04-22","WGS84","MMNS012740"
"Cerastium fontanum",-84.148897,41.598648,"cdc,colmafu,inmafu","US","PRESENT",500,"CM","2859082519","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11945662","PRESERVED_SPECIMEN",1996,5,22,"1996-05-22","WGS84","CM473785"
"Cerastium fontanum",-105.206767,39.904953,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573343101","https://botanydb.colorado.edu/collections/individual/index.php?occid=123377","PRESERVED_SPECIMEN",1996,6,5,"1996-06-05","WGS84","00543058"
