"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Chamaecrista fasciculata",-95.390782,36.372909,"cdc","US",NA,"PRESENT",880,"iNaturalist","2576414051","https://www.inaturalist.org/observations/39194969","HUMAN_OBSERVATION",2000,8,13,"2000-08-13T09:16:29Z","WGS84","iNaturalist research-grade observations","39194969"
"Chamaecrista fasciculata",-80.5333,25.6167,"cdc,gass84,incomis","US",NA,"PRESENT",301,"FTG","122922723",NA,"PRESERVED_SPECIMEN",1998,5,25,"1998-05-25","WGS84",NA,"85020"
"Chamaecrista fasciculata",-94.85518,37.751646,"ambcol","US",NA,"PRESENT",619,"KU","176911970",NA,"PRESERVED_SPECIMEN",1998,7,12,"1998-07-12","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","320251"
"Chamaecrista fasciculata",-72.49138,41.40888,"cdc,gass84,inmano","US",NA,"PRESENT",2,"UConn","606656574",NA,"PRESERVED_SPECIMEN",1998,10,1,"1998-10-01","WGS84",NA,"CONN00139160"
"Chamaecrista fasciculata",-95.98818,39.076902,"ambcol","US",NA,"PRESENT",529,"KU","176912059",NA,"PRESERVED_SPECIMEN",1997,7,2,"1997-07-02","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","322008"
"Chamaecrista fasciculata",-92.461035,42.722531,"ambcol","US",NA,"PRESENT",486,"KU","176911988",NA,"PRESERVED_SPECIMEN",1997,8,30,"1997-08-30","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","314108"
"Chamaecrista fasciculata",-101.7318,37.11635,"cdc,ambinst","US",NA,"PRESENT",750,"COLO","2573387999","https://botanydb.colorado.edu/collections/individual/index.php?occid=175617","PRESERVED_SPECIMEN",1997,8,5,"1997-08-05","WGS84",NA,"01576289"
"Chamaecrista fasciculata",-81.24222,32.75472,"cdc,gass84,inmano","US",NA,"PRESENT",3,"UConn","415942026",NA,"PRESERVED_SPECIMEN",1997,8,22,"1997-08-22","WGS84",NA,"CONN00065414"
"Chamaecrista fasciculata",-95.255131,38.245024,"ambcol","US",NA,"PRESENT",443,"KU","176912240",NA,"PRESERVED_SPECIMEN",1996,8,12,"1996-08-12","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","311482"
"Chamaecrista fasciculata",-84.134209,33.807076,"cdc,gass84,txmathi,inmafu","US",NA,"PRESENT",100,"GA","3709842940","https://sernecportal.org/portal/collections/individual/index.php?occid=13760344","PRESERVED_SPECIMEN",1995,7,12,"1995-07-12","WGS84",NA,"GA039464"
"Chamaecrista fasciculata",-97.657211,39.590123,"ambcol","US",NA,"PRESENT",283,"KU","176911906",NA,"PRESERVED_SPECIMEN",1995,8,17,"1995-08-17","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","113547"
"Chamaecrista fasciculata",-97.128126,39.356836,"ambcol","US",NA,"PRESENT",977,"KU","176911907",NA,"PRESERVED_SPECIMEN",1995,8,17,"1995-08-17","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","113675"
"Chamaecrista fasciculata",-94.910901,39.356391,"ambcol","US",NA,"PRESENT",592,"KU","176911909",NA,"PRESERVED_SPECIMEN",1995,8,4,"1995-08-04","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","113912"
"Chamaecrista fasciculata",-97.394406,39.114097,"ambcol","US",NA,"PRESENT",574,"KU","176911891",NA,"PRESERVED_SPECIMEN",1994,1,7,"1994-01-07","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","109935"
"Chamaecrista fasciculata",-95.687794,38.590665,"ambcol","US",NA,"PRESENT",540,"KU","176911894",NA,"PRESERVED_SPECIMEN",1994,7,11,"1994-07-11","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","110997"
"Chamaecrista fasciculata",-95.185543,37.268836,"ambcol","US",NA,"PRESENT",857,"KU","176911897",NA,"PRESERVED_SPECIMEN",1994,8,29,"1994-08-29","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","111531"
"Chamaecrista fasciculata",-97.278396,30.142386,"cdc,inmafu","US",NA,"PRESENT",31,"BRIT","3969712073","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26784455","PRESERVED_SPECIMEN",1994,8,5,"1994-08-05","WGS84",NA,"BRIT349896"
"Chamaecrista fasciculata",-97.307651,30.112654,"cdc,inmafu","US",NA,"PRESENT",1000,"BAYLU","3978705293","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28256389","PRESERVED_SPECIMEN",1994,8,5,"1994-08-05","WGS84",NA,"BAYLU042037"
"Chamaecrista fasciculata",-80.961999,33.963979,"cdc,cdround,gass84,inmafu","US",NA,"PRESENT",500,"BAYLU","3978724342","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28263698","PRESERVED_SPECIMEN",1994,8,17,"1994-08-17","WGS84",NA,"BAYLU042083"
"Chamaecrista fasciculata",-89.672259,33.699474,"cdc,inmafu","US",NA,"PRESENT",969,"USMS","4088573624","https://sernecportal.org/portal/collections/individual/index.php?occid=6024462","PRESERVED_SPECIMEN",1994,8,9,"1994-08-09","WGS84",NA,"USMS_000010113"
"Chamaecrista fasciculata",-89.67959,33.69927,"cdc,txmathi,inmafu","US",NA,"PRESENT",400,"MMNS","3707721509","https://sernecportal.org/portal/collections/individual/index.php?occid=6348629","PRESERVED_SPECIMEN",1994,8,9,"1994-08-09","WGS84",NA,"MMNS008170"
"Chamaecrista fasciculata",-80.158437,41.590595,"cdc,colmafu,inmafu","US",NA,"PRESENT",250,"CM","2859170122","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12170282","PRESERVED_SPECIMEN",1994,9,8,"1994-09-08","WGS84",NA,"CM488199"
"Chamaecrista fasciculata",-81.035367,33.965009,"ambcol","US",NA,"PRESENT",201,"KU","2461149255",NA,"PRESERVED_SPECIMEN",1994,9,20,"1994-09-20","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","159998"
"Chamaecrista fasciculata",-94.901646,38.945028,"ambcol","US",NA,"PRESENT",510,"KU","176911890",NA,"PRESERVED_SPECIMEN",1993,8,12,"1993-08-12","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","109643"
"Chamaecrista fasciculata",-92.06,44.33,"cdc,gass84,ambcol","US",NA,"PRESENT",50,"MIN","4073653405","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=3065024","PRESERVED_SPECIMEN",1993,8,30,"1993-08-30","WGS84",NA,"969622"
"Chamaecrista fasciculata",-93.006793,44.809161,"cdc,cdround,gass84,txmathi,ambcol","US",NA,"PRESENT",800,"MIN","2265505016","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=61548","PRESERVED_SPECIMEN",1993,8,17,"1993-08-17","WGS84",NA,"515667"
"Chamaecrista fasciculata",-86.5985,30.397908,"ambcol","US",NA,"PRESENT",116,"KU","176912266",NA,"PRESERVED_SPECIMEN",1993,9,14,"1993-09-14","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","323975"
"Chamaecrista fasciculata",-95.839266,37.792734,"ambcol","US",NA,"PRESENT",896,"KU","176911887",NA,"PRESERVED_SPECIMEN",1992,8,27,"1992-08-27","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","107884"
"Chamaecrista fasciculata",-95.357654,38.47512,"ambcol","US",NA,"PRESENT",341,"KU","176911884",NA,"PRESERVED_SPECIMEN",1992,9,8,"1992-09-08","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","107062"
"Chamaecrista fasciculata",-95.191136,38.807847,"ambcol","US",NA,"PRESENT",568,"KU","176912263",NA,"PRESERVED_SPECIMEN",1991,7,26,"1991-07-26","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","106397"
"Chamaecrista fasciculata",-98.856401,30.32817,"cdc,inmafu","US",NA,"PRESENT",100,"BRIT","3969800641","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26775693","PRESERVED_SPECIMEN",1991,7,11,"1991-07-11","WGS84",NA,"BRIT235915"
"Chamaecrista fasciculata",-94.724033,37.020007,"ambcol","US",NA,"PRESENT",448,"KU","176911877",NA,"PRESERVED_SPECIMEN",1991,8,9,"1991-08-09","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","106474"
"Chamaecrista fasciculata",-95.485665,37.484156,"ambcol","US",NA,"PRESENT",459,"KU","176911882",NA,"PRESERVED_SPECIMEN",1991,8,4,"1991-08-04","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","106852"
"Chamaecrista fasciculata",-84.714509,41.203891,"cdc,colmafu,inmafu","US",NA,"PRESENT",225,"CM","2859170978","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12167091","PRESERVED_SPECIMEN",1991,8,27,"1991-08-27","WGS84",NA,"CM362421"
"Chamaecrista fasciculata",-87.91472,38.20416,"cdc,gass84,inmano","US",NA,"PRESENT",1,"UConn","415941859",NA,"PRESERVED_SPECIMEN",1991,8,18,"1991-08-18","WGS84",NA,"CONN00065247"
"Chamaecrista fasciculata",-80.879196,37.788418,"cdc,colmafu,inmafu","US",NA,"PRESENT",65,"CM","2859154996","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12167090","PRESERVED_SPECIMEN",1991,9,13,"1991-09-13","WGS84",NA,"CM362410"
"Chamaecrista fasciculata",-92.72,44.56,"cdc,ambcol","US",NA,"PRESENT",100,"MIN","4527112372","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=3075239","PRESERVED_SPECIMEN",1991,9,19,"1991-09-19","WGS84",NA,"974711"
"Chamaecrista fasciculata",-90.658158,34.623544,"cdc,inmafu","US",NA,"PRESENT",528,"UCAC","3698761141","https://sernecportal.org/portal/collections/individual/index.php?occid=10404400","PRESERVED_SPECIMEN",1990,7,11,"1990-07-11","WGS84",NA,"UCA005112"
"Chamaecrista fasciculata",-95.698968,37.161921,"ambcol","US",NA,"PRESENT",277,"KU","895385595",NA,"PRESERVED_SPECIMEN",1990,8,23,"1990-08-23","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","393809"
"Chamaecrista fasciculata",-89.553549,30.362817,"cdc,inmafu","US",NA,"PRESENT",969,"USMS","4088573753","https://sernecportal.org/portal/collections/individual/index.php?occid=6024470","PRESERVED_SPECIMEN",1990,8,31,"1990-08-31","WGS84",NA,"USMS_000010121"
"Chamaecrista fasciculata",-91.254084,38.081443,"ambcol","US",NA,"PRESENT",338,"KU","2461143821",NA,"PRESERVED_SPECIMEN",1990,10,7,"1990-10-07","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","159997"
"Chamaecrista fasciculata",-95.201264,39.047567,"ambcol","US",NA,"PRESENT",542,"KU","176911334",NA,"PRESERVED_SPECIMEN",1989,8,3,"1989-08-03","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","328912"
"Chamaecrista fasciculata",-92.813616,44.768807,"cdc,cdround,gass84,txmathi,ambcol","US",NA,"PRESENT",800,"MIN","2265506902","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=61569","PRESERVED_SPECIMEN",1989,8,14,"1989-08-14","WGS84",NA,"800310"
"Chamaecrista fasciculata",-88.115513,39.511852,"cdc,inmafu","US",NA,"PRESENT",500,"EIU","4081329911","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4895177","PRESERVED_SPECIMEN",1989,10,2,"1989-10-02","WGS84",NA,NA
"Chamaecrista fasciculata",-94.334355,37.741925,"cdc,inmafu","US",NA,"PRESENT",969,"SHTC","4079074036","https://cch2.org/portal/collections/individual/index.php?occid=3613472","PRESERVED_SPECIMEN",1988,7,30,"1988-07-30","WGS84",NA,NA
"Chamaecrista fasciculata",-93.582654,36.685859,"cdc,txmathi,colmafu,inmafu","US",NA,"PRESENT",400,"ASU","2270501056","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=17070808","PRESERVED_SPECIMEN",1988,8,9,"1988-08-09","WGS84",NA,NA
"Chamaecrista fasciculata",-96.082872,30.597815,"cdc,cdround","US",NA,"PRESENT",4,"iNaturalist","3032140658","https://www.inaturalist.org/observations/68561916","HUMAN_OBSERVATION",1988,8,29,"1988-08-29T00:00","WGS84","iNaturalist research-grade observations","68561916"
"Chamaecrista fasciculata",-96.079559,30.601276,"cdc","US",NA,"PRESENT",125,"iNaturalist","1640082048","https://www.inaturalist.org/observations/7745317","HUMAN_OBSERVATION",1988,8,18,"1988-08-18T22:14:55","WGS84","iNaturalist research-grade observations","7745317"
"Chamaecrista fasciculata",-94.704659,38.22243,"ambcol","US",NA,"PRESENT",917,"KU","176912190",NA,"PRESERVED_SPECIMEN",1988,9,8,"1988-09-08","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","80929"
"Chamaecrista fasciculata",-95.446012,39.183505,"ambcol","US",NA,"PRESENT",594,"KU","176911858",NA,"PRESERVED_SPECIMEN",1988,9,20,"1988-09-20","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","84292"
"Chamaecrista fasciculata",-97.004886,30.683455,"cdc,inmafu","US",NA,"PRESENT",85,"BRIT","3969776415","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14268076","PRESERVED_SPECIMEN",1987,6,7,"1987-06-07","WGS84",NA,"BRIT349955"
"Chamaecrista fasciculata",-92.773604,44.86796,"cdc,txmathi,ambcol","US",NA,"PRESENT",258,"MIN","2265505441","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=61570","PRESERVED_SPECIMEN",1987,7,23,"1987-07-23","WGS84",NA,"840390"
"Chamaecrista fasciculata",-95.129439,38.765621,"ambcol","US",NA,"PRESENT",212,"KU","176911857",NA,"PRESERVED_SPECIMEN",1987,9,6,"1987-09-06","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","71011"
"Chamaecrista fasciculata",-89.57651,33.74874,"cdc,ambinst","US",NA,"PRESENT",400,"MISS","3925832560","https://sernecportal.org/portal/collections/individual/index.php?occid=24044014","PRESERVED_SPECIMEN",1986,6,17,"1986-06-17","WGS84",NA,NA
"Chamaecrista fasciculata",-74.220594,40.548453,"cdc,inmafu","US",NA,"PRESENT",62,"SIM","3341248560","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17573451","PRESERVED_SPECIMEN",1986,7,19,"1986-07-19","WGS84",NA,"SIM0004844"
