"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Bouteloua gracilis",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573445300","https://botanydb.colorado.edu/collections/individual/index.php?occid=31918","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00670190"
"Bouteloua gracilis",-105.80654,38.187727,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573442213","https://botanydb.colorado.edu/collections/individual/index.php?occid=31085","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00504241"
"Bouteloua gracilis",-103.043249,38.819879,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573444794","https://botanydb.colorado.edu/collections/individual/index.php?occid=31086","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00504258"
"Bouteloua gracilis",-103.30703,39.127899,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573443835","https://botanydb.colorado.edu/collections/individual/index.php?occid=31087","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00504266"
"Bouteloua gracilis",-102.575807,39.431816,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573444363","https://botanydb.colorado.edu/collections/individual/index.php?occid=31088","PRESERVED_SPECIMEN",2000,8,14,"2000-08-14","WGS84","00504274"
"Bouteloua gracilis",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573444083","https://botanydb.colorado.edu/collections/individual/index.php?occid=31788","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84","00609479"
"Bouteloua gracilis",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573446837","https://botanydb.colorado.edu/collections/individual/index.php?occid=31833","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00645150"
"Bouteloua gracilis",-102.66639,38.79083,"cdc,ambinst","US","PRESENT",250,"COLO","2573445008","https://botanydb.colorado.edu/collections/individual/index.php?occid=31848","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00645507"
"Bouteloua gracilis",-103.1625,38.85528,"cdc,ambinst","US","PRESENT",250,"COLO","2573444775","https://botanydb.colorado.edu/collections/individual/index.php?occid=31861","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00653121"
"Bouteloua gracilis",-103.70472,38.65167,"cdc,ambinst","US","PRESENT",250,"COLO","2573445399","https://botanydb.colorado.edu/collections/individual/index.php?occid=31883","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00654921"
