"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Clinopodium vulgare",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064838853","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12636633","PRESERVED_SPECIMEN",2000,7,17,"2000-07-17","WGS84","MOAR0003014"
"Clinopodium vulgare",-85.882226,44.207942,"gass84","US","PRESENT",408,"MICH","1989110502",NA,"PRESERVED_SPECIMEN",2000,9,5,"2000-09-05","WGS84","1200789"
"Clinopodium vulgare",-84.660167,45.669833,"cdc,gass84,incomis,inmafu","US","PRESENT",100,"SRP","4068956819",NA,"PRESERVED_SPECIMEN",2000,9,10,"2000-09-10","WGS84","37021"
"Clinopodium vulgare",-79.512625,39.968459,"cdc,colmafu,inmafu","US","PRESENT",300,"CM","2859500119","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12350123","PRESERVED_SPECIMEN",1999,6,22,"1999-06-22","WGS84","CM501326"
"Clinopodium vulgare",-104.3615,37.00475,"cdc,ambinst","US","PRESENT",1000,"COLO","2573469930","https://botanydb.colorado.edu/collections/individual/index.php?occid=50949","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","00934166"
"Clinopodium vulgare",-84.4,45.9833,"cdc,inmafu","US","PRESENT",647,"VT","3395294525","https://nansh.org/portal/collections/individual/index.php?occid=28462517","PRESERVED_SPECIMEN",1997,7,2,"1997-07-02","WGS84","UVMVT296926"
"Clinopodium vulgare",-78.338889,39.730833,"cdc,colmafu,inmafu","US","PRESENT",150,"CM","2859501016","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12347921","PRESERVED_SPECIMEN",1996,7,9,"1996-07-09","WGS84","CM490069"
"Clinopodium vulgare",-106.334097,35.611483,"cdc,colmafu,inmafu","US","PRESENT",1000,"UNM","1843904986","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4114858","PRESERVED_SPECIMEN",1996,8,12,"1996-08-12","WGS84","UNM0054612"
"Clinopodium vulgare",-76.052248,39.723072,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859237976","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12346603","PRESERVED_SPECIMEN",1996,9,21,"1996-09-21","WGS84","CM481761"
"Clinopodium vulgare",-73.23694,41.47611,"cdc,gass84,inmano","US","PRESENT",3,"UConn","415960059",NA,"PRESERVED_SPECIMEN",1995,6,21,"1995-06-21","WGS84","CONN00084415"
