"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Collinsia parviflora",-118.505,34.365,"cdc,inmafu","US","PRESENT",1000,"SBBG","3053346903","https://cch2.org/portal/collections/individual/index.php?occid=64978","PRESERVED_SPECIMEN",2000,4,15,"2000-04-15","WGS84","SBBG190344"
"Collinsia parviflora",-111.9866,35.9847,"cdc,gass84,inmafu","US","PRESENT",969,"DES","1846525487","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3079941","PRESERVED_SPECIMEN",1999,5,18,"1999-05-18","WGS84","DES00043896"
"Collinsia parviflora",-105.394569,40.981551,"ambcol","US","PRESENT",211,"KU","176916818",NA,"PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","322798"
"Collinsia parviflora",-106.574939,41.260827,"ambcol","US","PRESENT",941,"KU","176916916",NA,"PRESERVED_SPECIMEN",1999,6,2,"1999-06-02","WGS84","322717"
"Collinsia parviflora",-116.671844,45.09635,"cdc,incomis,inmafu","US","PRESENT",459,"ID","4073792400",NA,"PRESERVED_SPECIMEN",1999,6,10,"1999-06-10","WGS84","171936"
"Collinsia parviflora",-118,48,"cdc,gass84,ambinst","US","PRESENT",805,"OSU","3820542748","https://oregonflora.org/collections/individual/index.php?occid=1001670","PRESERVED_SPECIMEN",1999,7,9,"1999-07-09","WGS84",NA
"Collinsia parviflora",-118.215556,48.556111,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820665494","https://oregonflora.org/collections/individual/index.php?occid=1018090","PRESERVED_SPECIMEN",1999,7,11,"1999-07-11","WGS84",NA
"Collinsia parviflora",-118.446013,48.633001,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820650398","https://oregonflora.org/collections/individual/index.php?occid=992376","PRESERVED_SPECIMEN",1999,7,11,"1999-07-11","WGS84",NA
"Collinsia parviflora",-118.833067,48.827533,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820652453","https://oregonflora.org/collections/individual/index.php?occid=993251","PRESERVED_SPECIMEN",1999,7,10,"1999-07-10","WGS84",NA
"Collinsia parviflora",-111.745605,34.755657,"cdc,inmafu","US","PRESENT",100,"ASC","3091201479","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2075812","PRESERVED_SPECIMEN",1998,4,18,"1998-04-18","WGS84","ASC00065190"
"Collinsia parviflora",-117.577241,47.43944,"cdc,colmafu,inmafu","US","PRESENT",300,"EWU","4070142899",NA,"PRESERVED_SPECIMEN",1998,4,13,"1998-04-13","WGS84","10510"
"Collinsia parviflora",-121.09836,44.22575,"cdc,ambinst","US","PRESENT",805,"OSU","3820569331","https://oregonflora.org/collections/individual/index.php?occid=1060656","PRESERVED_SPECIMEN",1998,5,6,"1998-05-06","WGS84","OSC-V-052224"
"Collinsia parviflora",-120.060833,40.058611,"cdc,ambinst","US","PRESENT",201,"CHSC","2417990101","https://cch2.org/portal/collections/individual/index.php?occid=2075698","PRESERVED_SPECIMEN",1998,5,22,"1998-05-22","WGS84","CHSC071101"
"Collinsia parviflora",-123.066683,45.731342,"cdc,incomis,inmafu","US","PRESENT",250,"HPSU","4070160309",NA,"PRESERVED_SPECIMEN",1998,5,1,"1998-05-01","WGS84","8562"
"Collinsia parviflora",-122.68847,42.52711,"cdc,ambinst","US","PRESENT",805,"OSU","3820697888","https://oregonflora.org/collections/individual/index.php?occid=1073748","PRESERVED_SPECIMEN",1997,4,24,"1997-04-24","WGS84","OSC-V-052395"
"Collinsia parviflora",-111.972437,35.959974,"cdc,gass84,colmafu,inmafu","US","PRESENT",500,"ASU","2270485731","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1124136","PRESERVED_SPECIMEN",1997,4,30,"1997-04-30","WGS84","ASU0020979"
"Collinsia parviflora",-112.20728,42.66675,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073706476",NA,"PRESERVED_SPECIMEN",1997,4,15,"1997-04-15","WGS84","2012.007"
"Collinsia parviflora",-120.650278,40.041389,"cdc,ambinst","US","PRESENT",402,"CHSC","2417991870","https://cch2.org/portal/collections/individual/index.php?occid=2074836","PRESERVED_SPECIMEN",1997,5,7,"1997-05-07","WGS84","CHSC070052"
"Collinsia parviflora",-120.73,39.874722,"cdc,ambinst","US","PRESENT",402,"CHSC","2417994040","https://cch2.org/portal/collections/individual/index.php?occid=2080187","PRESERVED_SPECIMEN",1997,5,30,"1997-05-30","WGS84","CHSC076071"
"Collinsia parviflora",-116.408508,42.696246,"ambcol","US","PRESENT",594,"KU","176916567",NA,"PRESERVED_SPECIMEN",1997,6,6,"1997-06-06","WGS84","319177"
"Collinsia parviflora",-105.460592,40.16926,"ambcol","US","PRESENT",564,"KU","176916946",NA,"PRESERVED_SPECIMEN",1997,6,2,"1997-06-02","WGS84","318926"
"Collinsia parviflora",-109.3921395,44.7163393,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073835366",NA,"PRESERVED_SPECIMEN",1997,6,22,"1997-06-22","WGS84","161346"
"Collinsia parviflora",-117.544722,46.220278,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820535749","https://oregonflora.org/collections/individual/index.php?occid=977559","PRESERVED_SPECIMEN",1997,6,28,"1997-06-28","WGS84",NA
"Collinsia parviflora",-110.72311,43.729952,"ambcol","US","PRESENT",849,"KU","176916848",NA,"PRESERVED_SPECIMEN",1997,7,5,"1997-07-05","WGS84","319339"
"Collinsia parviflora",-109.5635393,44.331141,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073903126",NA,"PRESERVED_SPECIMEN",1997,7,27,"1997-07-27","WGS84","161341"
"Collinsia parviflora",-111.4419,43.1301,"cdc,incomis,inmafu","US","PRESENT",969,"IDS","4073714419",NA,"PRESERVED_SPECIMEN",1997,7,1,"1997-07-01","WGS84","2015.001"
"Collinsia parviflora",-109.981953,43.613955,"ambcol","US","PRESENT",925,"KU","4143394306",NA,"PRESERVED_SPECIMEN",1997,8,8,"1997-08-08","WGS84","429536"
