"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Comandra umbellata",-103.507,38.7163,"ambcol","US","PRESENT",922,"KU","240489622",NA,"PRESERVED_SPECIMEN",2000,5,22,"2000-05-22","WGS84","365591"
"Comandra umbellata",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573327790","https://botanydb.colorado.edu/collections/individual/index.php?occid=10569","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","00683888"
"Comandra umbellata",-123.3613,44.16509,"cdc,ambinst","US","PRESENT",805,"OSU","3820705898","https://oregonflora.org/collections/individual/index.php?occid=1073752","PRESERVED_SPECIMEN",2000,5,23,"2000-05-23","WGS84",NA
"Comandra umbellata",-123.342626,44.1631,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404922784","https://intermountainbiota.org/portal/collections/individual/index.php?occid=11526702","PRESERVED_SPECIMEN",2000,5,23,"2000-05-23","WGS84","77965"
"Comandra umbellata",-103.66889,39.36,"cdc,ambinst","US","PRESENT",400,"COLO","2573341666","https://botanydb.colorado.edu/collections/individual/index.php?occid=12107","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00731554"
"Comandra umbellata",-103.50728,38.71233,"cdc,ambinst","US","PRESENT",805,"COLO","2573341848","https://botanydb.colorado.edu/collections/individual/index.php?occid=12109","PRESERVED_SPECIMEN",2000,5,22,"2000-05-22","WGS84","00731570"
"Comandra umbellata",-106.67345,39.71937,"cdc,ambinst","US","PRESENT",500,"COLO","2573461689","https://botanydb.colorado.edu/collections/individual/index.php?occid=375080","PRESERVED_SPECIMEN",2000,5,26,"2000-05-26","WGS84","02141752"
"Comandra umbellata",-123.353999,44.159929,"ambcol","US","PRESENT",228,"KU","1262264208",NA,"PRESERVED_SPECIMEN",2000,5,23,"2000-05-23","WGS84","357115"
"Comandra umbellata",-111.4818759,43.0864392,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073777450",NA,"PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84","120945"
"Comandra umbellata",-118.597921,36.181508,"cdc,inmafu","US","PRESENT",1000,"RSA","2430271279","https://cch2.org/portal/collections/individual/index.php?occid=1196862","PRESERVED_SPECIMEN",2000,8,12,"2000-08-12","WGS84","RSA0014112"
"Comandra umbellata",-107.312833,38.452766,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573341861","https://botanydb.colorado.edu/collections/individual/index.php?occid=12171","PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84","00732198"
"Comandra umbellata",-117.893662,47.773579,"cdc,colmafu,inmafu","US","PRESENT",200,"EWU","4070140155",NA,"PRESERVED_SPECIMEN",1999,5,24,"1999-05-24","WGS84","4669"
"Comandra umbellata",-118.7398,47.4138,"cdc,colmafu,inmafu","US","PRESENT",541,"EWU","4070144579",NA,"PRESERVED_SPECIMEN",1999,5,16,"1999-05-16","WGS84","6605"
"Comandra umbellata",-116.5651253,44.0739914,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073915535",NA,"PRESERVED_SPECIMEN",1999,5,28,"1999-05-28","WGS84","116826"
"Comandra umbellata",-106.574939,41.260827,"ambcol","US","PRESENT",941,"KU","176917309",NA,"PRESERVED_SPECIMEN",1999,6,2,"1999-06-02","WGS84","322736"
"Comandra umbellata",-108.533983,39.304149,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573343089","https://botanydb.colorado.edu/collections/individual/index.php?occid=12172","PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84","00732206"
"Comandra umbellata",-94.366247,44.841409,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265393870","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=14160","PRESERVED_SPECIMEN",1999,6,5,"1999-06-05","WGS84","477827"
"Comandra umbellata",-106.462942,35.299213,"cdc,cdround,inmafu","US","PRESENT",285,"ASC","3091203906","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21515676","PRESERVED_SPECIMEN",1999,6,10,"1999-06-10","WGS84","ASC00081947"
"Comandra umbellata",-78.321119,35.615547,"cdc,gass84,colmafu,inmafu","US","PRESENT",409,"NCSM","2825495125","http://sernecportal.org/portal/collections/individual/index.php?occid=20436480","PRESERVED_SPECIMEN",1999,6,5,"1999-06-05","WGS84","131"
"Comandra umbellata",-99.988387,37.23697,"ambcol","US","PRESENT",348,"KU","176916598",NA,"PRESERVED_SPECIMEN",1998,4,27,"1998-04-27","WGS84","319582"
"Comandra umbellata",-93.839393,36.460452,"cdc,inmafu","US","PRESENT",969,"VT","2573003885","https://nansh.org/portal/collections/individual/index.php?occid=15898493","PRESERVED_SPECIMEN",1998,4,25,"1998-04-25","WGS84","UVMVT241860"
"Comandra umbellata",-98.619897,39.099831,"ambcol","US","PRESENT",460,"KU","176916796",NA,"PRESERVED_SPECIMEN",1998,5,26,"1998-05-26","WGS84","319897"
"Comandra umbellata",-105.553076,37.618892,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573341159","https://botanydb.colorado.edu/collections/individual/index.php?occid=12111","PRESERVED_SPECIMEN",1998,6,30,"1998-06-30","WGS84","00731596"
"Comandra umbellata",-105.51165,38.183163,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573344241","https://botanydb.colorado.edu/collections/individual/index.php?occid=12126","PRESERVED_SPECIMEN",1998,6,10,"1998-06-10","WGS84","00731745"
"Comandra umbellata",-104.69387,38.21648,"cdc,ambinst","US","PRESENT",805,"COLO","2573353207","https://botanydb.colorado.edu/collections/individual/index.php?occid=13496","PRESERVED_SPECIMEN",1998,6,15,"1998-06-15","WGS84","00943837"
"Comandra umbellata",-105.55044,37.618039,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573341952","https://botanydb.colorado.edu/collections/individual/index.php?occid=12112","PRESERVED_SPECIMEN",1998,7,13,"1998-07-13","WGS84","00731604"
"Comandra umbellata",-99.388741,39.395594,"ambcol","US","PRESENT",205,"KU","176916564",NA,"PRESERVED_SPECIMEN",1997,5,8,"1997-05-08","WGS84","311589"
"Comandra umbellata",-104.803311,38.264065,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573343325","https://botanydb.colorado.edu/collections/individual/index.php?occid=12138","PRESERVED_SPECIMEN",1997,5,5,"1997-05-05","WGS84","00731869"
"Comandra umbellata",-94.442025,44.33349,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265438251","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=183175","PRESERVED_SPECIMEN",1997,5,22,"1997-05-22","WGS84","511100"
"Comandra umbellata",-121.773889,40.265556,"cdc,ambinst","US","PRESENT",402,"CHSC","2418016184","https://cch2.org/portal/collections/individual/index.php?occid=2110013","PRESERVED_SPECIMEN",1997,5,14,"1997-05-14","WGS84","CHSC068599"
"Comandra umbellata",-121.7726973,40.2663978,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602272253",NA,"PRESERVED_SPECIMEN",1997,5,14,"1997-05-14","WGS84","JEPS94344"
"Comandra umbellata",-108.23278,40.465687,"ambcol","US","PRESENT",480,"KU","176916813",NA,"PRESERVED_SPECIMEN",1997,6,3,"1997-06-03","WGS84","318980"
"Comandra umbellata",-103.18286,37.33337,"cdc,ambinst","US","PRESENT",1000,"COLO","2573354573","https://botanydb.colorado.edu/collections/individual/index.php?occid=13602","PRESERVED_SPECIMEN",1997,6,12,"1997-06-12","WGS84","00981043"
"Comandra umbellata",-109.6239426,44.4616396,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073884322",NA,"PRESERVED_SPECIMEN",1997,6,12,"1997-06-12","WGS84","162727"
"Comandra umbellata",-118.6,36.18,"cdc,gass84,inmafu","US","PRESENT",1000,"SFV","2575160378","https://cch2.org/portal/collections/individual/index.php?occid=618029","PRESERVED_SPECIMEN",1997,6,10,"1997-06-10","WGS84","SFV105323"
"Comandra umbellata",-116.5849256,44.0595914,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073935436",NA,"PRESERVED_SPECIMEN",1997,6,5,"1997-06-05","WGS84","119115"
"Comandra umbellata",-110.396156,43.853776,"ambcol","US","PRESENT",845,"KU","176917314",NA,"PRESERVED_SPECIMEN",1997,7,7,"1997-07-07","WGS84","319648"
"Comandra umbellata",-111.163432,45.0711,"ambcol","US","PRESENT",421,"KU","176916846",NA,"PRESERVED_SPECIMEN",1997,7,20,"1997-07-20","WGS84","319437"
"Comandra umbellata",-99.80813,38.774792,"ambcol","US","PRESENT",288,"KU","176917318",NA,"PRESERVED_SPECIMEN",1997,8,5,"1997-08-05","WGS84","310502"
"Comandra umbellata",-112.21691,42.71978,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073716729",NA,"PRESERVED_SPECIMEN",1996,5,21,"1996-05-21","WGS84","2012.007"
"Comandra umbellata",-112.20728,42.66675,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073722088",NA,"PRESERVED_SPECIMEN",1996,5,31,"1996-05-31","WGS84","2012.007"
"Comandra umbellata",-72.727023,41.266697,"osiic,colmafu,inmafu","US","PRESENT",180,"YPM","1038973429","http://collections.peabody.yale.edu/search/Record/YU.052206","PRESERVED_SPECIMEN",1996,5,23,"1996-05-23","WGS84","YU.052206"
"Comandra umbellata",-109.308134,44.4797416,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073848485",NA,"PRESERVED_SPECIMEN",1996,7,10,"1996-07-10","WGS84","161800"
"Comandra umbellata",-109.6285,32.2023,"cdc,inmafu","US","PRESENT",969,"DES","1846520520","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3074368","PRESERVED_SPECIMEN",1995,4,15,"1995-04-15","WGS84","DES00043269"
"Comandra umbellata",-110.471332,37.158858,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843819788","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4030103","PRESERVED_SPECIMEN",1995,4,9,"1995-04-09","WGS84","UNM0083020"
"Comandra umbellata",-89.68813,33.70948,"cdc,inmafu","US","PRESENT",400,"MMNS","3707721811","https://sernecportal.org/portal/collections/individual/index.php?occid=6348775","PRESERVED_SPECIMEN",1995,4,3,"1995-04-03","WGS84","MMNS008316"
"Comandra umbellata",-94.995161,39.294208,"ambcol","US","PRESENT",204,"KU","176917347",NA,"PRESERVED_SPECIMEN",1995,5,3,"1995-05-03","WGS84","112502"
