"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Coreopsis palmata",-89.016286,39.825409,"cdc,inmafu","US","PRESENT",250,"EIU","4081323896","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4894247","PRESERVED_SPECIMEN",2000,6,19,"2000-06-19","WGS84",NA
"Coreopsis palmata",-92.339224,44.51999,"cdc,ambcol","US","PRESENT",800,"MIN","2265517325","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=7124","PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84","488829"
"Coreopsis palmata",-96.062894,48.753624,"cdc,ambcol","US","PRESENT",800,"MIN","2265382219","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=1304","PRESERVED_SPECIMEN",1998,6,30,"1998-06-30","WGS84","492311"
"Coreopsis palmata",-93.836947,36.558582,"ambcol","US","PRESENT",566,"KU","176919268",NA,"PRESERVED_SPECIMEN",1998,7,14,"1998-07-14","WGS84","320468"
"Coreopsis palmata",-94.978778,39.257884,"ambcol","US","PRESENT",380,"KU","176919254",NA,"PRESERVED_SPECIMEN",1997,7,13,"1997-07-13","WGS84","312539"
"Coreopsis palmata",-94.842347,44.488589,"cdc,ambcol","US","PRESENT",800,"MIN","2265371158","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=12117","PRESERVED_SPECIMEN",1997,7,3,"1997-07-03","WGS84","455463"
"Coreopsis palmata",-95.594788,44.826296,"cdc,ambcol","US","PRESENT",800,"MIN","2265438475","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=182745","PRESERVED_SPECIMEN",1997,8,16,"1997-08-16","WGS84","508878"
"Coreopsis palmata",-92.519043,43.536578,"cdc,ambcol","US","PRESENT",800,"MIN","2265511224","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66192","PRESERVED_SPECIMEN",1994,6,30,"1994-06-30","WGS84","441092"
"Coreopsis palmata",-95.937286,37.181961,"ambcol","US","PRESENT",998,"KU","176919238",NA,"PRESERVED_SPECIMEN",1994,7,27,"1994-07-27","WGS84","111011"
"Coreopsis palmata",-95.059124,37.839728,"ambcol","US","PRESENT",279,"KU","176919246",NA,"PRESERVED_SPECIMEN",1994,7,29,"1994-07-29","WGS84","111047"
"Coreopsis palmata",-92.483201,42.696974,"ambcol","US","PRESENT",440,"KU","1092711164",NA,"PRESERVED_SPECIMEN",1992,9,6,"1992-09-06","WGS84","128871"
"Coreopsis palmata",-95.244703,38.223372,"ambcol","US","PRESENT",587,"KU","176919245",NA,"PRESERVED_SPECIMEN",1991,7,8,"1991-07-08","WGS84","106732"
"Coreopsis palmata",-91.686145,42.420632,"cdc,colmafu,inmafu","US","PRESENT",969,"NCU","2234482043","https://sernecportal.org/portal/collections/individual/index.php?occid=17219133","PRESERVED_SPECIMEN",1990,6,27,"1990-06-27","WGS84","NCU00067708"
"Coreopsis palmata",-95.765291,39.620404,"ambcol","US","PRESENT",555,"KU","176919243",NA,"PRESERVED_SPECIMEN",1989,6,29,"1989-06-29","WGS84","102252"
"Coreopsis palmata",-91.810107,44.099438,"cdc,ambcol","US","PRESENT",800,"MIN","2265513063","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66260","PRESERVED_SPECIMEN",1989,7,21,"1989-07-21","WGS84","818130"
"Coreopsis palmata",-92.497441,33.206565,"cdc,ambinst","US","PRESENT",1000,"GREE","3892743775","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=22001637","PRESERVED_SPECIMEN",1989,8,21,"1989-08-21","WGS84","29121"
"Coreopsis palmata",-95.829728,44.957194,"cdc,ambcol","US","PRESENT",800,"MIN","2265511596","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66257","PRESERVED_SPECIMEN",1988,6,22,"1988-06-22","WGS84","805659"
"Coreopsis palmata",-92.540736,44.491938,"cdc,ambcol","US","PRESENT",800,"MIN","2265513223","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66262","PRESERVED_SPECIMEN",1988,6,15,"1988-06-15","WGS84","818338"
"Coreopsis palmata",-92.852696,44.927272,"cdc,ambcol","US","PRESENT",800,"MIN","2265511461","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66258","PRESERVED_SPECIMEN",1987,8,21,"1987-08-21","WGS84","805789"
"Coreopsis palmata",-92.791852,44.927188,"cdc,ambcol","US","PRESENT",800,"MIN","2265512263","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66259","PRESERVED_SPECIMEN",1986,6,30,"1986-06-30","WGS84","816208"
"Coreopsis palmata",-94.675888,35.609972,"cdc,colmafu,inmafu","US","PRESENT",824,"UTEP","3093979016","http://arctos.database.museum/guid/UTEP:Herb:34205","PRESERVED_SPECIMEN",1985,6,9,"1985-06-09","WGS84","UTEP:Herb:34205"
"Coreopsis palmata",-96.312179,44.233753,"cdc,ambcol","US","PRESENT",800,"MIN","2265511173","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66247","PRESERVED_SPECIMEN",1985,7,1,"1985-07-01","WGS84","782138"
"Coreopsis palmata",-95.85817,37.79875,"gass84,ambcol","US","PRESENT",2.08,"KU","176919287",NA,"PRESERVED_SPECIMEN",1984,6,20,"1984-06-20","WGS84","27545"
"Coreopsis palmata",-94.90439,43.522882,"cdc,ambcol","US","PRESENT",800,"MIN","2265512272","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66246","PRESERVED_SPECIMEN",1984,9,6,"1984-09-06","WGS84","781214"
"Coreopsis palmata",-94.641325,37.043852,"ambcol","US","PRESENT",260,"KU","176919303",NA,"PRESERVED_SPECIMEN",1983,6,24,"1983-06-24","WGS84","27566"
"Coreopsis palmata",-95.743853,43.580108,"cdc,ambcol","US","PRESENT",800,"MIN","2265509484","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66234","PRESERVED_SPECIMEN",1983,7,24,"1983-07-24","WGS84","753540"
"Coreopsis palmata",-95.105077,43.724929,"cdc,ambcol","US","PRESENT",800,"MIN","2265511485","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66236","PRESERVED_SPECIMEN",1983,7,19,"1983-07-19","WGS84","753609"
"Coreopsis palmata",-91.938983,44.272608,"cdc,ambcol","US","PRESENT",800,"MIN","2265511396","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=66245","PRESERVED_SPECIMEN",1983,7,14,"1983-07-14","WGS84","770258"
