"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Cynodon dactylon",-111.108333,25.375,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",60,"CIBNOR","1894818520",NA,"PRESERVED_SPECIMEN",2000,1,19,"2000-01-19","WGS84","15691"
"Cynodon dactylon",-117.13056,32.73361,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125152021","https://cch2.org/portal/collections/individual/index.php?occid=421764","PRESERVED_SPECIMEN",2000,1,14,"2000-01-14","WGS84",NA
"Cynodon dactylon",-117.1175,32.7225,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125151024","https://cch2.org/portal/collections/individual/index.php?occid=421765","PRESERVED_SPECIMEN",2000,1,21,"2000-01-21","WGS84",NA
"Cynodon dactylon",-100.425,20.508333,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FCN-UAQ","1893933543",NA,"PRESERVED_SPECIMEN",2000,3,30,"2000-03-30","WGS84","NO DISPONIBLE"
"Cynodon dactylon",-111.932367,33.420072,"cdc,colmafu,inmafu","US","PRESENT",100,"ASU","2270476898","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=11195900","PRESERVED_SPECIMEN",2000,4,27,"2000-04-27","WGS84","ASU0103517"
"Cynodon dactylon",-115.35,30.1,"cdc,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"FC-UABC","2629875930",NA,"PRESERVED_SPECIMEN",2000,4,15,"2000-04-15","WGS84","11937"
"Cynodon dactylon",-115.355555,30.113611,"cdc,cdround,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",80,"SDNHM","2629860746",NA,"PRESERVED_SPECIMEN",2000,4,15,"2000-04-15","WGS84","148616"
"Cynodon dactylon",-99.348056,21.939722,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"UACh","1419216607",NA,"PRESERVED_SPECIMEN",2000,5,10,"2000-05-10","WGS84","50095"
"Cynodon dactylon",-100.338611,20.607778,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FCN-UAQ","1893933545",NA,"PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","NO DISPONIBLE"
"Cynodon dactylon",-116.93333,32.5,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",90,"FC-UABC","2629875006",NA,"PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","11365"
"Cynodon dactylon",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573445211","https://botanydb.colorado.edu/collections/individual/index.php?occid=31800","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00621573"
"Cynodon dactylon",-103.917762,23.441143,"cdc,cdround,elmms,typstativ,inmano","MX","PRESENT",580,"INECOL","1893711595",NA,"PRESERVED_SPECIMEN",2000,7,20,"2000-07-20","WGS84","162986"
"Cynodon dactylon",-120.1276965,35.3219183,"cdc,cdrep,inmafu","US","PRESENT",1000,"SBBG","3053430025","https://cch2.org/portal/collections/individual/index.php?occid=67431","PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","118304"
"Cynodon dactylon",-123.2822039,44.568428,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073778832",NA,"PRESERVED_SPECIMEN",2000,8,17,"2000-08-17","WGS84","124446"
"Cynodon dactylon",-123.286922,44.569709,"cdc,colmafu,inmafu","US","PRESENT",77,"ASU","2270491395","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=15528102","PRESERVED_SPECIMEN",2000,8,17,"2000-08-17","WGS84",NA
"Cynodon dactylon",-123.28163,44.5704,"cdc,ambinst","US","PRESENT",805,"CHSC","2418000464","https://cch2.org/portal/collections/individual/index.php?occid=2087167","PRESERVED_SPECIMEN",2000,8,17,"2000-08-17","WGS84","CHSC082960"
"Cynodon dactylon",-98.185,18.778889,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu","MX","PRESENT",90,"IBUNAM","1893933462",NA,"PRESERVED_SPECIMEN",2000,8,28,"2000-08-28","WGS84","985516"
"Cynodon dactylon",-91.562699,33.913376,"ambcol","US","PRESENT",493,"KU","176922727",NA,"PRESERVED_SPECIMEN",2000,9,15,"2000-09-15","WGS84","358440"
"Cynodon dactylon",-106.414,24.929167,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"CIIDIR-IPN","1895767054",NA,"PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84","19892"
"Cynodon dactylon",-109.891667,23.675,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",80,"CIBNOR","1894818557",NA,"PRESERVED_SPECIMEN",2000,9,7,"2000-09-07","WGS84","15643"
"Cynodon dactylon",-117.10087,33.22518,"cdc,inmafu","US","PRESENT",804,"RSA","2430053907","https://cch2.org/portal/collections/individual/index.php?occid=1023530","PRESERVED_SPECIMEN",2000,12,NA,"2000-12","WGS84",NA
"Cynodon dactylon",-107.698333,27.070278,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"FZ-UACH","3306063462",NA,"PRESERVED_SPECIMEN",1999,3,19,"1999-03-19","WGS84","NO DISPONIBLE"
"Cynodon dactylon",-91.810833,17.751389,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"CIHS-UAC","1893306097",NA,"PRESERVED_SPECIMEN",1999,4,22,"1999-04-22","WGS84","005728"
"Cynodon dactylon",-122.585833,40.141944,"cdc,ambinst","US","PRESENT",402,"CHSC","2417994153","https://cch2.org/portal/collections/individual/index.php?occid=2081409","PRESERVED_SPECIMEN",1999,5,24,"1999-05-24","WGS84","CHSC077405"
