"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Dactylis glomerata",-119.198833,34.517817,"cdc,ambinst","US","PRESENT",250,"UCSB","2270249570","https://cch2.org/portal/collections/individual/index.php?occid=1896586","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","UCSB042156"
"Dactylis glomerata",-102.35361,38.81583,"cdc,ambinst","US","PRESENT",250,"COLO","2573446270","https://botanydb.colorado.edu/collections/individual/index.php?occid=31928","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00673558"
"Dactylis glomerata",-102.27833,39.29556,"cdc,ambinst","US","PRESENT",250,"COLO","2573446119","https://botanydb.colorado.edu/collections/individual/index.php?occid=31945","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00685198"
"Dactylis glomerata",-106.6458,39.58633,"cdc,ambinst","US","PRESENT",800,"COLO","2573445076","https://botanydb.colorado.edu/collections/individual/index.php?occid=32161","PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","00890657"
"Dactylis glomerata",-107.29727,40.84136,"cdc,ambinst","US","PRESENT",1000,"COLO","2573444205","https://botanydb.colorado.edu/collections/individual/index.php?occid=32296","PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","00914051"
"Dactylis glomerata",-106.48477,40.00241,"cdc,ambinst","US","PRESENT",500,"COLO","2573445617","https://botanydb.colorado.edu/collections/individual/index.php?occid=32320","PRESERVED_SPECIMEN",2000,6,5,"2000-06-05","WGS84","00919548"
"Dactylis glomerata",-105.423333,40.895,"cdc,ambinst","US","PRESENT",100,"COLO","2573446439","https://botanydb.colorado.edu/collections/individual/index.php?occid=32523","PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84","00985895"
"Dactylis glomerata",-106.42263,39.58892,"cdc,ambinst","US","PRESENT",1000,"COLO","2573461435","https://botanydb.colorado.edu/collections/individual/index.php?occid=374943","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","02141091"
"Dactylis glomerata",-85.895088,44.212259,"gass84","US","PRESENT",335,"MICH","1989148000",NA,"PRESERVED_SPECIMEN",2000,6,5,"2000-06-05","WGS84","1211907"
"Dactylis glomerata",-62.754444,46.204722,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2858996044","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695414","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","CM497051"
"Dactylis glomerata",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064849110","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16917775","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84","MOAR0017922"
"Dactylis glomerata",-113.525841,53.257631,"colmafu,inmafu,diffown","CA","PRESENT",50,"Université de Montréal Biodiversity Centre","473440939",NA,"PRESERVED_SPECIMEN",2000,8,5,"2000-08-05","WGS84","MT00019416"
"Dactylis glomerata",-105.047253,40.417409,"ambcol","US","PRESENT",544,"KU","176925080",NA,"PRESERVED_SPECIMEN",1999,5,31,"1999-05-31","WGS84","323231"
"Dactylis glomerata",-78.311153,35.675841,"cdc,gass84,colmafu,inmafu","US","PRESENT",200,"NCSM","2825495322","http://sernecportal.org/portal/collections/individual/index.php?occid=20436575","PRESERVED_SPECIMEN",1999,5,23,"1999-05-23","WGS84","226"
"Dactylis glomerata",-111.893311,40.91407,"cdc,inmafu","US","PRESENT",465,"Weber State University","4010495382","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30405098","PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84","WSCO002286"
"Dactylis glomerata",-111.893386,40.913816,"cdc,inmafu","US","PRESENT",316,"Weber State University","4010495746","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30412955","PRESERVED_SPECIMEN",1999,6,25,"1999-06-25","WGS84","WSCO002306"
"Dactylis glomerata",-104.014599,44.560373,"cdc,inmafu","US","PRESENT",607,"BHSC","2815654329","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25218323","PRESERVED_SPECIMEN",1999,7,15,"1999-07-15","WGS84","BHSC0032826"
"Dactylis glomerata",-105.00009,38.01526,"cdc,ambinst","US","PRESENT",805,"COLO","2573445841","https://botanydb.colorado.edu/collections/individual/index.php?occid=32443","PRESERVED_SPECIMEN",1999,7,7,"1999-07-07","WGS84","00962142"
"Dactylis glomerata",-103.861458,44.483109,"cdc,inmafu","US","PRESENT",80,"BHSC","2815654305","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25218309","PRESERVED_SPECIMEN",1999,8,24,"1999-08-24","WGS84","BHSC0029812"
"Dactylis glomerata",-103.750987,44.351488,"cdc,inmafu","US","PRESENT",265,"BHSC","2815654521","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25218275","PRESERVED_SPECIMEN",1999,9,9,"1999-09-09","WGS84","BHSC0025097"
"Dactylis glomerata",-103.848001,44.468501,"cdc,inmafu","US","PRESENT",100,"BHSC","2815654520","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25218276","PRESERVED_SPECIMEN",1999,9,20,"1999-09-20","WGS84","BHSC0025171"
