"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Danthonia californica",-120.444379,39.697124,"cdc,inmafu","US","PRESENT",683,"DAV","2421700608","https://cch2.org/portal/collections/individual/index.php?occid=1326412","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84",NA
"Danthonia californica",-122.485278,39.160556,"cdc,ambinst","US","PRESENT",402,"CHSC","2417997256","https://cch2.org/portal/collections/individual/index.php?occid=2082204","PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","CHSC078222"
"Danthonia californica",-123.765003,39.19646,"cdc,gass84,colmano,inmafu","US","PRESENT",969,"MCCC","3799499416","https://cch2.org/portal/collections/individual/index.php?occid=5358408","PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","5620"
"Danthonia californica",-119.937476,41.8068894,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073931077",NA,"PRESERVED_SPECIMEN",2000,6,8,"2000-06-08","WGS84","123167"
"Danthonia californica",-122.00281,44.64768,"cdc,ambinst","US","PRESENT",805,"OSU","3820541601","https://oregonflora.org/collections/individual/index.php?occid=997036","PRESERVED_SPECIMEN",2000,7,13,"2000-07-13","WGS84",NA
"Danthonia californica",-120.0283,38.88846,"cdc,inmafu","US","PRESENT",657,"DAV","2421686181","https://cch2.org/portal/collections/individual/index.php?occid=1312701","PRESERVED_SPECIMEN",2000,8,8,"2000-08-08","WGS84",NA
"Danthonia californica",-116.708178,44.969166,"cdc,incomis,inmafu","US","PRESENT",969,"ID","4073945310",NA,"PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84","167820"
"Danthonia californica",-124.210278,40.444722,"cdc,ambinst","US","PRESENT",805,"CHSC","2417997463","https://cch2.org/portal/collections/individual/index.php?occid=2082093","PRESERVED_SPECIMEN",1998,5,7,"1998-05-07","WGS84","CHSC078112"
"Danthonia californica",-123.746944,42.340278,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820731688","https://oregonflora.org/collections/individual/index.php?occid=3007501","PRESERVED_SPECIMEN",1998,6,26,"1998-06-26","WGS84","OSC-V-255216"
"Danthonia californica",-123.62056,42.255686,"cdc,colmafu,inmafu","US","PRESENT",200,"RENO","4404963521","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4566565","PRESERVED_SPECIMEN",1998,6,27,"1998-06-27","WGS84","28753"
"Danthonia californica",-123.8292,42.2793,"cdc,gass84,colmafu,inmafu","US","PRESENT",200,"RENO","4404963465","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4566580","PRESERVED_SPECIMEN",1998,6,28,"1998-06-28","WGS84","28764"
"Danthonia californica",-121.298611,39.521389,"cdc,ambinst","US","PRESENT",805,"CHSC","2417995835","https://cch2.org/portal/collections/individual/index.php?occid=2078379","PRESERVED_SPECIMEN",1998,7,8,"1998-07-08","WGS84","CHSC074039"
"Danthonia californica",-123.26598,44.7145,"cdc,ambinst","US","PRESENT",805,"OSU","3820689598","https://oregonflora.org/collections/individual/index.php?occid=1043461","PRESERVED_SPECIMEN",1997,5,26,"1997-05-26","WGS84",NA
"Danthonia californica",-123.93131,46.11929,"cdc,ambinst","US","PRESENT",805,"OSU","3820543240","https://oregonflora.org/collections/individual/index.php?occid=1013154","PRESERVED_SPECIMEN",1997,6,2,"1997-06-02","WGS84",NA
"Danthonia californica",-123.299038,45.756052,"cdc,incomis,inmafu","US","PRESENT",417,"HPSU","4070167261",NA,"PRESERVED_SPECIMEN",1997,6,20,"1997-06-20","WGS84","8266"
"Danthonia californica",-110.627812,43.895664,"ambcol","US","PRESENT",283,"KU","176926680",NA,"PRESERVED_SPECIMEN",1997,7,11,"1997-07-11","WGS84","318784"
"Danthonia californica",-121.5025,39.927778,"cdc,ambinst","US","PRESENT",402,"CHSC","2417988649","https://cch2.org/portal/collections/individual/index.php?occid=2073803","PRESERVED_SPECIMEN",1997,7,11,"1997-07-11","WGS84","CHSC068914"
"Danthonia californica",-123.166667,40.334444,"cdc,ambinst","US","PRESENT",402,"CHSC","2417990496","https://cch2.org/portal/collections/individual/index.php?occid=2073911","PRESERVED_SPECIMEN",1997,7,17,"1997-07-17","WGS84","CHSC069032"
"Danthonia californica",-121.4932858,39.9227062,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602308283",NA,"PRESERVED_SPECIMEN",1997,7,11,"1997-07-11","WGS84","JEPS95166"
"Danthonia californica",-111.4025,43.043,"cdc,incomis,inmafu","US","PRESENT",969,"IDS","4073708888",NA,"PRESERVED_SPECIMEN",1997,7,8,"1997-07-08","WGS84","2014.001"
"Danthonia californica",-123.1706309,40.3390845,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602283976",NA,"PRESERVED_SPECIMEN",1997,7,17,"1997-07-17","WGS84","JEPS95082"
"Danthonia californica",-123.410885,42.100376,"cdc,cdround,ambinst","US","PRESENT",402,"OSU","3820658641","https://oregonflora.org/collections/individual/index.php?occid=1021099","PRESERVED_SPECIMEN",1996,6,26,"1996-06-26","WGS84",NA
"Danthonia californica",-120.7606769,40.5166021,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602339664",NA,"PRESERVED_SPECIMEN",1996,6,24,"1996-06-24","WGS84","JEPS88511"
"Danthonia californica",-124.019444,41.930556,"cdc,ambinst","US","PRESENT",402,"CHSC","2418050278","https://cch2.org/portal/collections/individual/index.php?occid=2148516","PRESERVED_SPECIMEN",1996,7,30,"1996-07-30","WGS84","CHSC093368"
"Danthonia californica",-112.1274658,40.8901621,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073889557",NA,"PRESERVED_SPECIMEN",1996,7,2,"1996-07-02","WGS84","114917"
"Danthonia californica",-120.5455,34.7155,"cdc,inmafu","US","PRESENT",500,"OBI","2270184722","https://cch2.org/portal/collections/individual/index.php?occid=178430","PRESERVED_SPECIMEN",1995,5,11,"1995-05-11","WGS84","OBI156241"
"Danthonia californica",-120.5435,34.7165,"cdc,inmafu","US","PRESENT",750,"SBBG","3053450589","https://cch2.org/portal/collections/individual/index.php?occid=98534","PRESERVED_SPECIMEN",1995,5,11,"1995-05-11","WGS84","126155"
