"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Deschampsia cespitosa",-105.758662,38.112626,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242376062","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3050245","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","KHD00004046"
"Deschampsia cespitosa",-104.81907,39.138414,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573443173","https://botanydb.colorado.edu/collections/individual/index.php?occid=31548","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","00509711"
"Deschampsia cespitosa",-106.32266,38.52034,"cdc,ambinst","US","PRESENT",1000,"COLO","2573445031","https://botanydb.colorado.edu/collections/individual/index.php?occid=32160","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","00890640"
"Deschampsia cespitosa",-119.98289,38.86718,"cdc,inmafu","US","PRESENT",962,"DAV","2421685777","https://cch2.org/portal/collections/individual/index.php?occid=1312748","PRESERVED_SPECIMEN",2000,7,25,"2000-07-25","WGS84",NA
"Deschampsia cespitosa",-120.192411,39.051503,"cdc,inmafu","US","PRESENT",51,"DAV","2421686041","https://cch2.org/portal/collections/individual/index.php?occid=1312820","PRESERVED_SPECIMEN",2000,7,7,"2000-07-07","WGS84",NA
"Deschampsia cespitosa",-120.120173,39.186395,"cdc,inmafu","US","PRESENT",65,"DAV","2421686535","https://cch2.org/portal/collections/individual/index.php?occid=1312967","PRESERVED_SPECIMEN",2000,7,20,"2000-07-20","WGS84",NA
"Deschampsia cespitosa",-117.505528,38.778174,"cdc,gass84,colmafu,inmafu","US","PRESENT",969,"RENO","4404961689","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4566862","PRESERVED_SPECIMEN",2000,7,13,"2000-07-13","WGS84","28962"
"Deschampsia cespitosa",-122.76039,45.43064,"cdc,gass84,ambinst","US","PRESENT",805,"OSU","3820649605","https://oregonflora.org/collections/individual/index.php?occid=997084","PRESERVED_SPECIMEN",2000,7,18,"2000-07-18","WGS84",NA
"Deschampsia cespitosa",-120.02641,38.8492,"cdc,inmafu","US","PRESENT",229,"DAV","2421685587","https://cch2.org/portal/collections/individual/index.php?occid=1313066","PRESERVED_SPECIMEN",2000,8,9,"2000-08-09","WGS84",NA
"Deschampsia cespitosa",-106.972143,39.025084,"cdc,inmafu","US","PRESENT",100,"RMBL","3893693378","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=29964484","PRESERVED_SPECIMEN",2000,8,3,"2000-08-03","WGS84","RMBL0006968"
"Deschampsia cespitosa",-119.952645,53.8812597,"cdrep,osiic,colmano,inmafu","CA","PRESENT",1000,"University of Alberta Museums","2446729149","https://search.museums.ualberta.ca/12-169080","PRESERVED_SPECIMEN",2000,8,4,"2000-08-04","WGS84","141960"
"Deschampsia cespitosa",-119.174,34.809,"cdc,inmafu","US","PRESENT",1000,"SBBG","3053478553","https://cch2.org/portal/collections/individual/index.php?occid=157574","PRESERVED_SPECIMEN",1999,7,17,"1999-07-17","WGS84","SBBG187606"
