"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Avenella flexuosa",-75.422222,41.018333,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2858992024","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694975","PRESERVED_SPECIMEN",1998,7,5,"1998-07-05","WGS84","CM489501"
"Avenella flexuosa",-78.338889,39.730833,"cdc,colmafu,inmafu","US","PRESENT",150,"CM","2859276970","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694107","PRESERVED_SPECIMEN",1996,6,10,"1996-06-10","WGS84","CM481757"
"Avenella flexuosa",-72.727023,41.266697,"osiic,colmafu,inmafu","US","PRESENT",180,"YPM","1038964754","http://collections.peabody.yale.edu/search/Record/YU.048143","PRESERVED_SPECIMEN",1995,9,15,"1995-09-15","WGS84","YU.048143"
"Avenella flexuosa",-78.737185,36.930652,"cdc,inmafu","US","PRESENT",642,"ODU","3496961880","https://sernecportal.org/portal/collections/individual/index.php?occid=21899070","PRESERVED_SPECIMEN",1991,7,12,"1991-07-12","WGS84","ODU00007003"
"Avenella flexuosa",-78.820617,36.635016,"cdc,inmafu","US","PRESENT",356,"ODU","3496961942","https://sernecportal.org/portal/collections/individual/index.php?occid=21899073","PRESERVED_SPECIMEN",1991,7,11,"1991-07-11","WGS84","ODU00007004"
"Avenella flexuosa",-79.15986,35.614153,"cdc,cdround,gass84,inmafu","US","PRESENT",640,"NCSC","1990235556","https://sernecportal.org/portal/collections/individual/index.php?occid=8718514","PRESERVED_SPECIMEN",1989,6,30,"1989-06-30","WGS84","NCSC00006470"
"Avenella flexuosa",-78.331352,39.708887,"cdc,gass84,inmafu","US","PRESENT",72,"VT","2573156386","https://nansh.org/portal/collections/individual/index.php?occid=7237388","PRESERVED_SPECIMEN",1986,5,26,"1986-05-26","WGS84","UVMVT130212"
"Avenella flexuosa",-75.735209,39.052561,"cdc,inmafu","US","PRESENT",940,"PH","3865453567","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=22056181","PRESERVED_SPECIMEN",1984,6,8,"1984-06-08","WGS84","PH00712126"
"Avenella flexuosa",-70.843912,41.995723,"cdc,inmafu","US","PRESENT",301,"CDA","3059703470","https://cch2.org/portal/collections/individual/index.php?occid=4112827","PRESERVED_SPECIMEN",1981,6,20,"1981-06-20","WGS84","CDA-0045037"
"Avenella flexuosa",-76.010049,41.179444,"cdc,gass84,colmafu,inmafu","US","PRESENT",798,"CM","2859277493","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11684378","PRESERVED_SPECIMEN",1979,8,2,"1979-08-02","WGS84","CM271092"
"Avenella flexuosa",-76.105584,39.596035,"cdc,cdround,inmafu","US","PRESENT",1000,"MVSC","3331197540",NA,"PRESERVED_SPECIMEN",1977,5,26,"1977-05-26","WGS84","451525"
"Avenella flexuosa",-81.18515,36.417902,"cdc,gass84,inmafu","US","PRESENT",336,"WCUH","2273377679","https://sernecportal.org/portal/collections/individual/index.php?occid=18326298","PRESERVED_SPECIMEN",1977,7,10,"1977-07-10","WGS84","WCUH0028363"
"Avenella flexuosa",-76.110789,44.301244,"cdc,colmafu,inmafu","CA","PRESENT",320,"CM","2859252606","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11686075","PRESERVED_SPECIMEN",1975,6,24,"1975-06-24","WGS84","CM296067"
"Avenella flexuosa",-83.39338,34.761906,"cdc,colmafu,inmafu","US","PRESENT",620,"NCU","2234630062","https://sernecportal.org/portal/collections/individual/index.php?occid=8119094","PRESERVED_SPECIMEN",1975,7,3,"1975-07-03","WGS84","NCU00174251"
"Avenella flexuosa",-82.928234,35.31076,"cdc,gass84,inmafu","US","PRESENT",280,"WCUH","2273376977","https://sernecportal.org/portal/collections/individual/index.php?occid=18326299","PRESERVED_SPECIMEN",1974,9,15,"1974-09-15","WGS84","WCUH0028364"
"Avenella flexuosa",-76.299239,39.798731,"cdc,cdround,inmafu","US","PRESENT",150,"MVSC","3331188887",NA,"PRESERVED_SPECIMEN",1970,5,16,"1970-05-16","WGS84","442014"
"Avenella flexuosa",-76.299582,39.801184,"cdc,cdround,inmafu","US","PRESENT",150,"MVSC","3331198036",NA,"PRESERVED_SPECIMEN",1970,6,22,"1970-06-22","WGS84","451606"
"Avenella flexuosa",-76.312413,39.812918,"cdc,cdround,inmafu","US","PRESENT",150,"MVSC","3331192407",NA,"PRESERVED_SPECIMEN",1970,6,29,"1970-06-29","WGS84","452141"
"Avenella flexuosa",-81.109693,35.968533,"cdc,gass84,colmafu,inmafu","US","PRESENT",635,"WCUH","2273367203","https://sernecportal.org/portal/collections/individual/index.php?occid=10418907","PRESERVED_SPECIMEN",1970,10,16,"1970-10-16","WGS84","WCUH0018718"
