"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Dichanthelium oligosanthes",-94.001027,44.290717,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265434913","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=179455","PRESERVED_SPECIMEN",1999,6,12,"1999-06-12","WGS84","477190"
"Dichanthelium oligosanthes",-104.001477,44.467239,"cdc,inmafu","US","PRESENT",969,"BHSC","2815654910","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25223252","PRESERVED_SPECIMEN",1999,6,22,"1999-06-22","WGS84","BHSC0032732"
"Dichanthelium oligosanthes",-93.934921,44.501131,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265431518","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176612","PRESERVED_SPECIMEN",1999,8,2,"1999-08-02","WGS84","482346"
"Dichanthelium oligosanthes",-93.705554,45.479755,"cdc,ambcol","US","PRESENT",969,"MIN","2265434418","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=178195","PRESERVED_SPECIMEN",1999,8,5,"1999-08-05","WGS84","479265"
"Dichanthelium oligosanthes",-93.705614,45.49421,"cdc,ambcol","US","PRESENT",969,"MIN","2265448665","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=189495","PRESERVED_SPECIMEN",1999,8,10,"1999-08-10","WGS84","479264"
"Dichanthelium oligosanthes",-92.459317,43.551196,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265541710","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=8352","PRESERVED_SPECIMEN",1999,8,24,"1999-08-24","WGS84","454877"
"Dichanthelium oligosanthes",-93.87819,44.521817,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265434931","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=177060","PRESERVED_SPECIMEN",1998,6,16,"1998-06-16","WGS84","509441"
"Dichanthelium oligosanthes",-95.049947,44.101176,"cdc,gass84,ambcol","US","PRESENT",967,"MIN","2265509616","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=6587","PRESERVED_SPECIMEN",1998,6,21,"1998-06-21","WGS84","438187"
"Dichanthelium oligosanthes",-89.3972,30.7123,"cdc,inmafu","US","PRESENT",100,"MMNS","3707717796","https://sernecportal.org/portal/collections/individual/index.php?occid=6363162","PRESERVED_SPECIMEN",1997,5,18,"1997-05-18","WGS84","MMNS022835"
"Dichanthelium oligosanthes",-94.834901,44.493229,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265431134","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175524","PRESERVED_SPECIMEN",1997,6,25,"1997-06-25","WGS84","508829"
"Dichanthelium oligosanthes",-95.492552,44.781965,"cdc,gass84,ambcol","US","PRESENT",978,"MIN","2265387509","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=13668","PRESERVED_SPECIMEN",1997,8,11,"1997-08-11","WGS84","477841"
"Dichanthelium oligosanthes",-94.420107,44.292954,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265520621","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=735","PRESERVED_SPECIMEN",1997,8,28,"1997-08-28","WGS84","476730"
