"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Elymus elymoides",-111.11333,33.891955,"cdc,cdround,gass84,inmano","US","PRESENT",1000,"USFS","4161535945","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=274955","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84",NA
"Elymus elymoides",-103.252635,38.674466,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573446996","https://botanydb.colorado.edu/collections/individual/index.php?occid=33526","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84","00513473"
"Elymus elymoides",-103.47944,39.04889,"cdc,ambinst","US","PRESENT",250,"COLO","2573451252","https://botanydb.colorado.edu/collections/individual/index.php?occid=35941","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00609677"
"Elymus elymoides",-102.71222,38.34694,"cdc,ambinst","US","PRESENT",250,"COLO","2573452034","https://botanydb.colorado.edu/collections/individual/index.php?occid=36027","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00668657"
"Elymus elymoides",-103.43167,38.91806,"cdc,ambinst","US","PRESENT",250,"COLO","2573451706","https://botanydb.colorado.edu/collections/individual/index.php?occid=36033","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00670505"
"Elymus elymoides",-102.29444,39.5475,"cdc,ambinst","US","PRESENT",250,"COLO","2573454002","https://botanydb.colorado.edu/collections/individual/index.php?occid=36069","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","00700187"
"Elymus elymoides",-106.12565,38.55778,"cdc,ambinst","US","PRESENT",1000,"COLO","2573453559","https://botanydb.colorado.edu/collections/individual/index.php?occid=36299","PRESERVED_SPECIMEN",2000,5,30,"2000-05-30","WGS84","00890632"
"Elymus elymoides",-108.175,40.865,"cdc,ambinst","US","PRESENT",100,"COLO","2573456797","https://botanydb.colorado.edu/collections/individual/index.php?occid=36655","PRESERVED_SPECIMEN",2000,5,25,"2000-05-25","WGS84","00985887"
"Elymus elymoides",-117.491667,34.333333,"cdc,cdround,inmafu","US","PRESENT",400,"RSA","2430220083","https://cch2.org/portal/collections/individual/index.php?occid=650716","PRESERVED_SPECIMEN",2000,5,13,"2000-05-13","WGS84",NA
"Elymus elymoides",-102.36806,39.51861,"cdc,ambinst","US","PRESENT",250,"COLO","2573452753","https://botanydb.colorado.edu/collections/individual/index.php?occid=36000","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00654061"
"Elymus elymoides",-116.214713,44.908015,"cdc,incomis,inmafu","US","PRESENT",873,"ID","4073861739",NA,"PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","166535"
"Elymus elymoides",-117.505528,38.778174,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404924593","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12745629","PRESERVED_SPECIMEN",2000,7,13,"2000-07-13","WGS84","84248"
"Elymus elymoides",-119.98289,38.86718,"cdc,inmafu","US","PRESENT",962,"DAV","2421685100","https://cch2.org/portal/collections/individual/index.php?occid=1312743","PRESERVED_SPECIMEN",2000,7,25,"2000-07-25","WGS84",NA
"Elymus elymoides",-120.192411,39.051503,"cdc,inmafu","US","PRESENT",51,"DAV","2421687082","https://cch2.org/portal/collections/individual/index.php?occid=1312835","PRESERVED_SPECIMEN",2000,7,7,"2000-07-07","WGS84",NA
"Elymus elymoides",-120.120173,39.186395,"cdc,inmafu","US","PRESENT",65,"DAV","2421685799","https://cch2.org/portal/collections/individual/index.php?occid=1312939","PRESERVED_SPECIMEN",2000,7,20,"2000-07-20","WGS84",NA
"Elymus elymoides",-104.628991,32.138435,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"UNM","1843884292","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4094378","PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84","UNM0100419"
"Elymus elymoides",-110.15,32.8673,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270575599","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5423946","PRESERVED_SPECIMEN",1999,3,6,"1999-03-06","WGS84","ASU0067663"
"Elymus elymoides",-118.831556,38.601738,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404867754","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12738812","PRESERVED_SPECIMEN",1999,6,23,"1999-06-23","WGS84","84057"
"Elymus elymoides",-104.014675,44.558904,"cdc,inmafu","US","PRESENT",612,"BHSC","2815654424","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25258824","PRESERVED_SPECIMEN",1999,6,18,"1999-06-18","WGS84","BHSC0029428"
"Elymus elymoides",-117.209933,42.326467,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820664654","https://oregonflora.org/collections/individual/index.php?occid=1021428","PRESERVED_SPECIMEN",1999,7,2,"1999-07-02","WGS84",NA
"Elymus elymoides",-103.889874,44.503242,"cdc,inmafu","US","PRESENT",301,"BHSC","2815654405","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25258809","PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","BHSC0025093"
"Elymus elymoides",-111.169893,33.659853,"cdc,cdround,gass84,inmano","US","PRESENT",1000,"USFS","4161535953","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=274957","PRESERVED_SPECIMEN",1999,11,5,"1999-11-05","WGS84",NA
"Elymus elymoides",-107.599536,38.746749,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573451384","https://botanydb.colorado.edu/collections/individual/index.php?occid=35863","PRESERVED_SPECIMEN",1998,5,15,"1998-05-15","WGS84","00551622"
"Elymus elymoides",-104.81828,37.70984,"cdc,ambinst","US","PRESENT",500,"COLO","2573454589","https://botanydb.colorado.edu/collections/individual/index.php?occid=36479","PRESERVED_SPECIMEN",1998,5,25,"1998-05-25","WGS84","00926030"
"Elymus elymoides",-110.18,32.9545,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270573689","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5423986","PRESERVED_SPECIMEN",1998,5,8,"1998-05-08","WGS84","ASU0067670"
"Elymus elymoides",-108.237977,31.891245,"cdc,colmafu,inmafu","US","PRESENT",419,"UTEP","3413524237","http://arctos.database.museum/guid/UTEP:Herb:57944","PRESERVED_SPECIMEN",1998,5,2,"1998-05-02","WGS84","UTEP:Herb:57944"
"Elymus elymoides",-121.113438,44.236524,"cdc,cdround,ambinst","US","PRESENT",402,"OSU","3820552979","https://oregonflora.org/collections/individual/index.php?occid=1029407","PRESERVED_SPECIMEN",1998,6,1,"1998-06-01","WGS84",NA
"Elymus elymoides",-105.540517,37.615281,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573446097","https://botanydb.colorado.edu/collections/individual/index.php?occid=33532","PRESERVED_SPECIMEN",1998,6,30,"1998-06-30","WGS84","00513531"
"Elymus elymoides",-107.168875,38.502818,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573449131","https://botanydb.colorado.edu/collections/individual/index.php?occid=35654","PRESERVED_SPECIMEN",1998,6,4,"1998-06-04","WGS84","00540906"
"Elymus elymoides",-107.78788,38.40299,"cdc,ambinst","US","PRESENT",900,"COLO","2573453501","https://botanydb.colorado.edu/collections/individual/index.php?occid=36324","PRESERVED_SPECIMEN",1998,6,7,"1998-06-07","WGS84","00895110"
"Elymus elymoides",-122.668114,38.644777,"cdc,inmafu","US","PRESENT",1000,"CDA","3059714872","https://cch2.org/portal/collections/individual/index.php?occid=4113069","PRESERVED_SPECIMEN",1998,6,14,"1998-06-14","WGS84","CDA-0015742"
"Elymus elymoides",-121.13855,44.25453,"cdc,ambinst","US","PRESENT",805,"OSU","3820655392","https://oregonflora.org/collections/individual/index.php?occid=992543","PRESERVED_SPECIMEN",1998,6,1,"1998-06-01","WGS84",NA
"Elymus elymoides",-117.663333,34.382222,"cdc,cdround,inmafu","US","PRESENT",400,"RSA","2430129870","https://cch2.org/portal/collections/individual/index.php?occid=1100632","PRESERVED_SPECIMEN",1998,7,2,"1998-07-02","WGS84",NA
"Elymus elymoides",-122.40143,39.00158,"cdc,inmafu","US","PRESENT",797,"DAV","2421702144","https://cch2.org/portal/collections/individual/index.php?occid=1327584","PRESERVED_SPECIMEN",1998,7,9,"1998-07-09","WGS84",NA
"Elymus elymoides",-106.081409,38.978807,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573447322","https://botanydb.colorado.edu/collections/individual/index.php?occid=33529","PRESERVED_SPECIMEN",1998,8,2,"1998-08-02","WGS84","00513507"
"Elymus elymoides",-107.58232,35.28932,"cdc,colmafu,inmafu","US","PRESENT",200,"UNM","1843830247","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4040063","PRESERVED_SPECIMEN",1998,8,15,"1998-08-15","WGS84","UNM0100617"
"Elymus elymoides",-107.66957,35.19418,"cdc,colmafu,inmafu","US","PRESENT",200,"UNM","1843829894","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4040141","PRESERVED_SPECIMEN",1998,8,16,"1998-08-16","WGS84","UNM0100401"
"Elymus elymoides",-107.5969,35.30882,"cdc,colmafu,inmafu","US","PRESENT",200,"UNM","1843830187","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4040237","PRESERVED_SPECIMEN",1998,8,15,"1998-08-15","WGS84","UNM0100402"
"Elymus elymoides",-107.60673,38.71109,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573446537","https://botanydb.colorado.edu/collections/individual/index.php?occid=33873","PRESERVED_SPECIMEN",1997,5,20,"1997-05-20","WGS84","00518175"
"Elymus elymoides",-107.627384,38.790823,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573446875","https://botanydb.colorado.edu/collections/individual/index.php?occid=33874","PRESERVED_SPECIMEN",1997,5,17,"1997-05-17","WGS84","00518183"
"Elymus elymoides",-106.222883,36.168546,"cdc,colmafu,inmafu","US","PRESENT",959,"UNM","1843812457","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4022470","PRESERVED_SPECIMEN",1997,5,7,"1997-05-07","WGS84","UNM0100684"
"Elymus elymoides",-109.317702,40.220079,"ambcol","US","PRESENT",563,"KU","176938929",NA,"PRESERVED_SPECIMEN",1997,6,3,"1997-06-03","WGS84","319121"
"Elymus elymoides",-109.5809291,43.4898481,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073785664",NA,"PRESERVED_SPECIMEN",1997,6,29,"1997-06-29","WGS84","161017"
"Elymus elymoides",-120.856111,39.762222,"cdc,ambinst","US","PRESENT",402,"CHSC","2417995961","https://cch2.org/portal/collections/individual/index.php?occid=2078489","PRESERVED_SPECIMEN",1997,7,10,"1997-07-10","WGS84","CHSC074159"
"Elymus elymoides",-106.068655,38.968392,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242375517","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3049488","PRESERVED_SPECIMEN",1997,7,12,"1997-07-12","WGS84","KHD00001487"
"Elymus elymoides",-118.7456889,37.4417775,"cdc,cdrep,inmafu","US","PRESENT",200,"SBBG","3053455131","https://cch2.org/portal/collections/individual/index.php?occid=129137","PRESERVED_SPECIMEN",1997,8,5,"1997-08-05","WGS84","108851"
"Elymus elymoides",-121.42,39.968889,"cdc,ambinst","US","PRESENT",402,"CHSC","2417988394","https://cch2.org/portal/collections/individual/index.php?occid=2073996","PRESERVED_SPECIMEN",1997,8,1,"1997-08-01","WGS84","CHSC069121"
"Elymus elymoides",-106.106074,39.022974,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573444885","https://botanydb.colorado.edu/collections/individual/index.php?occid=33530","PRESERVED_SPECIMEN",1997,8,27,"1997-08-27","WGS84","00513515"
"Elymus elymoides",-107.77358,37.598962,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573445790","https://botanydb.colorado.edu/collections/individual/index.php?occid=33533","PRESERVED_SPECIMEN",1997,8,2,"1997-08-02","WGS84","00513622"
"Elymus elymoides",-121.4188848,39.9805058,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602280062",NA,"PRESERVED_SPECIMEN",1997,8,1,"1997-08-01","WGS84","JEPS94307"
"Elymus elymoides",-103.283186,43.87357,"cdc,inmafu","US","PRESENT",450,"BHSC","2815655160","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25258791","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","BHSC0020770"
