"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Elymus violaceus",-119.256,34.6737,"cdc,inmafu","US","PRESENT",500,"SBBG","3053336179","https://cch2.org/portal/collections/individual/index.php?occid=50292","PRESERVED_SPECIMEN",2000,7,21,"2000-07-21","WGS84","121489"
"Elymus violaceus",-138.746389,68.464722,"cdc,cdround,ambinst","CA","PRESENT",1,"UAM","1146321523","http://arctos.database.museum/guid/UAM:Herb:250677","PRESERVED_SPECIMEN",2000,8,3,"2000-08-03","WGS84","UAM:Herb:250677"
"Elymus violaceus",-106.361728,35.10293,"cdc,cdround,inmafu","US","PRESENT",570,"ASC","3091304053","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21723715","PRESERVED_SPECIMEN",1999,6,12,"1999-06-12","WGS84","ASC00081954"
"Elymus violaceus",-93.998475,44.274575,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265425348","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=171589","PRESERVED_SPECIMEN",1999,7,17,"1999-07-17","WGS84","477024"
"Elymus violaceus",-114.2828682,44.2970075,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073904335",NA,"PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","116840"
"Elymus violaceus",-106.381,35.167,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843898611","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4108096","PRESERVED_SPECIMEN",1999,7,12,"1999-07-12","WGS84","UNM0100884"
"Elymus violaceus",-87.64513,46.59988,"","US","PRESENT",969,"MICH","1989495010",NA,"PRESERVED_SPECIMEN",1999,7,1,"1999-07-01","WGS84","1287862"
"Elymus violaceus",-103.719683,43.769349,"cdc,inmafu","US","PRESENT",638,"BHSC","2815654977","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25260023","PRESERVED_SPECIMEN",1999,8,22,"1999-08-22","WGS84","BHSC0025857"
"Elymus violaceus",-103.637952,45.639428,"cdc,inmafu","US","PRESENT",969,"BHSC","2512331876","https://ngpherbaria.org/portal/collections/individual/index.php?occid=21699882","PRESERVED_SPECIMEN",1999,9,26,"1999-09-26","WGS84","BHSC0026807"
"Elymus violaceus",-103.77035,44.350677,"cdc,inmafu","US","PRESENT",49,"BHSC","2815654986","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25260015","PRESERVED_SPECIMEN",1999,10,3,"1999-10-03","WGS84","BHSC0025090"
"Elymus violaceus",-93.838918,44.855364,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265441811","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=185927","PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84","492233"
"Elymus violaceus",-117.6386,44.1339,"cdc,gass84,inmano","US","PRESENT",6,"VALE","4074152831",NA,"PRESERVED_SPECIMEN",1998,7,17,"1998-07-17","WGS84","4045"
"Elymus violaceus",-105.597317,44.293819,"cdc,inmafu","US","PRESENT",236,"BHSC","2821218591","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25267060","PRESERVED_SPECIMEN",1997,6,7,"1997-06-07","WGS84","BHSC0044276"
"Elymus violaceus",-104.678,34.943,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843896810","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4106500","PRESERVED_SPECIMEN",1997,7,29,"1997-07-29","WGS84","UNM0100881"
"Elymus violaceus",-118.7456889,37.4417775,"cdc,cdrep,inmafu","US","PRESENT",200,"SBBG","3053455318","https://cch2.org/portal/collections/individual/index.php?occid=112812","PRESERVED_SPECIMEN",1997,8,5,"1997-08-05","WGS84","109192"
"Elymus violaceus",-95.94243,45.362274,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265436945","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=182031","PRESERVED_SPECIMEN",1997,8,13,"1997-08-13","WGS84","507885"
"Elymus violaceus",-103.719641,44.124428,"cdc,inmafu","US","PRESENT",301,"BHSC","2815655269","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25259999","PRESERVED_SPECIMEN",1997,8,12,"1997-08-12","WGS84","BHSC0020772"
"Elymus violaceus",-105.68653,33.44846,"cdc,colmafu,inmafu","US","PRESENT",500,"UNM","1843905557","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4115228","PRESERVED_SPECIMEN",1997,8,4,"1997-08-04","WGS84","UNM0100896"
"Elymus violaceus",-103.289022,43.875736,"cdc,inmafu","US","PRESENT",969,"BHSC","2815654947","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25260000","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","BHSC0020773"
"Elymus violaceus",-104.15286,44.055779,"cdc,inmafu","US","PRESENT",510,"BHSC","2815654956","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25260010","PRESERVED_SPECIMEN",1997,9,9,"1997-09-09","WGS84","BHSC0022339"
"Elymus violaceus",-94.889882,44.513365,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265529563","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=8193","PRESERVED_SPECIMEN",1997,9,6,"1997-09-06","WGS84","510773"
"Elymus violaceus",-114.0933574,43.9071123,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073896662",NA,"PRESERVED_SPECIMEN",1997,9,8,"1997-09-08","WGS84","118686"
"Elymus violaceus",-103.38908,43.990348,"cdc,inmafu","US","PRESENT",195,"BHSC","2815654955","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25260004","PRESERVED_SPECIMEN",1997,10,2,"1997-10-02","WGS84","BHSC0020890"
"Elymus violaceus",-103.389638,43.989669,"cdc,inmafu","US","PRESENT",969,"BHSC","2815654954","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25260006","PRESERVED_SPECIMEN",1997,10,2,"1997-10-02","WGS84","BHSC0020935"
"Elymus violaceus",-118.789646,34.167704,"cdc,inmafu","US","PRESENT",500,"RSA","2430178372","https://cch2.org/portal/collections/individual/index.php?occid=1151780","PRESERVED_SPECIMEN",1996,6,27,"1996-06-27","WGS84",NA
"Elymus violaceus",-107.041389,39.042222,"cdc,inmafu","US","PRESENT",500,"RMBL","3776197506","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3029552","PRESERVED_SPECIMEN",1996,7,22,"1996-07-22","WGS84","RMBL0002617"
