"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Epilobium brachycarpum",-121.05332,41.509418,"cdc,inmafu","US","PRESENT",1000,"DAV","2421709438","https://cch2.org/portal/collections/individual/index.php?occid=1334920","PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","DAV302005"
"Epilobium brachycarpum",-114.945238,45.293064,"cdc,incomis,inmafu","US","PRESENT",969,"ID","4073847714",NA,"PRESERVED_SPECIMEN",2000,6,30,"2000-06-30","WGS84","172168"
"Epilobium brachycarpum",-123.68,45.97,"cdc,gass84,ambinst","US","PRESENT",500,"OSU","3820611036","https://oregonflora.org/collections/individual/index.php?occid=4437846","PRESERVED_SPECIMEN",2000,7,26,"2000-07-26","WGS84","OSC-V-262926"
"Epilobium brachycarpum",-119.420673,34.6349419,"cdc,cdrep,inmafu","US","PRESENT",1000,"SBBG","3053444284","https://cch2.org/portal/collections/individual/index.php?occid=112020","PRESERVED_SPECIMEN",2000,8,25,"2000-08-25","WGS84","SBBG197016"
"Epilobium brachycarpum",-123.871389,45.008889,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859462947","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12196944","PRESERVED_SPECIMEN",2000,8,9,"2000-08-09","WGS84","CM497429"
"Epilobium brachycarpum",-120.7433,45.2653,"cdc,colmafu,inmafu","US","PRESENT",208,"UNM","1843868931","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4079005","PRESERVED_SPECIMEN",2000,8,9,"2000-08-09","WGS84","UNM0061679"
"Epilobium brachycarpum",-106.53007,40.65045,"cdc,ambinst","US","PRESENT",1000,"COLO","2573470714","https://botanydb.colorado.edu/collections/individual/index.php?occid=45128","PRESERVED_SPECIMEN",2000,8,7,"2000-08-07","WGS84","00918482"
"Epilobium brachycarpum",-119.9374775,41.908188,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073866762",NA,"PRESERVED_SPECIMEN",2000,8,9,"2000-08-09","WGS84","123401"
"Epilobium brachycarpum",-118.70898,34.271669,"cdc,ambinst","US","PRESENT",50,"UCSB","2270249228","https://cch2.org/portal/collections/individual/index.php?occid=1896347","PRESERVED_SPECIMEN",2000,9,21,"2000-09-21","WGS84","UCSB041917"
"Epilobium brachycarpum",-116.58556,32.62667,"cdc,colmano,inmafu","US","PRESENT",241,"SD","3125203681","https://cch2.org/portal/collections/individual/index.php?occid=515209","PRESERVED_SPECIMEN",2000,9,25,"2000-09-25","WGS84","SD00050074"
"Epilobium brachycarpum",-117.212351,44.432153,"cdc,incomis,inmafu","US","PRESENT",284,"ID","4073884069",NA,"PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","167678"
"Epilobium brachycarpum",-104.3615,37.00475,"cdc,ambinst","US","PRESENT",1000,"COLO","2573472715","https://botanydb.colorado.edu/collections/individual/index.php?occid=45148","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","00934117"
"Epilobium brachycarpum",-111.3833725,43.0283405,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073789556",NA,"PRESERVED_SPECIMEN",1999,8,9,"1999-08-09","WGS84","115878"
"Epilobium brachycarpum",-106.37,35.16,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843896551","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4106583","PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84","UNM0061665"
"Epilobium brachycarpum",-120.916667,41.816667,"cdc,cdround,gass84,inmafu","US","PRESENT",1000,"SFV","2575161659","https://cch2.org/portal/collections/individual/index.php?occid=614985","PRESERVED_SPECIMEN",1999,8,7,"1999-08-07","WGS84","SFV109370"
"Epilobium brachycarpum",-111.4197785,43.4158363,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073831369",NA,"PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84","117931"
"Epilobium brachycarpum",-121.544167,39.202778,"cdc,ambinst","US","PRESENT",402,"CHSC","2417995045","https://cch2.org/portal/collections/individual/index.php?occid=2080352","PRESERVED_SPECIMEN",1999,9,17,"1999-09-17","WGS84","CHSC076285"
"Epilobium brachycarpum",-121.7236,37.9029,"cdc,gass84,inmafu","US","PRESENT",969,"CDA","3059668639","https://cch2.org/portal/collections/individual/index.php?occid=4069352","PRESERVED_SPECIMEN",1999,10,22,"1999-10-22","WGS84","CDA-0015837"
"Epilobium brachycarpum",-123.555278,42.032222,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820607513","https://oregonflora.org/collections/individual/index.php?occid=4252131","PRESERVED_SPECIMEN",1998,6,28,"1998-06-28","WGS84","OSC-V-014411"
"Epilobium brachycarpum",-119.878668,41.575857,"cdc,gass84,ambinst","US","PRESENT",969,"CHSC","2417995399","https://cch2.org/portal/collections/individual/index.php?occid=2081874","PRESERVED_SPECIMEN",1998,7,28,"1998-07-28","WGS84","CHSC077876"
"Epilobium brachycarpum",-121.133598,44.236545,"cdc,cdround,ambinst","US","PRESENT",402,"OSU","3820612554","https://oregonflora.org/collections/individual/index.php?occid=4252981","PRESERVED_SPECIMEN",1998,7,22,"1998-07-22","WGS84","OSC-V-014255"
"Epilobium brachycarpum",-119.059666,34.7579411,"cdc,cdrep,inmafu","US","PRESENT",1000,"SBBG","3053435409","https://cch2.org/portal/collections/individual/index.php?occid=74753","PRESERVED_SPECIMEN",1998,7,25,"1998-07-25","WGS84","SBBG197002"
"Epilobium brachycarpum",-106.1576,42.7006,"cdc,ambinst","US","PRESENT",250,"COLO","2573562351","https://botanydb.colorado.edu/collections/individual/index.php?occid=426577","PRESERVED_SPECIMEN",1998,8,12,"1998-08-12","WGS84","02282663"
"Epilobium brachycarpum",-107.259563,38.958507,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573526567","https://botanydb.colorado.edu/collections/individual/index.php?occid=44922","PRESERVED_SPECIMEN",1998,8,17,"1998-08-17","WGS84","00549071"
"Epilobium brachycarpum",-105.86651,38.28379,"cdc,ambinst","US","PRESENT",1000,"COLO","2573470716","https://botanydb.colorado.edu/collections/individual/index.php?occid=45164","PRESERVED_SPECIMEN",1998,8,20,"1998-08-20","WGS84","00943530"
"Epilobium brachycarpum",-122.544167,40.106667,"cdc,ambinst","US","PRESENT",402,"CHSC","2418005770","https://cch2.org/portal/collections/individual/index.php?occid=2097567","PRESERVED_SPECIMEN",1998,9,24,"1998-09-24","WGS84","CHSC087158"
"Epilobium brachycarpum",-122.043573,37.091892,"cdc,inmafu","US","PRESENT",431,"UCSC","2459167632","https://cch2.org/portal/collections/individual/index.php?occid=235977","PRESERVED_SPECIMEN",1998,9,5,"1998-09-05","WGS84","UCSC100003958"
"Epilobium brachycarpum",-117.85,34.233333,"cdc,cdround,gass84,inmafu","US","PRESENT",100,"SFV","2575161671","https://cch2.org/portal/collections/individual/index.php?occid=614982","PRESERVED_SPECIMEN",1998,10,13,"1998-10-13","WGS84","SFV109367"
"Epilobium brachycarpum",-112.20728,42.66675,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073723659",NA,"PRESERVED_SPECIMEN",1997,7,23,"1997-07-23","WGS84","2012.007"
"Epilobium brachycarpum",-111.3828,43.043,"cdc,incomis,inmafu","US","PRESENT",969,"IDS","4073685350",NA,"PRESERVED_SPECIMEN",1997,7,8,"1997-07-08","WGS84","2014.001"
"Epilobium brachycarpum",-112.20768,42.66609,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073705348",NA,"PRESERVED_SPECIMEN",1997,7,7,"1997-07-07","WGS84","2012.007"
"Epilobium brachycarpum",-121.267476,38.510939,"cdc,inmafu","US","PRESENT",300,"DAV","2421731944","https://cch2.org/portal/collections/individual/index.php?occid=1358374","PRESERVED_SPECIMEN",1997,8,15,"1997-08-15","WGS84","DAV316950"
"Epilobium brachycarpum",-121.204167,39.205,"cdc,ambinst","US","PRESENT",805,"CHSC","2417989146","https://cch2.org/portal/collections/individual/index.php?occid=2074272","PRESERVED_SPECIMEN",1997,8,13,"1997-08-13","WGS84","CHSC069425"
"Epilobium brachycarpum",-121.268,38.51131,"cdc,inmafu","US","PRESENT",500,"CDA","3059681799","https://cch2.org/portal/collections/individual/index.php?occid=4109949","PRESERVED_SPECIMEN",1997,8,15,"1997-08-15","WGS84","CDA-0014399"
"Epilobium brachycarpum",-119.8888368,39.1057344,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073930751",NA,"PRESERVED_SPECIMEN",1997,8,16,"1997-08-16","WGS84","116765"
"Epilobium brachycarpum",-121.1769721,39.4752169,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602348152",NA,"PRESERVED_SPECIMEN",1997,8,30,"1997-08-30","WGS84","JEPS94446"
"Epilobium brachycarpum",-111.822678,35.229184,"cdc,inmafu","US","PRESENT",600,"ASC","3091291140","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2087551","PRESERVED_SPECIMEN",1997,9,12,"1997-09-12","WGS84","ASC00065333"
"Epilobium brachycarpum",-117.0426068,33.4659914,"cdc,cdrep,inmafu","US","PRESENT",1000,"RSA","2430120483","https://cch2.org/portal/collections/individual/index.php?occid=1090582","PRESERVED_SPECIMEN",1996,7,16,"1996-07-16","WGS84",NA
"Epilobium brachycarpum",-112.23182,42.7121,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073745507",NA,"PRESERVED_SPECIMEN",1996,8,14,"1996-08-14","WGS84","2012.007"
"Epilobium brachycarpum",-119.673405,39.170524,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404986414","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12539415","PRESERVED_SPECIMEN",1996,8,8,"1996-08-08","WGS84","81632"
"Epilobium brachycarpum",-120.556,34.774,"cdc,inmafu","US","PRESENT",1000,"OBI","2270188515","https://cch2.org/portal/collections/individual/index.php?occid=180572","PRESERVED_SPECIMEN",1996,8,23,"1996-08-23","WGS84","OBI129220"
"Epilobium brachycarpum",-120.662222,39.8825,"cdc,ambinst","US","PRESENT",402,"CHSC","2417992612","https://cch2.org/portal/collections/individual/index.php?occid=2079721","PRESERVED_SPECIMEN",1996,8,11,"1996-08-11","WGS84","CHSC075513"
"Epilobium brachycarpum",-120.756944,39.942778,"cdc,ambinst","US","PRESENT",201,"CHSC","2417999698","https://cch2.org/portal/collections/individual/index.php?occid=2083761","PRESERVED_SPECIMEN",1996,8,1,"1996-08-01","WGS84","CHSC079782"
"Epilobium brachycarpum",-109.7174413,44.1548414,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073871170",NA,"PRESERVED_SPECIMEN",1996,8,16,"1996-08-16","WGS84","164020"
"Epilobium brachycarpum",-120.5075,34.778,"cdc,inmafu","US","PRESENT",500,"OBI","2270187735","https://cch2.org/portal/collections/individual/index.php?occid=180570","PRESERVED_SPECIMEN",1995,4,6,"1995-04-06","WGS84","OBI129216"
"Epilobium brachycarpum",-115.712902,41.705571,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404868208","https://intermountainbiota.org/portal/collections/individual/index.php?occid=12631808","PRESERVED_SPECIMEN",1995,7,7,"1995-07-07","WGS84","83013"
"Epilobium brachycarpum",-121.109167,39.766111,"cdc,ambinst","US","PRESENT",402,"CHSC","2417987022","https://cch2.org/portal/collections/individual/index.php?occid=2070891","PRESERVED_SPECIMEN",1995,7,23,"1995-07-23","WGS84","CHSC065646"
"Epilobium brachycarpum",-116.1748415,45.7207825,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073786166",NA,"PRESERVED_SPECIMEN",1995,7,8,"1995-07-08","WGS84","113998"
"Epilobium brachycarpum",-105.207855,39.906688,"ambcol","US","PRESENT",899,"KU","176939774",NA,"PRESERVED_SPECIMEN",1995,8,8,"1995-08-08","WGS84","358040"
"Epilobium brachycarpum",-108.200701,37.349959,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573473633","https://botanydb.colorado.edu/collections/individual/index.php?occid=43917","PRESERVED_SPECIMEN",1995,8,23,"1995-08-23","WGS84","00463877"
"Epilobium brachycarpum",-105.204095,39.907534,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573515588","https://botanydb.colorado.edu/collections/individual/index.php?occid=44916","PRESERVED_SPECIMEN",1995,8,8,"1995-08-08","WGS84","00540286"
"Epilobium brachycarpum",-106.5457239,41.577388,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073898984",NA,"PRESERVED_SPECIMEN",1995,8,12,"1995-08-12","WGS84","110588"
"Epilobium brachycarpum",-108.4927883,42.5857643,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073826997",NA,"PRESERVED_SPECIMEN",1995,8,5,"1995-08-05","WGS84","137020"
"Epilobium brachycarpum",-111.499637,39.8043834,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073927726",NA,"PRESERVED_SPECIMEN",1995,8,23,"1995-08-23","WGS84","131215"
"Epilobium brachycarpum",-117.586412,47.493298,"cdc,colmafu,inmafu","US","PRESENT",199,"EWU","4070143522",NA,"PRESERVED_SPECIMEN",1995,9,1,"1995-09-01","WGS84","6334"
"Epilobium brachycarpum",-116.6734622,46.1418761,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073813954",NA,"PRESERVED_SPECIMEN",1994,7,28,"1994-07-28","WGS84","109630"
"Epilobium brachycarpum",-110.704959,43.4137413,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073828322",NA,"PRESERVED_SPECIMEN",1994,7,12,"1994-07-12","WGS84","136506"
"Epilobium brachycarpum",-121.083053,35.691697,"cdc,inmafu","US","PRESENT",346,"OBI","2270188195","https://cch2.org/portal/collections/individual/index.php?occid=180568","PRESERVED_SPECIMEN",1994,8,4,"1994-08-04","WGS84","OBI129221"
"Epilobium brachycarpum",-114.9376637,42.7893172,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073946956",NA,"PRESERVED_SPECIMEN",1994,9,8,"1994-09-08","WGS84","144967"
"Epilobium brachycarpum",-116.96145,33.4095,"cdc,colmano,inmafu","US","PRESENT",402,"SD","3125075685","https://cch2.org/portal/collections/individual/index.php?occid=515137","PRESERVED_SPECIMEN",1994,9,29,"1994-09-29","WGS84","SD00050069"
"Epilobium brachycarpum",-121.186,35.848,"cdc,inmafu","US","PRESENT",1000,"SBBG","3053343377","https://cch2.org/portal/collections/individual/index.php?occid=54331","PRESERVED_SPECIMEN",1994,9,16,"1994-09-16","WGS84","SBBG197041"
"Epilobium brachycarpum",-118.992,34.782,"cdc,inmafu","US","PRESENT",1000,"SBBG","3053425171","https://cch2.org/portal/collections/individual/index.php?occid=69955","PRESERVED_SPECIMEN",1994,9,14,"1994-09-14","WGS84","SBBG197065"
"Epilobium brachycarpum",-116.756869,46.4029742,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073780362",NA,"PRESERVED_SPECIMEN",1993,6,18,"1993-06-18","WGS84","135788"
"Epilobium brachycarpum",-122.131944,41.865,"cdc,ambinst","US","PRESENT",402,"CHSC","2418006177","https://cch2.org/portal/collections/individual/index.php?occid=2097198","PRESERVED_SPECIMEN",1993,7,1,"1993-07-01","WGS84","CHSC086458"
"Epilobium brachycarpum",-105.263155,39.956889,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573465640","https://botanydb.colorado.edu/collections/individual/index.php?occid=43903","PRESERVED_SPECIMEN",1993,7,19,"1993-07-19","WGS84","00463216"
"Epilobium brachycarpum",-122.848687,45.528231,"cdc,incomis,inmafu","US","PRESENT",196,"HPSU","4070154130",NA,"PRESERVED_SPECIMEN",1993,7,6,"1993-07-06","WGS84","6051"
"Epilobium brachycarpum",-110.5327413,42.3700535,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073880699",NA,"PRESERVED_SPECIMEN",1993,7,25,"1993-07-25","WGS84","136856"
"Epilobium brachycarpum",-116.8193631,45.9678758,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073911566",NA,"PRESERVED_SPECIMEN",1993,8,10,"1993-08-10","WGS84","112893"
"Epilobium brachycarpum",-121.306944,39.548611,"cdc,ambinst","US","PRESENT",201,"CHSC","2417983520","https://cch2.org/portal/collections/individual/index.php?occid=2068265","PRESERVED_SPECIMEN",1993,9,7,"1993-09-07","WGS84","CHSC062472"
"Epilobium brachycarpum",-120.4813,34.7732,"cdc,inmafu","US","PRESENT",1000,"OBI","2270187509","https://cch2.org/portal/collections/individual/index.php?occid=180554","PRESERVED_SPECIMEN",1993,NA,NA,"1993","WGS84","OBI129217"
"Epilobium brachycarpum",-119.940508,46.697797,"cdc,incomis,inmafu","US","PRESENT",569,"ID","4073784779",NA,"PRESERVED_SPECIMEN",1992,4,6,"1992-04-06","WGS84","127160"
"Epilobium brachycarpum",-120.860833,39.859444,"cdc,ambinst","US","PRESENT",402,"CHSC","2417980576","https://cch2.org/portal/collections/individual/index.php?occid=2066022","PRESERVED_SPECIMEN",1992,7,17,"1992-07-17","WGS84","CHSC059919"
"Epilobium brachycarpum",-105.309971,39.992291,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573469631","https://botanydb.colorado.edu/collections/individual/index.php?occid=43901","PRESERVED_SPECIMEN",1992,7,18,"1992-07-18","WGS84","00463190"
"Epilobium brachycarpum",-113.722745,42.077177,"cdc,incomis,inmafu","US","PRESENT",621,"IDS","4073732929",NA,"PRESERVED_SPECIMEN",1992,7,26,"1992-07-26","WGS84","1994.043"
"Epilobium brachycarpum",-116.936272,34.240024,"cdc,colmafu,inmafu","US","PRESENT",192,"UTEP","3413513498","http://arctos.database.museum/guid/UTEP:Herb:54496","PRESERVED_SPECIMEN",1992,7,9,"1992-07-09","WGS84","UTEP:Herb:54496"
"Epilobium brachycarpum",-122.00281,44.64768,"cdc,ambinst","US","PRESENT",805,"OSU","3820743499","https://oregonflora.org/collections/individual/index.php?occid=4251316","PRESERVED_SPECIMEN",1992,8,26,"1992-08-26","WGS84","OSC-V-014276"
"Epilobium brachycarpum",-121.439915,38.265927,"cdc,inmafu","US","PRESENT",100,"DAV","2421693874","https://cch2.org/portal/collections/individual/index.php?occid=1320772","PRESERVED_SPECIMEN",1992,9,20,"1992-09-20","WGS84","DAV316938"
"Epilobium brachycarpum",-120.3787,41.7111,"cdc,colmano,inmafu","US","PRESENT",969,"SD","3125072664","https://cch2.org/portal/collections/individual/index.php?occid=515134","PRESERVED_SPECIMEN",1991,6,21,"1991-06-21","WGS84","SD00050173"
