"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Eragrostis spectabilis",-94.251565,45.933896,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265442098","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186039","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84","427948"
"Eragrostis spectabilis",-98.83057,41.90826,"gass84,ambcol","US","PRESENT",0.19,"KU","176942131",NA,"PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","335250"
"Eragrostis spectabilis",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064836407","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16916740","PRESERVED_SPECIMEN",2000,8,21,"2000-08-21","WGS84","MOAR0017485"
"Eragrostis spectabilis",-102.18528,39.31611,"cdc,ambinst","US","PRESENT",250,"COLO","2573451166","https://botanydb.colorado.edu/collections/individual/index.php?occid=35927","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00591834"
"Eragrostis spectabilis",-104.908113,37.922675,"ambcol","US","PRESENT",454,"KU","176941453",NA,"PRESERVED_SPECIMEN",1998,8,13,"1998-08-13","WGS84","322439"
"Eragrostis spectabilis",-104.90888,37.92269,"cdc,ambinst","US","PRESENT",250,"COLO","2573453797","https://botanydb.colorado.edu/collections/individual/index.php?occid=36534","PRESERVED_SPECIMEN",1998,8,13,"1998-08-13","WGS84","00945071"
"Eragrostis spectabilis",-91.426892,43.756218,"cdc,gass84,ambcol","US","PRESENT",521,"MIN","2265575927","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=9009","PRESERVED_SPECIMEN",1998,8,8,"1998-08-08","WGS84","288042"
"Eragrostis spectabilis",-94.873492,38.135123,"ambcol","US","PRESENT",560,"KU","176942272",NA,"PRESERVED_SPECIMEN",1998,9,4,"1998-09-04","WGS84","320081"
"Eragrostis spectabilis",-97.742833,39.27648,"ambcol","US","PRESENT",0.15,"KU","176941445",NA,"PRESERVED_SPECIMEN",1997,8,18,"1997-08-18","WGS84","315103"
"Eragrostis spectabilis",-100.116591,39.598409,"ambcol","US","PRESENT",116,"KU","176941490",NA,"PRESERVED_SPECIMEN",1997,8,20,"1997-08-20","WGS84","315263"
"Eragrostis spectabilis",-92.228586,42.806013,"ambcol","US","PRESENT",910,"KU","176942137",NA,"PRESERVED_SPECIMEN",1997,8,6,"1997-08-06","WGS84","314884"
"Eragrostis spectabilis",-98.101783,39.469768,"ambcol","US","PRESENT",242,"KU","176942231",NA,"PRESERVED_SPECIMEN",1997,8,18,"1997-08-18","WGS84","315140"
