"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Eremogone congesta",-116.286786,44.46927,"cdc,incomis,inmafu","US","PRESENT",906,"ID","4073919499",NA,"PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","168453"
"Eremogone congesta",-107.29727,40.84136,"cdc,ambinst","US","PRESENT",1000,"COLO","2573345432","https://botanydb.colorado.edu/collections/individual/index.php?occid=123586","PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","00869628"
"Eremogone congesta",-114.149027,38.245004,"cdc,colmafu,inmafu","US","PRESENT",696,"RENO","4404896569","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8821828","PRESERVED_SPECIMEN",2000,6,19,"2000-06-19","WGS84","67784"
"Eremogone congesta",-119.937476,41.8068894,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073779871",NA,"PRESERVED_SPECIMEN",2000,6,7,"2000-06-07","WGS84","122678"
"Eremogone congesta",-111.4818759,43.0864392,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073839566",NA,"PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","132244"
"Eremogone congesta",-115.081046,45.371323,"cdc,incomis,inmafu","US","PRESENT",1000,"IDS","4073704105",NA,"PRESERVED_SPECIMEN",2000,7,23,"2000-07-23","WGS84","2014.003"
"Eremogone congesta",-114.1799,39.2805,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404897213","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8821744","PRESERVED_SPECIMEN",2000,7,7,"2000-07-07","WGS84","67783"
"Eremogone congesta",-111.287778,42.9875,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820533902","https://oregonflora.org/collections/individual/index.php?occid=981497","PRESERVED_SPECIMEN",2000,7,7,"2000-07-07","WGS84",NA
"Eremogone congesta",-113.6575238,42.3226322,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073935778",NA,"PRESERVED_SPECIMEN",2000,7,27,"2000-07-27","WGS84","120639"
"Eremogone congesta",-106.574939,41.260827,"ambcol","US","PRESENT",941,"KU","176878595",NA,"PRESERVED_SPECIMEN",1999,6,2,"1999-06-02","WGS84","322699"
"Eremogone congesta",-117.1938727,45.9412728,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073820466",NA,"PRESERVED_SPECIMEN",1999,6,30,"1999-06-30","WGS84","123849"
"Eremogone congesta",-105.7698069,42.0094871,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073830546",NA,"PRESERVED_SPECIMEN",1999,7,7,"1999-07-07","WGS84","142807"
"Eremogone congesta",-106.59279,40.900907,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242376167","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3048624","PRESERVED_SPECIMEN",1999,8,1,"1999-08-01","WGS84","KHD00030426"
"Eremogone congesta",-115.339734,37.354291,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404977277","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8800209","PRESERVED_SPECIMEN",1998,6,27,"1998-06-27","WGS84","67727"
"Eremogone congesta",-120.022416,40.032339,"cdc,colmafu,inmafu","US","PRESENT",91,"RENO","4404896262","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8821547","PRESERVED_SPECIMEN",1998,6,30,"1998-06-30","WGS84","67780"
"Eremogone congesta",-106.548095,38.511599,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573343294","https://botanydb.colorado.edu/collections/individual/index.php?occid=123386","PRESERVED_SPECIMEN",1998,7,24,"1998-07-24","WGS84","00550772"
"Eremogone congesta",-120.7606818,40.8523967,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602343982",NA,"PRESERVED_SPECIMEN",1997,5,27,"1997-05-27","WGS84","JEPS94520"
"Eremogone congesta",-107.539099,38.752855,"cdc,ambinst","US","PRESENT",1000,"COLO","2573346378","https://botanydb.colorado.edu/collections/individual/index.php?occid=123353","PRESERVED_SPECIMEN",1997,6,1,"1997-06-01","WGS84","00518977"
"Eremogone congesta",-120.6665718,40.3123063,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602348207",NA,"PRESERVED_SPECIMEN",1997,6,24,"1997-06-24","WGS84","JEPS94458"
"Eremogone congesta",-116.5849256,44.0595914,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073827806",NA,"PRESERVED_SPECIMEN",1997,6,5,"1997-06-05","WGS84","119599"
"Eremogone congesta",-113.718226,44.193338,"ambcol","US","PRESENT",561,"KU","176876470",NA,"PRESERVED_SPECIMEN",1997,7,17,"1997-07-17","WGS84","318210"
"Eremogone congesta",-110.72311,43.729952,"ambcol","US","PRESENT",849,"KU","176878347",NA,"PRESERVED_SPECIMEN",1997,7,5,"1997-07-05","WGS84","319345"
"Eremogone congesta",-109.947954,43.607788,"ambcol","US","PRESENT",346,"KU","4143391368",NA,"PRESERVED_SPECIMEN",1997,7,29,"1997-07-29","WGS84","429530"
"Eremogone congesta",-109.5438254,43.2770504,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073872748",NA,"PRESERVED_SPECIMEN",1997,8,13,"1997-08-13","WGS84","161760"
"Eremogone congesta",-107.040392,38.993703,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573343842","https://botanydb.colorado.edu/collections/individual/index.php?occid=123354","PRESERVED_SPECIMEN",1997,8,4,"1997-08-04","WGS84","00518985"
"Eremogone congesta",-113.7159233,42.1638337,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073790001",NA,"PRESERVED_SPECIMEN",1996,6,19,"1996-06-19","WGS84","120165"
"Eremogone congesta",-112.943225,45.663939,"ambcol","US","PRESENT",876,"KU","176878311",NA,"PRESERVED_SPECIMEN",1996,7,28,"1996-07-28","WGS84","309846"
"Eremogone congesta",-116.0923413,45.8365825,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073872094",NA,"PRESERVED_SPECIMEN",1996,7,23,"1996-07-23","WGS84","113823"
"Eremogone congesta",-120.169933,39.395872,"cdc,gass84,inmafu","US","PRESENT",969,"DAV","2421724651","https://cch2.org/portal/collections/individual/index.php?occid=1351472","PRESERVED_SPECIMEN",1995,6,20,"1995-06-20","WGS84","DAV390103"
"Eremogone congesta",-115.9480337,45.6194849,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073937499",NA,"PRESERVED_SPECIMEN",1995,7,31,"1995-07-31","WGS84","113965"
"Eremogone congesta",-106.119144,39.009333,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573330046","https://botanydb.colorado.edu/collections/individual/index.php?occid=107168","PRESERVED_SPECIMEN",1995,8,11,"1995-08-11","WGS84","00155713"
"Eremogone congesta",-109.9980093,40.8506769,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073924754",NA,"PRESERVED_SPECIMEN",1995,8,22,"1995-08-22","WGS84","136984"
"Eremogone congesta",-106.2914145,41.3395926,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073852348",NA,"PRESERVED_SPECIMEN",1995,8,26,"1995-08-26","WGS84","110570"
"Eremogone congesta",-114.556513,44.142696,"cdc,incomis,inmafu","US","PRESENT",630,"ID","4073818304",NA,"PRESERVED_SPECIMEN",1995,8,6,"1995-08-06","WGS84","167044"
"Eremogone congesta",-108.325912,37.624546,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573343499","https://botanydb.colorado.edu/collections/individual/index.php?occid=123146","PRESERVED_SPECIMEN",1994,6,28,"1994-06-28","WGS84","00231605"
"Eremogone congesta",-108.9737995,42.4185631,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073829024",NA,"PRESERVED_SPECIMEN",1994,6,16,"1994-06-16","WGS84","136956"
