"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Eriophorum vaginatum",-93.643672,45.465209,"cdc,ambcol","US","PRESENT",800,"MIN","2265531039","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81949","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","473020"
"Eriophorum vaginatum",-88.52092,47.20646,"","US","PRESENT",969,"MICH","1989264266",NA,"PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","1201177"
"Eriophorum vaginatum",-110.404999,57.693802,"osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","986394230","https://search.museums.ualberta.ca/12-128254","PRESERVED_SPECIMEN",2000,6,14,"2000-06-14","WGS84","133910"
"Eriophorum vaginatum",-110.420998,57.7934,"osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","986393721","https://search.museums.ualberta.ca/12-128255","PRESERVED_SPECIMEN",2000,6,15,"2000-06-15","WGS84","133911"
"Eriophorum vaginatum",-94.6237667,58.8719326,"cdrep,cdround","CA","PRESENT",10,"WIN","1703303391","https://nansh.org/portal/collections/individual/index.php?occid=30462507","PRESERVED_SPECIMEN",2000,7,5,"2000-07-05","WGS84","79643"
"Eriophorum vaginatum",-93.8497839,57.4721826,"cdrep,cdround","CA","PRESENT",100,"WIN","2564817212","https://nansh.org/portal/collections/individual/index.php?occid=30465192","PRESERVED_SPECIMEN",1999,6,13,"1999-06-13","WGS84","82491"
"Eriophorum vaginatum",-82.827762,43.604458,"gass84","US","PRESENT",1.01,"MICH","1989497568",NA,"PRESERVED_SPECIMEN",1999,6,16,"1999-06-16","WGS84","1325508"
"Eriophorum vaginatum",-93.998246,46.781786,"cdc,ambcol","US","PRESENT",800,"MIN","2265430342","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175470","PRESERVED_SPECIMEN",1998,5,20,"1998-05-20","WGS84","456471"
"Eriophorum vaginatum",-90.201487,48.944308,"cdc,cdround","CA","PRESENT",429,"iNaturalist","3067756725","https://www.inaturalist.org/observations/37507104","HUMAN_OBSERVATION",1996,6,15,"1996-06-15T03:33","WGS84","37507104"
"Eriophorum vaginatum",-112.936035,53.492247,"osiic,colmano,inmafu","CA","PRESENT",284,"University of Alberta Museums","986393748","https://search.museums.ualberta.ca/12-128257","PRESERVED_SPECIMEN",1996,7,24,"1996-07-24","WGS84","133913"
"Eriophorum vaginatum",-93.17745,46.845996,"cdc,ambcol","US","PRESENT",800,"MIN","2265529010","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81953","PRESERVED_SPECIMEN",1995,6,22,"1995-06-22","WGS84","835622"
"Eriophorum vaginatum",-70.47027,43.55277,"cdc,gass84,inmano","US","PRESENT",1,"UConn","699268630",NA,"PRESERVED_SPECIMEN",1995,7,20,"1995-07-20","WGS84","CONN00152714"
"Eriophorum vaginatum",-90.371716,47.766516,"cdc,ambcol","US","PRESENT",800,"MIN","2265528691","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81985","PRESERVED_SPECIMEN",1995,8,8,"1995-08-08","WGS84","430393"
"Eriophorum vaginatum",-93.629164,47.580163,"cdc,ambcol","US","PRESENT",800,"MIN","2265529543","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81990","PRESERVED_SPECIMEN",1994,5,21,"1994-05-21","WGS84","456783"
"Eriophorum vaginatum",-91.20746,46.379457,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095609785","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30419823","PRESERVED_SPECIMEN",1994,6,7,"1994-06-07","WGS84","UWW004716"
"Eriophorum vaginatum",-90.480646,48.042126,"cdc,ambcol","US","PRESENT",800,"MIN","2265529829","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81997","PRESERVED_SPECIMEN",1994,6,29,"1994-06-29","WGS84","519248"
"Eriophorum vaginatum",-84.826052,46.15397,"gass84","US","PRESENT",585,"MICH","1988772267",NA,"PRESERVED_SPECIMEN",1994,7,11,"1994-07-11","WGS84","1330991"
"Eriophorum vaginatum",-92.477727,46.048527,"cdc,ambcol","US","PRESENT",800,"MIN","2265530110","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81996","PRESERVED_SPECIMEN",1993,6,1,"1993-06-01","WGS84","515729"
