"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Euphorbia cyparissias",-74.64,41.374722,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859442940","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12145285","PRESERVED_SPECIMEN",2000,7,15,"2000-07-15","WGS84","CM497130"
"Euphorbia cyparissias",-92.319092,44.50536,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265428898","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175392","PRESERVED_SPECIMEN",1999,6,5,"1999-06-05","WGS84","484259"
"Euphorbia cyparissias",-72.718071,41.938479,"cdc,inmafu","US","PRESENT",301,"CDA","3059689384","https://cch2.org/portal/collections/individual/index.php?occid=4101001","PRESERVED_SPECIMEN",1998,5,4,"1998-05-04","WGS84","CDA-0048198"
"Euphorbia cyparissias",-92.481055,44.201874,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265538495","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83507","PRESERVED_SPECIMEN",1997,5,26,"1997-05-26","WGS84","463636"
"Euphorbia cyparissias",-92.435385,42.744013,"ambcol","US","PRESENT",113,"KU","176947278",NA,"PRESERVED_SPECIMEN",1997,6,14,"1997-06-14","WGS84","311857"
"Euphorbia cyparissias",-121.678633,43.14036,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820729635","https://oregonflora.org/collections/individual/index.php?occid=2306200","PRESERVED_SPECIMEN",1996,7,4,"1996-07-04","WGS84",NA
"Euphorbia cyparissias",-94.214644,47.332767,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265538826","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83504","PRESERVED_SPECIMEN",1995,9,13,"1995-09-13","WGS84","458556"
"Euphorbia cyparissias",-79.33194,40.456944,"cdc,colmafu,inmafu","US","PRESENT",250,"CM","2859442916","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12144772","PRESERVED_SPECIMEN",1994,4,28,"1994-04-28","WGS84","CM389813"
"Euphorbia cyparissias",-82.792282,34.671458,"gass84,ambcol,inmafu","US","PRESENT",45,"F","2612139575",NA,"PRESERVED_SPECIMEN",1994,4,24,"1994-04-24","WGS84","V0546938F"
"Euphorbia cyparissias",-116.0897514,46.4319796,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073829459",NA,"PRESERVED_SPECIMEN",1994,5,19,"1994-05-19","WGS84","108919"
"Euphorbia cyparissias",-118.0901938,45.785366,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073922137",NA,"PRESERVED_SPECIMEN",1993,6,15,"1993-06-15","WGS84","141289"
"Euphorbia cyparissias",-92.949259,44.521788,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265540331","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83506","PRESERVED_SPECIMEN",1993,6,9,"1993-06-09","WGS84","460579"
"Euphorbia cyparissias",-84.75773,44.67765,"","US","PRESENT",969,"MICH","1989118289",NA,"PRESERVED_SPECIMEN",1993,6,28,"1993-06-28","WGS84","1287351"
"Euphorbia cyparissias",-94.65984,47.431946,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265545313","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83505","PRESERVED_SPECIMEN",1993,8,17,"1993-08-17","WGS84","458758"
"Euphorbia cyparissias",-77.580572,41.729487,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859439943","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12144593","PRESERVED_SPECIMEN",1992,5,25,"1992-05-25","WGS84","CM380869"
"Euphorbia cyparissias",-83.54821,43.09925,"","US","PRESENT",969,"MICH","1988699698",NA,"PRESERVED_SPECIMEN",1992,6,11,"1992-06-11","WGS84","1287329"
"Euphorbia cyparissias",-76.569018,36.644804,"cdc,inmafu","US","PRESENT",802,"ODU","3496964209","https://sernecportal.org/portal/collections/individual/index.php?occid=22158013","PRESERVED_SPECIMEN",1991,5,2,"1991-05-02","WGS84","ODU00021258"
"Euphorbia cyparissias",-92.219269,43.637724,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265541995","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83522","PRESERVED_SPECIMEN",1991,6,19,"1991-06-19","WGS84","833528"
"Euphorbia cyparissias",-92.852903,45.727165,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265541787","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83521","PRESERVED_SPECIMEN",1990,6,14,"1990-06-14","WGS84","828375"
"Euphorbia cyparissias",-75.972953,36.823134,"cdc,inmafu","US","PRESENT",252,"ODU","3496964234","https://sernecportal.org/portal/collections/individual/index.php?occid=22158012","PRESERVED_SPECIMEN",1987,4,12,"1987-04-12","WGS84","ODU00021257"
"Euphorbia cyparissias",-80.110881,42.162288,"cdc,colmafu,inmafu","US","PRESENT",600,"CM","2859441887","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12143709","PRESERVED_SPECIMEN",1986,6,28,"1986-06-28","WGS84","CM325849"
"Euphorbia cyparissias",-116.084848,44.832672,"cdc,inmano","US","PRESENT",301,"IDE","4074141322",NA,"PRESERVED_SPECIMEN",1986,8,29,"1986-08-29","WGS84","2972"
