"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Euphorbia esula",-103.558508,40.345421,"cdc,cdround,colmafu,inmafu","US","PRESENT",1000,"CS","3798112458","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=29345388","PRESERVED_SPECIMEN",1999,6,10,"1999-06-10","WGS84","200446"
"Euphorbia esula",-81.189927,43.467792,"cdc,colmafu,inmafu","CA","PRESENT",395,"CM","2859145020","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12145177","PRESERVED_SPECIMEN",1998,6,9,"1998-06-09","WGS84","CM486457"
"Euphorbia esula",-93.852531,44.618979,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265425458","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=17016","PRESERVED_SPECIMEN",1998,6,25,"1998-06-25","WGS84","479732"
"Euphorbia esula",-111.4736,34.845,"cdc,colmafu,inmafu","US","PRESENT",208,"UNM","1843869735","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4079404","PRESERVED_SPECIMEN",1998,8,6,"1998-08-06","WGS84","UNM0039525"
"Euphorbia esula",-90.372187,48.055345,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265541292","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83550","PRESERVED_SPECIMEN",1998,9,2,"1998-09-02","WGS84","476268"
"Euphorbia esula",-95.149836,44.605322,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265376432","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=12733","PRESERVED_SPECIMEN",1997,5,21,"1997-05-21","WGS84","432453"
"Euphorbia esula",-94.200152,44.217999,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265439908","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=183798","PRESERVED_SPECIMEN",1997,6,8,"1997-06-08","WGS84","520710"
"Euphorbia esula",-95.370736,44.694087,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265427465","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=172544","PRESERVED_SPECIMEN",1997,7,1,"1997-07-01","WGS84","509741"
"Euphorbia esula",-94.401883,44.290079,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265432817","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175363","PRESERVED_SPECIMEN",1997,8,28,"1997-08-28","WGS84","491063"
"Euphorbia esula",-95.571817,45.39048,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265470885","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=296","PRESERVED_SPECIMEN",1997,8,8,"1997-08-08","WGS84","455784"
"Euphorbia esula",-111.946363,35.9681,"cdc,gass84,inmano","US","PRESENT",74,"USFS","4400861489","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5527649","PRESERVED_SPECIMEN",1997,9,9,"1997-09-09","WGS84","1819"
"Euphorbia esula",-94.599158,47.605526,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265539034","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83554","PRESERVED_SPECIMEN",1994,6,14,"1994-06-14","WGS84","497570"
"Euphorbia esula",-118.447491,45.227503,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820731598","https://oregonflora.org/collections/individual/index.php?occid=1168730","PRESERVED_SPECIMEN",1994,7,7,"1994-07-07","WGS84","OSC-V-257015"
"Euphorbia esula",-118.4578938,45.2316664,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073774434",NA,"PRESERVED_SPECIMEN",1994,7,7,"1994-07-07","WGS84","11827"
"Euphorbia esula",-107.594737,36.983977,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1842921598","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4006257","PRESERVED_SPECIMEN",1993,5,19,"1993-05-19","WGS84","UNM0039521"
"Euphorbia esula",-111.359677,43.4303366,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073786833",NA,"PRESERVED_SPECIMEN",1993,6,6,"1993-06-06","WGS84","118810"
"Euphorbia esula",-92.372823,46.077204,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265540726","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83548","PRESERVED_SPECIMEN",1993,6,27,"1993-06-27","WGS84","460759"
"Euphorbia esula",-94.502671,47.045328,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265540919","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83584","PRESERVED_SPECIMEN",1992,6,22,"1992-06-22","WGS84","829396"
"Euphorbia esula",-94.337899,46.303971,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265541433","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83586","PRESERVED_SPECIMEN",1992,6,29,"1992-06-29","WGS84","833109"
"Euphorbia esula",-105.362736,39.693703,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242380265","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3055258","PRESERVED_SPECIMEN",1991,7,7,"1991-07-07","WGS84","KHD00018892"
"Euphorbia esula",-93.53047,44.797739,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265540638","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=83542","PRESERVED_SPECIMEN",1991,7,23,"1991-07-23","WGS84","427428"
