"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Euthamia graminifolia",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064846576","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11245518","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84","MOAR0000344"
"Euthamia graminifolia",-82.805373,41.672383,"cdc,colmafu,inmafu","US","PRESENT",200,"CM","2859031126","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11813644","PRESERVED_SPECIMEN",2000,9,6,"2000-09-06","WGS84","CM505167"
"Euthamia graminifolia",-95.201334,47.188559,"cdc,ambcol","US","PRESENT",1000,"MIN","2265544587","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=84024","PRESERVED_SPECIMEN",1999,7,20,"1999-07-20","WGS84","429414"
"Euthamia graminifolia",-82.210502,39.253286,"cdc,gass84","US","PRESENT",75,"USU","2846763303","https://intermountainbiota.org/portal/collections/individual/index.php?occid=25868675","PRESERVED_SPECIMEN",1999,9,6,"1999-09-06","WGS84","UTC00286108"
"Euthamia graminifolia",-95.665276,45.795791,"cdc,ambcol","US","PRESENT",800,"MIN","2265397922","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=14473","PRESERVED_SPECIMEN",1998,7,21,"1998-07-21","WGS84","568007"
"Euthamia graminifolia",-90.04601,48.057476,"cdc,ambcol","US","PRESENT",800,"MIN","2265429195","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=172866","PRESERVED_SPECIMEN",1998,7,30,"1998-07-30","WGS84","476858"
"Euthamia graminifolia",-94.120035,44.319339,"cdc,cdround,ambcol","US","PRESENT",800,"MIN","2265434111","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=178820","PRESERVED_SPECIMEN",1998,7,29,"1998-07-29","WGS84","499650"
"Euthamia graminifolia",-90.630526,48.084458,"cdc,ambcol","US","PRESENT",800,"MIN","2265548538","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=8407","PRESERVED_SPECIMEN",1998,7,31,"1998-07-31","WGS84","476848"
"Euthamia graminifolia",-80.178889,40.414444,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859319076","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11812746","PRESERVED_SPECIMEN",1998,10,6,"1998-10-06","WGS84","CM485369"
"Euthamia graminifolia",-94.823256,44.753191,"cdc,ambcol","US","PRESENT",800,"MIN","2265430371","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=174861","PRESERVED_SPECIMEN",1997,8,29,"1997-08-29","WGS84","455592"
