"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Festuca altaica",-118.829235,53.57769,"osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","2597534249","https://search.museums.ualberta.ca/12-169519","PRESERVED_SPECIMEN",2000,8,2,"2000-08-02","WGS84","142141"
"Festuca altaica",-118.520288,53.559335,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","883363806","https://search.museums.ualberta.ca/12-3199","PRESERVED_SPECIMEN",1999,8,24,"1999-08-24","WGS84","103456"
"Festuca altaica",-118.566002,53.502102,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","883364044","https://search.museums.ualberta.ca/12-3251","PRESERVED_SPECIMEN",1999,8,6,"1999-08-06","WGS84","103457"
"Festuca altaica",-118.698998,53.714001,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","2597534093","https://search.museums.ualberta.ca/12-169514","PRESERVED_SPECIMEN",1999,8,4,"1999-08-04","WGS84","142137"
"Festuca altaica",-118.501999,53.4855,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","2597534144","https://search.museums.ualberta.ca/12-169516","PRESERVED_SPECIMEN",1999,8,4,"1999-08-04","WGS84","142138"
"Festuca altaica",-118.976997,53.768902,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","2597534150","https://search.museums.ualberta.ca/12-169517","PRESERVED_SPECIMEN",1999,8,5,"1999-08-05","WGS84","142139"
"Festuca altaica",-118.519997,53.561199,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","2597534212","https://search.museums.ualberta.ca/12-169518","PRESERVED_SPECIMEN",1999,8,24,"1999-08-24","WGS84","142140"
"Festuca altaica",-114.1198,46.7956,"cdc,incomis,inmafu","US","PRESENT",969,"MONTU","4069888187",NA,"PRESERVED_SPECIMEN",1994,5,31,"1994-05-31","WGS84","165747"
"Festuca altaica",-113.938519,46.648488,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069923143",NA,"PRESERVED_SPECIMEN",1994,5,5,"1994-05-05","WGS84","143530"
"Festuca altaica",-115.227957,48.477268,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069890842",NA,"PRESERVED_SPECIMEN",1989,7,14,"1989-07-14","WGS84","167214"
"Festuca altaica",-114.250035,47.611281,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069893089",NA,"PRESERVED_SPECIMEN",1988,6,11,"1988-06-11","WGS84","167839"
"Festuca altaica",-114.239232,47.676895,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069904333",NA,"PRESERVED_SPECIMEN",1988,6,11,"1988-06-11","WGS84","167840"
"Festuca altaica",-110.540692,46.927436,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069905667",NA,"PRESERVED_SPECIMEN",1988,7,21,"1988-07-21","WGS84","143597"
"Festuca altaica",-115.077628,48.950521,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069927214",NA,"PRESERVED_SPECIMEN",1987,5,15,"1987-05-15","WGS84","167150"
"Festuca altaica",-113.539011,46.066406,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069872540",NA,"PRESERVED_SPECIMEN",1984,7,14,"1984-07-14","WGS84","164509"
"Festuca altaica",-120.341667,50.144444,"cdc,cdround,gass84,ambinst","CA","PRESENT",805,"OSU","3820569766","https://oregonflora.org/collections/individual/index.php?occid=1071447","PRESERVED_SPECIMEN",1981,5,21,"1981-05-21","WGS84",NA
"Festuca altaica",-111.270325,43.225067,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073730445",NA,"PRESERVED_SPECIMEN",1978,7,24,"1978-07-24","WGS84","2012.010"
"Festuca altaica",-111.27032,43.22506,"cdc,incomis,inmafu","US","PRESENT",500,"SRP","4068981997",NA,"PRESERVED_SPECIMEN",1978,7,24,"1978-07-24","WGS84","53537"
"Festuca altaica",-111.297104,43.087272,"cdc,incomis,inmafu","US","PRESENT",500,"IDS","4073750387",NA,"PRESERVED_SPECIMEN",1978,8,9,"1978-08-09","WGS84","2012.010"
"Festuca altaica",-111.2971,43.08727,"cdc,incomis,inmafu","US","PRESENT",500,"SRP","4068964792",NA,"PRESERVED_SPECIMEN",1978,8,9,"1978-08-09","WGS84","49780"
"Festuca altaica",-114.567405,47.911274,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820641764","https://oregonflora.org/collections/individual/index.php?occid=977448","PRESERVED_SPECIMEN",1977,6,10,"1977-06-10","WGS84",NA
"Festuca altaica",-111.745079,44.915724,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069934051",NA,"PRESERVED_SPECIMEN",1977,9,7,"1977-09-07","WGS84","143622"
"Festuca altaica",-114.412259,47.958541,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069932245",NA,"PRESERVED_SPECIMEN",1976,6,25,"1976-06-25","WGS84","143556"
"Festuca altaica",-112.311085,46.558336,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069872359",NA,"PRESERVED_SPECIMEN",1976,6,30,"1976-06-30","WGS84","143525"
"Festuca altaica",-113.969392,48.055229,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069918025",NA,"PRESERVED_SPECIMEN",1976,7,10,"1976-07-10","WGS84","143558"
"Festuca altaica",-114.446969,48.401604,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069914660",NA,"PRESERVED_SPECIMEN",1976,7,26,"1976-07-26","WGS84","143564"
"Festuca altaica",-110.064327,46.008059,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069918685",NA,"PRESERVED_SPECIMEN",1976,8,2,"1976-08-02","WGS84","143591"
"Festuca altaica",-112.906407,47.290866,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069870276",NA,"PRESERVED_SPECIMEN",1975,8,1,"1975-08-01","WGS84","143546"
"Festuca altaica",-108.622424,47.919104,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069919711",NA,"PRESERVED_SPECIMEN",1975,8,12,"1975-08-12","WGS84","143603"
"Festuca altaica",-114.73172,47.121881,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069916359",NA,"PRESERVED_SPECIMEN",1974,5,4,"1974-05-04","WGS84","143544"
"Festuca altaica",-109.164784,47.223503,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069885164",NA,"PRESERVED_SPECIMEN",1974,6,29,"1974-06-29","WGS84","143599"
"Festuca altaica",-111.020809,45.089782,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069943400",NA,"PRESERVED_SPECIMEN",1974,7,19,"1974-07-19","WGS84","143614"
"Festuca altaica",-111.180783,48.859846,"cdc,incomis,inmafu","US","PRESENT",569,"MONTU","4069897303",NA,"PRESERVED_SPECIMEN",1974,9,4,"1974-09-04","WGS84","143610"
"Festuca altaica",-111.139878,48.854374,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069908867",NA,"PRESERVED_SPECIMEN",1974,9,4,"1974-09-04","WGS84","143611"
"Festuca altaica",-113.002792,45.871152,"cdc,incomis,inmafu","US","PRESENT",284,"MONTU","4069876053",NA,"PRESERVED_SPECIMEN",1973,7,12,"1973-07-12","WGS84","143502"
