"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Festuca idahoensis",-120.212515,44.674856,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404982838","https://intermountainbiota.org/portal/collections/individual/index.php?occid=15916408","PRESERVED_SPECIMEN",2000,6,9,"2000-06-09","WGS84","97643"
"Festuca idahoensis",-106.25384,40.98188,"cdc,ambinst","US","PRESENT",1000,"COLO","2573453880","https://botanydb.colorado.edu/collections/individual/index.php?occid=36356","PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","00900977"
"Festuca idahoensis",-111.4621755,43.1009392,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073952733",NA,"PRESERVED_SPECIMEN",2000,6,14,"2000-06-14","WGS84","133345"
"Festuca idahoensis",-111.4818759,43.0864392,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073847882",NA,"PRESERVED_SPECIMEN",2000,6,13,"2000-06-13","WGS84","120947"
"Festuca idahoensis",-106.32566,39.29928,"cdc,ambinst","US","PRESENT",1000,"COLO","2573453903","https://botanydb.colorado.edu/collections/individual/index.php?occid=36295","PRESERVED_SPECIMEN",2000,7,2,"2000-07-02","WGS84","00890582"
"Festuca idahoensis",-123.1394679,42.7162493,"cdc,cdrep,txmathi,incomis,inmafu","US","PRESENT",800,"ID","4073876248",NA,"PRESERVED_SPECIMEN",2000,7,11,"2000-07-11","WGS84","136272"
"Festuca idahoensis",-120.662222,39.372222,"cdc,ambinst","US","PRESENT",402,"CHSC","2417997116","https://cch2.org/portal/collections/individual/index.php?occid=2082455","PRESERVED_SPECIMEN",2000,8,10,"2000-08-10","WGS84","CHSC078491"
"Festuca idahoensis",-123.523587,42.947994,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820648954","https://oregonflora.org/collections/individual/index.php?occid=1005042","PRESERVED_SPECIMEN",1999,6,2,"1999-06-02","WGS84",NA
"Festuca idahoensis",-123.53483,42.97827,"cdc,txmathi,ambinst","US","PRESENT",805,"OSU","3820677352","https://oregonflora.org/collections/individual/index.php?occid=1037588","PRESERVED_SPECIMEN",1999,6,2,"1999-06-02","WGS84",NA
"Festuca idahoensis",-123.2562,43.32287,"cdc,txmathi,ambinst","US","PRESENT",805,"OSU","3820687367","https://oregonflora.org/collections/individual/index.php?occid=1037589","PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84",NA
