"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Festuca ovina",-106.6536,39.3006,"cdc,ambinst","US","PRESENT",1000,"COLO","2573453233","https://botanydb.colorado.edu/collections/individual/index.php?occid=36293","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00890566"
"Festuca ovina",-106.22535,38.41443,"cdc,ambinst","US","PRESENT",1000,"COLO","2573454989","https://botanydb.colorado.edu/collections/individual/index.php?occid=36524","PRESERVED_SPECIMEN",1998,7,16,"1998-07-16","WGS84","00944181"
"Festuca ovina",-106.413726,36.735864,"cdc,cdround,colmafu,inmafu","US","PRESENT",200,"UNM","1843823686","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4033683","PRESERVED_SPECIMEN",1998,7,2,"1998-07-02","WGS84","UNM0102185"
"Festuca ovina",-104.97428,37.38535,"cdc,ambinst","US","PRESENT",500,"COLO","2573453470","https://botanydb.colorado.edu/collections/individual/index.php?occid=36557","PRESERVED_SPECIMEN",1998,8,14,"1998-08-14","WGS84","00957704"
"Festuca ovina",-105.806492,33.390767,"cdc,colmafu,inmafu","US","PRESENT",300,"UTEP","3413517206","http://arctos.database.museum/guid/UTEP:Herb:54236","PRESERVED_SPECIMEN",1995,7,27,"1995-07-27","WGS84","UTEP:Herb:54236"
"Festuca ovina",-120.588444,47.281892,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820546043","https://oregonflora.org/collections/individual/index.php?occid=1007964","PRESERVED_SPECIMEN",1994,6,22,"1994-06-22","WGS84",NA
"Festuca ovina",-120.588434,47.31082,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820664527","https://oregonflora.org/collections/individual/index.php?occid=1018486","PRESERVED_SPECIMEN",1994,6,8,"1994-06-08","WGS84",NA
"Festuca ovina",-114.5438728,44.1376068,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073907554",NA,"PRESERVED_SPECIMEN",1994,7,16,"1994-07-16","WGS84","110494"
"Festuca ovina",-114.6040744,44.1376063,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073853522",NA,"PRESERVED_SPECIMEN",1994,7,19,"1994-07-19","WGS84","110484"
"Festuca ovina",-118.232182,44.952005,"cdc,cdround,ambinst","US","PRESENT",402,"OSU","3820547788","https://oregonflora.org/collections/individual/index.php?occid=1025248","PRESERVED_SPECIMEN",1994,8,12,"1994-08-12","WGS84",NA
"Festuca ovina",-111.4781,38.175,"cdc,inmafu","US","PRESENT",969,"DES","1846545937","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3223077","PRESERVED_SPECIMEN",1992,8,1,"1992-08-01","WGS84","DES00039053"
"Festuca ovina",-112.7477433,37.4344201,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073937412",NA,"PRESERVED_SPECIMEN",1991,7,25,"1991-07-25","WGS84","106081"
"Festuca ovina",-112.4089445,38.3612034,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073839969",NA,"PRESERVED_SPECIMEN",1991,7,27,"1991-07-27","WGS84","103170"
"Festuca ovina",-121.849731,46.863577,"cdc,incomis,inmafu","US","PRESENT",1000,"MORA","4068341358",NA,"PRESERVED_SPECIMEN",1991,8,1,"1991-08-01","WGS84","MORA-00993"
"Festuca ovina",-111.604,35.1573,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270567105","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3356471","PRESERVED_SPECIMEN",1990,6,13,"1990-06-13","WGS84","ASU0069410"
"Festuca ovina",-105.616735,40.387134,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573447523","https://botanydb.colorado.edu/collections/individual/index.php?occid=34441","PRESERVED_SPECIMEN",1990,6,15,"1990-06-15","WGS84","00525857"
"Festuca ovina",-115.7503193,45.0566901,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073824387",NA,"PRESERVED_SPECIMEN",1990,7,7,"1990-07-07","WGS84","99829"
"Festuca ovina",-114.59599,45.1751985,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073852676",NA,"PRESERVED_SPECIMEN",1990,7,31,"1990-07-31","WGS84","106631"
"Festuca ovina",-113.7814719,45.4389032,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073945314",NA,"PRESERVED_SPECIMEN",1990,7,29,"1990-07-29","WGS84","103647"
"Festuca ovina",-114.5554885,45.146399,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073910620",NA,"PRESERVED_SPECIMEN",1990,7,30,"1990-07-30","WGS84","158634"
"Festuca ovina",-114.2103751,44.8891035,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073806119",NA,"PRESERVED_SPECIMEN",1990,8,6,"1990-08-06","WGS84","158633"
"Festuca ovina",-114.5166888,45.2363987,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073916037",NA,"PRESERVED_SPECIMEN",1990,8,1,"1990-08-01","WGS84","106497"
"Festuca ovina",-114.489466,43.907769,"cdc,incomis,inmafu","US","PRESENT",476,"ID","4073797377",NA,"PRESERVED_SPECIMEN",1990,8,17,"1990-08-17","WGS84","106897"
"Festuca ovina",-115.9746257,45.0856881,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073874567",NA,"PRESERVED_SPECIMEN",1989,7,24,"1989-07-24","WGS84","106567"
"Festuca ovina",-116.6653067,48.56587,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073904379",NA,"PRESERVED_SPECIMEN",1989,8,20,"1989-08-20","WGS84","103342"
"Festuca ovina",-89.305061,42.072812,"cdc,inmafu","US","PRESENT",99,"DEK","4533907075","https://midwestherbaria.org/portal/collections/individual/index.php?occid=32246938","PRESERVED_SPECIMEN",1988,5,7,"1988-05-07","WGS84","DEK00100921"
"Festuca ovina",-115.4632,31.0442,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"CalBG","4168452604",NA,"PRESERVED_SPECIMEN",1988,7,18,"1988-07-18","WGS84","837052"
"Festuca ovina",-113.2658418,44.3693146,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073792414",NA,"PRESERVED_SPECIMEN",1988,7,21,"1988-07-21","WGS84","97207"
"Festuca ovina",-121.728853,46.805954,"cdc,incomis,inmafu","US","PRESENT",500,"MORA","4068345767",NA,"PRESERVED_SPECIMEN",1988,7,20,"1988-07-20","WGS84","MORA-00242"
"Festuca ovina",-115.466,31.0427,"cdc,elmms,gass84,typstativ,ambinst","MX","PRESENT",80,"UCR","2629893672",NA,"PRESERVED_SPECIMEN",1988,8,28,"1988-08-28","WGS84","60592"
