"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Festuca rubra",-110.884003,58.190498,"osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","883428498","https://search.museums.ualberta.ca/12-124476","PRESERVED_SPECIMEN",2000,6,18,"2000-06-18","WGS84","132258"
"Festuca rubra",-110.928001,58.057999,"osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","883428496","https://search.museums.ualberta.ca/12-124477","PRESERVED_SPECIMEN",2000,6,19,"2000-06-19","WGS84","132259"
"Festuca rubra",-111.182049,58.257467,"osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","883428488","https://search.museums.ualberta.ca/12-124479","PRESERVED_SPECIMEN",2000,6,21,"2000-06-21","WGS84","132261"
"Festuca rubra",-105.88389,40.51145,"cdc,ambinst","US","PRESENT",1000,"COLO","2573453208","https://botanydb.colorado.edu/collections/individual/index.php?occid=36352","PRESERVED_SPECIMEN",2000,8,11,"2000-08-11","WGS84","00900621"
"Festuca rubra",-111.74604,34.98807,"cdc,inmafu","US","PRESENT",100,"ASC","3091220992","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1029945","PRESERVED_SPECIMEN",2000,NA,NA,"2000","WGS84","ASC00071604"
"Festuca rubra",-123.21701,43.33762,"cdc,ambinst","US","PRESENT",805,"OSU","3820538260","https://oregonflora.org/collections/individual/index.php?occid=1013188","PRESERVED_SPECIMEN",1999,6,16,"1999-06-16","WGS84",NA
"Festuca rubra",-123.55517,43.46885,"cdc,ambinst","US","PRESENT",805,"OSU","3820563345","https://oregonflora.org/collections/individual/index.php?occid=1037598","PRESERVED_SPECIMEN",1999,6,16,"1999-06-16","WGS84",NA
"Festuca rubra",-123.02094,43.17667,"cdc,ambinst","US","PRESENT",805,"OSU","3820559336","https://oregonflora.org/collections/individual/index.php?occid=1037607","PRESERVED_SPECIMEN",1999,6,16,"1999-06-16","WGS84",NA
"Festuca rubra",-88.149798,39.402762,"cdc,inmafu","US","PRESENT",100,"EIU","4081285666","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4902109","PRESERVED_SPECIMEN",1999,6,5,"1999-06-05","WGS84",NA
"Festuca rubra",-122.99078,43.08028,"cdc,ambinst","US","PRESENT",805,"OSU","3820534875","https://oregonflora.org/collections/individual/index.php?occid=980513","PRESERVED_SPECIMEN",1999,6,16,"1999-06-16","WGS84",NA
"Festuca rubra",-123.2562,43.32287,"cdc,ambinst","US","PRESENT",805,"OSU","3820529881","https://oregonflora.org/collections/individual/index.php?occid=980514","PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84",NA
"Festuca rubra",-123.05959,43.32259,"cdc,ambinst","US","PRESENT",805,"OSU","3820544567","https://oregonflora.org/collections/individual/index.php?occid=996864","PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84",NA
"Festuca rubra",-117.135,42.3577,"cdc,inmano","US","PRESENT",56,"VALE","4074153139",NA,"PRESERVED_SPECIMEN",1999,6,30,"1999-06-30","WGS84","4087"
"Festuca rubra",-112.929637,53.703537,"osiic,colmano,inmafu","CA","PRESENT",284,"University of Alberta Museums","883374607","https://search.museums.ualberta.ca/12-69295","PRESERVED_SPECIMEN",1999,6,26,"1999-06-26","WGS84","102499"
"Festuca rubra",-122.9505,43.08024,"cdc,ambinst","US","PRESENT",805,"OSU","3820565335","https://oregonflora.org/collections/individual/index.php?occid=1037596","PRESERVED_SPECIMEN",1999,7,13,"1999-07-13","WGS84",NA
"Festuca rubra",-123.6943,40.5597,"cdc,inmafu","US","PRESENT",82,"DAV","2421705060","https://cch2.org/portal/collections/individual/index.php?occid=1330983","PRESERVED_SPECIMEN",1999,7,13,"1999-07-13","WGS84",NA
"Festuca rubra",-108.024002,59.184399,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","883428486","https://search.museums.ualberta.ca/12-124483","PRESERVED_SPECIMEN",1999,7,7,"1999-07-07","WGS84","132263"
"Festuca rubra",-105.864568,39.896052,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573449058","https://botanydb.colorado.edu/collections/individual/index.php?occid=34449","PRESERVED_SPECIMEN",1999,8,12,"1999-08-12","WGS84","00525931"
"Festuca rubra",-106.03797,38.28672,"cdc,ambinst","US","PRESENT",1000,"COLO","2573454636","https://botanydb.colorado.edu/collections/individual/index.php?occid=36569","PRESERVED_SPECIMEN",1999,8,3,"1999-08-03","WGS84","00962183"
"Festuca rubra",-117.299004,52.945702,"osiic,colmano,inmafu","CA","PRESENT",100,"University of Alberta Museums","883428515","https://search.museums.ualberta.ca/12-124485","PRESERVED_SPECIMEN",1999,8,2,"1999-08-02","WGS84","132264"
"Festuca rubra",-123.401427,42.46589,"cdc,cdround,ambinst","US","PRESENT",402,"OSU","3820568836","https://oregonflora.org/collections/individual/index.php?occid=1073726","PRESERVED_SPECIMEN",1998,5,31,"1998-05-31","WGS84",NA
"Festuca rubra",-92.479728,42.702298,"ambcol","US","PRESENT",362,"KU","176948903",NA,"PRESERVED_SPECIMEN",1998,6,13,"1998-06-13","WGS84","318272"
"Festuca rubra",-122.61079,42.01792,"cdc,ambinst","US","PRESENT",805,"OSU","3820653955","https://oregonflora.org/collections/individual/index.php?occid=1004967","PRESERVED_SPECIMEN",1998,6,16,"1998-06-16","WGS84",NA
"Festuca rubra",-121.66259,45.710276,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820660131","https://oregonflora.org/collections/individual/index.php?occid=1032846","PRESERVED_SPECIMEN",1998,6,2,"1998-06-02","WGS84",NA
"Festuca rubra",-123.6826,40.7847,"cdc,inmafu","US","PRESENT",288,"DAV","2421705504","https://cch2.org/portal/collections/individual/index.php?occid=1330986","PRESERVED_SPECIMEN",1998,6,1,"1998-06-01","WGS84",NA
"Festuca rubra",-121.671947,45.709689,"cdc,colmafu,inmafu","US","PRESENT",90,"RENO","4404929184","https://intermountainbiota.org/portal/collections/individual/index.php?occid=15946150","PRESERVED_SPECIMEN",1998,6,2,"1998-06-02","WGS84","97780"
"Festuca rubra",-123.76754,42.03079,"cdc,ambinst","US","PRESENT",805,"OSU","3820735603","https://oregonflora.org/collections/individual/index.php?occid=2294820","PRESERVED_SPECIMEN",1998,6,13,"1998-06-13","WGS84",NA
"Festuca rubra",-123.410278,42.109722,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820596664","https://oregonflora.org/collections/individual/index.php?occid=3006162","PRESERVED_SPECIMEN",1998,6,26,"1998-06-26","WGS84","OSC-V-257547"
"Festuca rubra",-121.16097,44.208393,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820640238","https://oregonflora.org/collections/individual/index.php?occid=988669","PRESERVED_SPECIMEN",1998,6,16,"1998-06-16","WGS84",NA
"Festuca rubra",-121.9097,46.738185,"cdc,incomis,inmafu","US","PRESENT",200,"MORA","4068344969",NA,"PRESERVED_SPECIMEN",1998,6,17,"1998-06-17","WGS84","MORA-00350"
"Festuca rubra",-122.872675,45.447814,"cdc,incomis,inmafu","US","PRESENT",500,"HPSU","4070159116",NA,"PRESERVED_SPECIMEN",1998,6,3,"1998-06-03","WGS84","8604"
"Festuca rubra",-113.191008,53.537384,"osiic,colmano,inmafu","CA","PRESENT",569,"University of Alberta Museums","883375047","https://search.museums.ualberta.ca/12-69264","PRESERVED_SPECIMEN",1998,6,20,"1998-06-20","WGS84","100888"
"Festuca rubra",-107.451584,38.571879,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573451542","https://botanydb.colorado.edu/collections/individual/index.php?occid=35856","PRESERVED_SPECIMEN",1998,7,15,"1998-07-15","WGS84","00551408"
"Festuca rubra",-107.60032,35.24672,"cdc,colmafu,inmafu","US","PRESENT",200,"UNM","1843830179","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4040245","PRESERVED_SPECIMEN",1998,8,16,"1998-08-16","WGS84","UNM0102216"
