"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Fragaria vesca",-88.689668,42.996318,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095610498","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30418227","PRESERVED_SPECIMEN",2000,4,30,"2000-04-30","WGS84","UWW003020"
"Fragaria vesca",-110.041667,23.541667,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",80,"CIBNOR","1894815688",NA,"PRESERVED_SPECIMEN",2000,4,27,"2000-04-27","WGS84","13270"
"Fragaria vesca",-78.982568,41.968623,"ambcol","US","PRESENT",553,"KU","176949187",NA,"PRESERVED_SPECIMEN",2000,5,27,"2000-05-27","WGS84","348535"
"Fragaria vesca",-120.33568,44.42987,"cdc,ambinst","US","PRESENT",805,"OSU","3820656638","https://oregonflora.org/collections/individual/index.php?occid=1022132","PRESERVED_SPECIMEN",2000,6,10,"2000-06-10","WGS84","OSC-V-058749"
"Fragaria vesca",-100.283333,25.366667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1894423338",NA,"PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","NO DISPONIBLE"
"Fragaria vesca",-100.275,19.658333,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"INECOL","1893651788",NA,"PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","151140"
"Fragaria vesca",-100.283,25.367,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",50,"IBUNAM","3308601916",NA,"PRESERVED_SPECIMEN",2000,6,2,"2000-06-02","WGS84","973524"
"Fragaria vesca",-67.358611,46.959444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859073405","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11921097","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497559"
"Fragaria vesca",-91.161327,47.408026,"cdc,colmafu,inmafu","US","PRESENT",969,"NCU","2234397193","https://sernecportal.org/portal/collections/individual/index.php?occid=14190932","PRESERVED_SPECIMEN",2000,7,6,"2000-07-06","WGS84","NCU00113532"
"Fragaria vesca",-91.110162,47.410745,"cdc,gass84,ambcol","US","PRESENT",301,"MIN","2265443242","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186278","PRESERVED_SPECIMEN",2000,7,6,"2000-07-06","WGS84","493928"
