"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Galium aparine",-122.367222,39.012222,"cdc,inmafu","US","PRESENT",175,"DAV","2421775464","https://cch2.org/portal/collections/individual/index.php?occid=1401956","PRESERVED_SPECIMEN",2000,4,28,"2000-04-28","WGS84",NA
"Galium aparine",-121.531023,37.349762,"cdc,gass84,inmafu","US","PRESENT",890,"UCSC","2459163194","https://cch2.org/portal/collections/individual/index.php?occid=231968","PRESERVED_SPECIMEN",2000,4,20,"2000-04-20","WGS84",NA
"Galium aparine",-119.9028,35.2413,"cdc,inmafu","US","PRESENT",301,"CDA","3059682166","https://cch2.org/portal/collections/individual/index.php?occid=4119360","PRESERVED_SPECIMEN",2000,4,11,"2000-04-11","WGS84","CDA-0016353"
"Galium aparine",-118.303861,34.205639,"cdc,cdround,gass84,inmafu","US","PRESENT",1000,"SFV","2575161953","https://cch2.org/portal/collections/individual/index.php?occid=615099","PRESERVED_SPECIMEN",2000,4,25,"2000-04-25","WGS84","SFV112893"
"Galium aparine",-89.543562,38.501073,"cdc,inmafu","US","PRESENT",969,"EIU","4081297654","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14379730","PRESERVED_SPECIMEN",2000,5,26,"2000-05-26","WGS84","EIU006630"
"Galium aparine",-106.96351,39.38256,"cdc,ambinst","US","PRESENT",800,"COLO","2573366121","https://botanydb.colorado.edu/collections/individual/index.php?occid=14753","PRESERVED_SPECIMEN",2000,5,26,"2000-05-26","WGS84","00886333"
"Galium aparine",-89.932164,40.385274,"cdc,inmafu","US","PRESENT",969,"EIU","4081297632","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14379725","PRESERVED_SPECIMEN",2000,6,15,"2000-06-15","WGS84","EIU006628"
"Galium aparine",-121.483611,39.830833,"cdc,ambinst","US","PRESENT",402,"CHSC","2417996880","https://cch2.org/portal/collections/individual/index.php?occid=2082249","PRESERVED_SPECIMEN",2000,6,29,"2000-06-29","WGS84","CHSC078268"
"Galium aparine",-108.226466,32.913462,"cdc,colmafu,inmafu","US","PRESENT",800,"UNM","1843914660","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4124244","PRESERVED_SPECIMEN",2000,6,1,"2000-06-01","WGS84","UNM0080417"
"Galium aparine",-121.4746841,39.8361079,"cdc,cdrep,colmano","US","PRESENT",804.67,"JEPS","4602344122",NA,"PRESERVED_SPECIMEN",2000,6,29,"2000-06-29","WGS84","JEPS98370"
