"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Galium boreale",-107.29727,40.84136,"cdc,ambinst","US","PRESENT",1000,"COLO","2573366928","https://botanydb.colorado.edu/collections/individual/index.php?occid=14749","PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","00877787"
"Galium boreale",-106.80403,39.37939,"cdc,ambinst","US","PRESENT",600,"COLO","2573367318","https://botanydb.colorado.edu/collections/individual/index.php?occid=14752","PRESERVED_SPECIMEN",2000,6,5,"2000-06-05","WGS84","00885459"
"Galium boreale",-111.7625,41.8875,"cdc,gass84,inmafu","US","PRESENT",1000,"SFV","2575163948","https://cch2.org/portal/collections/individual/index.php?occid=617833","PRESERVED_SPECIMEN",2000,7,15,"2000-07-15","WGS84","SFV112951"
"Galium boreale",-105.00009,38.01526,"cdc,ambinst","US","PRESENT",805,"COLO","2573367054","https://botanydb.colorado.edu/collections/individual/index.php?occid=14765","PRESERVED_SPECIMEN",1999,7,7,"1999-07-07","WGS84","00938621"
"Galium boreale",-110.764682,43.484499,"cdc,inmafu","US","PRESENT",600,"ASC","3091192283","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2076413","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","ASC00068202"
"Galium boreale",-95.163894,47.193964,"cdc,gass84,ambcol","US","PRESENT",289,"MIN","2265559480","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=86102","PRESERVED_SPECIMEN",1999,7,23,"1999-07-23","WGS84","460484"
"Galium boreale",-95.201253,47.188546,"cdc,gass84,ambcol","US","PRESENT",953,"MIN","2265560268","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=86103","PRESERVED_SPECIMEN",1999,7,20,"1999-07-20","WGS84","460491"
"Galium boreale",-114.6858,52.06,"osiic,colmano,inmafu","CA","PRESENT",60,"University of Alberta Museums","883387388","https://search.museums.ualberta.ca/12-80463","PRESERVED_SPECIMEN",1999,7,30,"1999-07-30","WGS84","118971"
"Galium boreale",-96.134247,46.946582,"cdc,gass84,ambcol","US","PRESENT",155,"MIN","2265383149","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=13403","PRESERVED_SPECIMEN",1999,8,3,"1999-08-03","WGS84","482214"
"Galium boreale",-117.79714,53.551955,"osiic,colmano,inmafu","CA","PRESENT",900,"University of Alberta Museums","883387474","https://search.museums.ualberta.ca/12-80581","PRESERVED_SPECIMEN",1999,9,4,"1999-09-04","WGS84","118970"
"Galium boreale",-117.573076,47.45462,"cdc,colmafu,inmafu","US","PRESENT",350,"EWU","4070142252",NA,"PRESERVED_SPECIMEN",1998,6,17,"1998-06-17","WGS84","10456"
"Galium boreale",-93.478702,46.706256,"cdc,gass84,ambcol","US","PRESENT",491,"MIN","2265559965","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=86114","PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84","515138"
"Galium boreale",-107.451584,38.571879,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573365593","https://botanydb.colorado.edu/collections/individual/index.php?occid=14598","PRESERVED_SPECIMEN",1998,7,15,"1998-07-15","WGS84","00713891"
"Galium boreale",-105.76691,38.10314,"cdc,ambinst","US","PRESENT",500,"COLO","2573365792","https://botanydb.colorado.edu/collections/individual/index.php?occid=14767","PRESERVED_SPECIMEN",1998,7,3,"1998-07-03","WGS84","00938795"
"Galium boreale",-106.983333,38.966667,"cdc,cdround,gass84,inmafu","US","PRESENT",1000,"SFV","2575162793","https://cch2.org/portal/collections/individual/index.php?occid=617829","PRESERVED_SPECIMEN",1998,7,20,"1998-07-20","WGS84","SFV112947"
