"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Galium verum",-93.432403,46.71776,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265562937","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=87072","PRESERVED_SPECIMEN",1998,6,23,"1998-06-23","WGS84","515142"
"Galium verum",-109.89615,41.02188,"cdc,inmafu","US","PRESENT",1000,"CDA","3059678865","https://cch2.org/portal/collections/individual/index.php?occid=4119489","PRESERVED_SPECIMEN",1998,9,2,"1998-09-02","WGS84","CDA-0041960"
"Galium verum",-78.316667,45.05,"cdround","CA","PRESENT",613,"ROM","1899319632",NA,"PRESERVED_SPECIMEN",1993,8,15,"1993-08-15","WGS84","259766"
"Galium verum",-122.192559,48.026974,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820550523","https://oregonflora.org/collections/individual/index.php?occid=1018712","PRESERVED_SPECIMEN",1991,7,26,"1991-07-26","WGS84",NA
"Galium verum",-113.980458,41.999251,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820530958","https://oregonflora.org/collections/individual/index.php?occid=982086","PRESERVED_SPECIMEN",1989,6,16,"1989-06-16","WGS84",NA
"Galium verum",-77.788687,38.726858,"cdc,inmafu","US","PRESENT",394,"ODU","3496962301","https://sernecportal.org/portal/collections/individual/index.php?occid=22803366","PRESERVED_SPECIMEN",1989,7,13,"1989-07-13","WGS84","ODU00017591"
"Galium verum",-83.790541,39.534532,"cdc,colmafu,inmafu","US","PRESENT",525,"CM","2859209392","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12334069","PRESERVED_SPECIMEN",1988,6,14,"1988-06-14","WGS84","CM349010"
"Galium verum",-78.010118,40.700577,"cdc,colmafu,inmafu","US","PRESENT",550,"CM","2859210336","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12333103","PRESERVED_SPECIMEN",1986,7,2,"1986-07-02","WGS84","CM342290"
"Galium verum",-104.9571,39.69116,"cdc,ambinst","US","PRESENT",1000,"COLO","2573368370","https://botanydb.colorado.edu/collections/individual/index.php?occid=14760","PRESERVED_SPECIMEN",1981,7,15,"1981-07-15","WGS84","00920595"
"Galium verum",-78.064529,39.064489,"cdc,gass84,inmafu","US","PRESENT",492,"LFCC","3428801429","https://www.sernecportal.org/portal/collections/individual/index.php?occid=28486166","PRESERVED_SPECIMEN",1980,6,13,"1980-06-13","WGS84","LFCC-0008570"
"Galium verum",-104.954154,39.690999,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242374248","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3046508","PRESERVED_SPECIMEN",1979,7,19,"1979-07-19","WGS84","KHD00037218"
"Galium verum",-104.95478,39.68618,"cdc,inmafu","US","PRESENT",546,"DBG","2242420749","https://intermountainbiota.org/portal/collections/individual/index.php?occid=6781834","PRESERVED_SPECIMEN",1979,7,19,"1979-07-19","WGS84","KHD00058088"
"Galium verum",-74.814062,40.989755,"cdc,inmafu","US","PRESENT",462,"TENN","1990096952","https://sernecportal.org/portal/collections/individual/index.php?occid=15779827","PRESERVED_SPECIMEN",1976,5,27,"1976-05-27","WGS84","TENN-V-0205583"
"Galium verum",-78.286053,39.045124,"cdc,inmafu","US","PRESENT",462,"LFCC","3357422376","https://www.sernecportal.org/portal/collections/individual/index.php?occid=24130544","PRESERVED_SPECIMEN",1975,6,17,"1975-06-17","WGS84","LFCC-0004742"
"Galium verum",-122.622732,45.485266,"cdc,incomis,inmafu","US","PRESENT",20,"HPSU","4070148626",NA,"PRESERVED_SPECIMEN",1975,8,23,"1975-08-23","WGS84","17104"
"Galium verum",-71.532971,43.529943,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859455099","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12286138","PRESERVED_SPECIMEN",1971,8,6,"1971-08-06","WGS84","CM159770"
"Galium verum",-116.558998,48.2737711,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073877205",NA,"PRESERVED_SPECIMEN",1971,8,3,"1971-08-03","WGS84","119149"
