"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Oenothera suffrutescens",-97.364722,17.461667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"UACh","1419224868",NA,"PRESERVED_SPECIMEN",2000,3,24,"2000-03-24","WGS84","49648"
"Oenothera suffrutescens",-103.252635,38.674466,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573515583","https://botanydb.colorado.edu/collections/individual/index.php?occid=44790","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84","00479584"
"Oenothera suffrutescens",-102.705333,39.432102,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573517578","https://botanydb.colorado.edu/collections/individual/index.php?occid=44791","PRESERVED_SPECIMEN",2000,5,19,"2000-05-19","WGS84","00479592"
"Oenothera suffrutescens",-103.66889,39.36,"cdc,ambinst","US","PRESENT",400,"COLO","2573519679","https://botanydb.colorado.edu/collections/individual/index.php?occid=44974","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00665257"
"Oenothera suffrutescens",-102.34389,38.80472,"cdc,ambinst","US","PRESENT",250,"COLO","2573525478","https://botanydb.colorado.edu/collections/individual/index.php?occid=44975","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00666214"
"Oenothera suffrutescens",-102.61972,38.46,"cdc,ambinst","US","PRESENT",250,"COLO","2573528758","https://botanydb.colorado.edu/collections/individual/index.php?occid=44976","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00667394"
"Oenothera suffrutescens",-102.71222,38.34694,"cdc,ambinst","US","PRESENT",250,"COLO","2573474692","https://botanydb.colorado.edu/collections/individual/index.php?occid=44981","PRESERVED_SPECIMEN",2000,5,16,"2000-05-16","WGS84","00668574"
"Oenothera suffrutescens",-102.09083,39.4625,"cdc,ambinst","US","PRESENT",250,"COLO","2573466699","https://botanydb.colorado.edu/collections/individual/index.php?occid=44988","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","00684019"
"Oenothera suffrutescens",-108.357223,35.451731,"cdc,inmafu","US","PRESENT",80,"ASC","3091223205","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2123383","PRESERVED_SPECIMEN",2000,6,1,"2000-06-01","WGS84","ASC00090021"
"Oenothera suffrutescens",-102.657345,38.691988,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573516577","https://botanydb.colorado.edu/collections/individual/index.php?occid=44792","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00479600"
"Oenothera suffrutescens",-102.694561,38.611328,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573527757","https://botanydb.colorado.edu/collections/individual/index.php?occid=44897","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00486704"
