"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Glechoma hederacea",-88.082949,38.689485,"cdc,inmafu","US","PRESENT",969,"EIU","4081330548","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21929762","PRESERVED_SPECIMEN",2000,3,30,"2000-03-30","WGS84","EIU026631"
"Glechoma hederacea",-87.827048,38.35569,"cdc,inmafu","US","PRESENT",969,"EIU","4081330547","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21929763","PRESERVED_SPECIMEN",2000,4,20,"2000-04-20","WGS84","EIU026632"
"Glechoma hederacea",-88.709529,43.012157,"cdc,colmano,inmafu","US","PRESENT",969,"UWW","4095607787","https://midwestherbaria.org/portal/collections/individual/index.php?occid=30417605","PRESERVED_SPECIMEN",2000,4,30,"2000-04-30","WGS84","UWW002350"
"Glechoma hederacea",-96.551677,39.270223,"ambcol","US","PRESENT",69,"KU","176952533",NA,"PRESERVED_SPECIMEN",1999,4,17,"1999-04-17","WGS84","322510"
"Glechoma hederacea",-94.301661,37.157176,"ambcol","US","PRESENT",46,"KU","176952368",NA,"PRESERVED_SPECIMEN",1999,4,18,"1999-04-18","WGS84","324182"
"Glechoma hederacea",-94.301764,37.156978,"cdc,gass84,inmafu","US","PRESENT",100,"KSP","2890686638","https://ngpherbaria.org/portal/collections/individual/index.php?occid=24564491","PRESERVED_SPECIMEN",1999,4,18,"1999-04-18","WGS84","KSP030758"
"Glechoma hederacea",-96.357147,43.899756,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265447551","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=19002","PRESERVED_SPECIMEN",1999,5,12,"1999-05-12","WGS84","509221"
"Glechoma hederacea",-79.723171,40.113671,"cdc,colmafu,inmafu","US","PRESENT",1000,"CM","2859235167","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12350406","PRESERVED_SPECIMEN",1999,6,8,"1999-06-08","WGS84","CM503522"
"Glechoma hederacea",-117.212351,44.432153,"cdc,incomis,inmafu","US","PRESENT",284,"ID","4073809384",NA,"PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","172306"
"Glechoma hederacea",-79.907778,40.423889,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859470056","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12348563","PRESERVED_SPECIMEN",1998,3,30,"1998-03-30","WGS84","CM492526"
"Glechoma hederacea",-95.281708,38.617283,"ambcol","US","PRESENT",427,"KU","176952546",NA,"PRESERVED_SPECIMEN",1998,4,29,"1998-04-29","WGS84","319743"
"Glechoma hederacea",-80.31445,41.05472,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859472923","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12346468","PRESERVED_SPECIMEN",1998,4,25,"1998-04-25","WGS84","CM480868"
"Glechoma hederacea",-83.071969,34.986072,"cdc,cdround","US","PRESENT",207,"iNaturalist","4399857837","https://www.inaturalist.org/observations/176464720","HUMAN_OBSERVATION",1998,6,18,"1998-06-18T13:21","WGS84","176464720"
"Glechoma hederacea",-79.105949,35.734054,"cdc,inmafu","US","PRESENT",218,"DUKE","4536686376","https://sernecportal.org/portal/collections/individual/index.php?occid=17321579","PRESERVED_SPECIMEN",1998,10,18,"1998-10-18","WGS84","DUKE10111712"
"Glechoma hederacea",-95.059616,38.542382,"ambcol","US","PRESENT",98,"KU","176952371",NA,"PRESERVED_SPECIMEN",1997,4,27,"1997-04-27","WGS84","312430"
"Glechoma hederacea",-92.460692,42.721459,"ambcol","US","PRESENT",462,"KU","176952398",NA,"PRESERVED_SPECIMEN",1997,5,25,"1997-05-25","WGS84","311737"
"Glechoma hederacea",-79.54444,40.47639,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859238923","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12345536","PRESERVED_SPECIMEN",1997,5,9,"1997-05-09","WGS84","CM475513"
"Glechoma hederacea",-93.495592,46.732125,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265352754","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=10518","PRESERVED_SPECIMEN",1997,7,17,"1997-07-17","WGS84","435330"
"Glechoma hederacea",-94.419328,44.292558,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265426245","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=171474","PRESERVED_SPECIMEN",1997,8,28,"1997-08-28","WGS84","455444"
"Glechoma hederacea",-94.792824,44.464857,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265444812","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186322","PRESERVED_SPECIMEN",1997,9,18,"1997-09-18","WGS84","455717"
"Glechoma hederacea",-83.115597,41.36121,"cdc,colmafu,inmafu","US","PRESENT",285,"CM","2859469891","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12345205","PRESERVED_SPECIMEN",1996,5,29,"1996-05-29","WGS84","CM473937"
"Glechoma hederacea",-79.69583,40.39583,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859501836","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12345328","PRESERVED_SPECIMEN",1996,5,17,"1996-05-17","WGS84","CM474270"
"Glechoma hederacea",-80.277275,39.776998,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859235927","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12345435","PRESERVED_SPECIMEN",1996,5,26,"1996-05-26","WGS84","CM475035"
"Glechoma hederacea",-77.96972,40.76222,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859231964","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12346557","PRESERVED_SPECIMEN",1996,5,17,"1996-05-17","WGS84","CM481364"
"Glechoma hederacea",-78.33917,39.73139,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859500950","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12346571","PRESERVED_SPECIMEN",1996,5,10,"1996-05-10","WGS84","CM481454"
"Glechoma hederacea",-94.923236,39.264841,"ambcol","US","PRESENT",452,"KU","176952346",NA,"PRESERVED_SPECIMEN",1995,3,24,"1995-03-24","WGS84","112047"
"Glechoma hederacea",-84.136336,33.813333,"cdc,gass84,inmafu","US","PRESENT",137,"GA","3709986887","https://sernecportal.org/portal/collections/individual/index.php?occid=13759338","PRESERVED_SPECIMEN",1995,3,29,"1995-03-29","WGS84","GA064964"
"Glechoma hederacea",-94.913691,39.335386,"ambcol","US","PRESENT",522,"KU","176952348",NA,"PRESERVED_SPECIMEN",1995,5,3,"1995-05-03","WGS84","112487"
