"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Gutierrezia sarothrae",-111.217199,33.906382,"cdc,cdround,gass84,inmano","US","PRESENT",650,"USFS","4161542792","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6172540","PRESERVED_SPECIMEN",2000,4,13,"2000-04-13","WGS84","TEUI0003800"
"Gutierrezia sarothrae",-102.500432,39.51182,"ambcol","US","PRESENT",825,"KU","176954878",NA,"PRESERVED_SPECIMEN",2000,8,15,"2000-08-15","WGS84","335992"
"Gutierrezia sarothrae",-103.210296,39.127914,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573330784","https://botanydb.colorado.edu/collections/individual/index.php?occid=107560","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00476598"
"Gutierrezia sarothrae",-102.500774,39.511921,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573329810","https://botanydb.colorado.edu/collections/individual/index.php?occid=107568","PRESERVED_SPECIMEN",2000,8,15,"2000-08-15","WGS84","00478503"
"Gutierrezia sarothrae",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573329687","https://botanydb.colorado.edu/collections/individual/index.php?occid=107666","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84","00621243"
"Gutierrezia sarothrae",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573330288","https://botanydb.colorado.edu/collections/individual/index.php?occid=107691","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00639088"
"Gutierrezia sarothrae",-102.68306,38.32444,"cdc,ambinst","US","PRESENT",250,"COLO","2573330129","https://botanydb.colorado.edu/collections/individual/index.php?occid=107709","PRESERVED_SPECIMEN",2000,8,20,"2000-08-20","WGS84","00653634"
"Gutierrezia sarothrae",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573329790","https://botanydb.colorado.edu/collections/individual/index.php?occid=107712","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00659821"
"Gutierrezia sarothrae",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573329825","https://botanydb.colorado.edu/collections/individual/index.php?occid=107720","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00668194"
"Gutierrezia sarothrae",-104.756531,38.278839,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573330395","https://botanydb.colorado.edu/collections/individual/index.php?occid=107587","PRESERVED_SPECIMEN",2000,9,2,"2000-09-02","WGS84","00512970"
"Gutierrezia sarothrae",-106.687778,41.349444,"cdc,ambinst","US","PRESENT",1000,"COLO","2573360232","https://botanydb.colorado.edu/collections/individual/index.php?occid=140740","PRESERVED_SPECIMEN",2000,9,19,"2000-09-19","WGS84","01292150"
"Gutierrezia sarothrae",-103.06306,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573330100","https://botanydb.colorado.edu/collections/individual/index.php?occid=107704","PRESERVED_SPECIMEN",2000,10,1,"2000-10-01","WGS84","00646471"
"Gutierrezia sarothrae",-104.015426,44.560325,"cdc,inmafu","US","PRESENT",35,"BHSC","3034738120","https://ngpherbaria.org/portal/collections/individual/index.php?occid=27522322","PRESERVED_SPECIMEN",2000,10,14,"2000-10-14","WGS84","BHSC0030504"
"Gutierrezia sarothrae",-116.50948,32.812111,"cdc,inmafu","US","PRESENT",301,"CDA","3059688303","https://cch2.org/portal/collections/individual/index.php?occid=4091181","PRESERVED_SPECIMEN",1999,5,14,"1999-05-14","WGS84","CDA-0018012"
"Gutierrezia sarothrae",-111.893311,40.91407,"cdc,inmafu","US","PRESENT",465,"Weber State University","4010496103","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30395015","PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84","WSCO002164"
"Gutierrezia sarothrae",-103.803647,40.317984,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573330138","https://botanydb.colorado.edu/collections/individual/index.php?occid=107535","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","00386169"
"Gutierrezia sarothrae",-103.296,24.13667,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308540454",NA,"PRESERVED_SPECIMEN",1999,9,29,"1999-09-29","WGS84","970244"
"Gutierrezia sarothrae",-103.39528,24.27111,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",50,"IBUNAM","3307957194",NA,"PRESERVED_SPECIMEN",1999,10,3,"1999-10-03","WGS84","978511"
"Gutierrezia sarothrae",-119.3319,34.601,"cdc,inmafu","US","PRESENT",800,"SBBG","3053465566","https://cch2.org/portal/collections/individual/index.php?occid=137912","PRESERVED_SPECIMEN",1999,10,29,"1999-10-29","WGS84","SBBG221572"
"Gutierrezia sarothrae",-104.37,36.9193,"cdc,gass84,colmafu,inmafu","US","PRESENT",1,"UNM","1843914924","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4143669","PRESERVED_SPECIMEN",1998,8,16,"1998-08-16","WGS84","UNM0013241"
"Gutierrezia sarothrae",-116.842083,34.210806,"cdc,cdround,inmafu","US","PRESENT",400,"RSA","2430441888","https://cch2.org/portal/collections/individual/index.php?occid=984178","PRESERVED_SPECIMEN",1998,8,10,"1998-08-10","WGS84",NA
"Gutierrezia sarothrae",-115.483,31.05,"cdc,elmms,gass84,typstativ,osiic,ambinst","MX","PRESENT",80,"UCR","2629843921",NA,"PRESERVED_SPECIMEN",1998,9,16,"1998-09-16","WGS84","105626"
"Gutierrezia sarothrae",-108.133333,30.15,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895427718",NA,"PRESERVED_SPECIMEN",1998,9,23,"1998-09-23","WGS84","00306619"
"Gutierrezia sarothrae",-101.959149,38.937373,"ambcol","US","PRESENT",523,"KU","176954826",NA,"PRESERVED_SPECIMEN",1998,9,1,"1998-09-01","WGS84","320207"
"Gutierrezia sarothrae",-102.930091,38.081193,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573329585","https://botanydb.colorado.edu/collections/individual/index.php?occid=107409","PRESERVED_SPECIMEN",1998,9,2,"1998-09-02","WGS84","00297838"
"Gutierrezia sarothrae",-115.483333,31.05,"cdc,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",80,"SDNHM","2629921736",NA,"PRESERVED_SPECIMEN",1998,9,16,"1998-09-16","WGS84","152070"
"Gutierrezia sarothrae",-115.491667,31.058333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"FC-UABC","1893339484",NA,"PRESERVED_SPECIMEN",1998,9,16,"1998-09-16","WGS84","10568"
"Gutierrezia sarothrae",-115.158333,31.058333,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",80,"CIBNOR","1894813189",NA,"PRESERVED_SPECIMEN",1998,9,16,"1998-09-16","WGS84","13545"
"Gutierrezia sarothrae",-104.69742,32.245901,"cdc,colmafu,inmafu","US","PRESENT",164,"UTEP","3413526400","http://arctos.database.museum/guid/UTEP:Herb:58432","PRESERVED_SPECIMEN",1998,9,20,"1998-09-20","WGS84","UTEP:Herb:58432"
"Gutierrezia sarothrae",-111.685549,39.767085,"ambcol","US","PRESENT",487,"KU","176954347",NA,"PRESERVED_SPECIMEN",1997,8,3,"1997-08-03","WGS84","310451"
"Gutierrezia sarothrae",-102.59449,40.93916,"cdc,ambinst","US","PRESENT",1000,"COLO","2573329551","https://botanydb.colorado.edu/collections/individual/index.php?occid=107229","PRESERVED_SPECIMEN",1997,8,25,"1997-08-25","WGS84","00211540"
"Gutierrezia sarothrae",-103.34446,40.87481,"cdc,ambinst","US","PRESENT",805,"COLO","2573329851","https://botanydb.colorado.edu/collections/individual/index.php?occid=107233","PRESERVED_SPECIMEN",1997,8,24,"1997-08-24","WGS84","00212027"
"Gutierrezia sarothrae",-109.227504,44.479903,"cdc,incomis,inmafu","US","PRESENT",969,"ID","4073881698",NA,"PRESERVED_SPECIMEN",1997,8,13,"1997-08-13","WGS84","161037"
"Gutierrezia sarothrae",-106.384756,29.246753,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895427800",NA,"PRESERVED_SPECIMEN",1997,8,30,"1997-08-30","WGS84","00085997"
"Gutierrezia sarothrae",-102.515465,38.693339,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573329814","https://botanydb.colorado.edu/collections/individual/index.php?occid=107241","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","00215988"
"Gutierrezia sarothrae",-102.787385,37.329977,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573330853","https://botanydb.colorado.edu/collections/individual/index.php?occid=107303","PRESERVED_SPECIMEN",1997,9,12,"1997-09-12","WGS84","00245324"
"Gutierrezia sarothrae",-111.870349,35.532041,"cdc,inmafu","US","PRESENT",100,"ASC","3091192383","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2076469","PRESERVED_SPECIMEN",1997,9,24,"1997-09-24","WGS84","ASC00062721"
"Gutierrezia sarothrae",-106.372,35.167,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843896234","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4105682","PRESERVED_SPECIMEN",1997,9,14,"1997-09-14","WGS84","UNM0013247"
"Gutierrezia sarothrae",-103.73611,23.70556,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3308607250",NA,"PRESERVED_SPECIMEN",1997,9,26,"1997-09-26","WGS84","978578"
"Gutierrezia sarothrae",-105.506886,29.134256,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895427722",NA,"PRESERVED_SPECIMEN",1997,9,12,"1997-09-12","WGS84","00085999"
"Gutierrezia sarothrae",-103.54611,24.15611,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3307962377",NA,"PRESERVED_SPECIMEN",1997,9,12,"1997-09-12","WGS84","978587"
"Gutierrezia sarothrae",-108.53079,31.918066,"cdc,colmafu,inmafu","US","PRESENT",198,"UTEP","3413520658","http://arctos.database.museum/guid/UTEP:Herb:56381","PRESERVED_SPECIMEN",1997,9,27,"1997-09-27","WGS84","UTEP:Herb:56381"
"Gutierrezia sarothrae",-98.637367,38.96223,"ambcol","US","PRESENT",570,"KU","176954384",NA,"PRESERVED_SPECIMEN",1997,10,15,"1997-10-15","WGS84","317370"
"Gutierrezia sarothrae",-99.134335,39.447947,"ambcol","US","PRESENT",554,"KU","176954843",NA,"PRESERVED_SPECIMEN",1997,10,14,"1997-10-14","WGS84","315709"
