"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Hesperostipa comata",-118.777374,39.328576,"cdc,colmafu,inmafu","US","PRESENT",696,"RENO","4404936889","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8058470","PRESERVED_SPECIMEN",2000,4,29,"2000-04-29","WGS84","57905"
"Hesperostipa comata",-112.251537,41.036331,"cdc,ambinst","US","PRESENT",1000,"COLO","2573402504","https://botanydb.colorado.edu/collections/individual/index.php?occid=195716","PRESERVED_SPECIMEN",2000,5,22,"2000-05-22","WGS84","01479476"
"Hesperostipa comata",-103.69111,39.25861,"cdc,ambinst","US","PRESENT",250,"COLO","2573452228","https://botanydb.colorado.edu/collections/individual/index.php?occid=36018","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00665273"
"Hesperostipa comata",-102.78528,38.48611,"cdc,ambinst","US","PRESENT",250,"COLO","2573453059","https://botanydb.colorado.edu/collections/individual/index.php?occid=36020","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00667477"
"Hesperostipa comata",-102.36806,39.51861,"cdc,ambinst","US","PRESENT",250,"COLO","2573451561","https://botanydb.colorado.edu/collections/individual/index.php?occid=36068","PRESERVED_SPECIMEN",2000,5,14,"2000-05-14","WGS84","00699967"
"Hesperostipa comata",-106.12565,38.55778,"cdc,ambinst","US","PRESENT",1000,"COLO","2573451869","https://botanydb.colorado.edu/collections/individual/index.php?occid=36279","PRESERVED_SPECIMEN",2000,5,30,"2000-05-30","WGS84","00887448"
"Hesperostipa comata",-102.570491,38.468742,"ambcol","US","PRESENT",51,"KU","176957897",NA,"PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","329733"
"Hesperostipa comata",-102.485916,39.519182,"ambcol","US","PRESENT",969,"KU","318055053",NA,"PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","365606"
"Hesperostipa comata",-120.25465,44.73012,"cdc,gass84,ambinst","US","PRESENT",805,"OSU","3820658837","https://oregonflora.org/collections/individual/index.php?occid=1025437","PRESERVED_SPECIMEN",2000,6,11,"2000-06-11","WGS84",NA
"Hesperostipa comata",-103.245845,38.82808,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573446646","https://botanydb.colorado.edu/collections/individual/index.php?occid=34784","PRESERVED_SPECIMEN",2000,6,4,"2000-06-04","WGS84","00530451"
"Hesperostipa comata",-102.484847,39.519136,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573447928","https://botanydb.colorado.edu/collections/individual/index.php?occid=34794","PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","00530550"
"Hesperostipa comata",-102.548908,39.483288,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573447164","https://botanydb.colorado.edu/collections/individual/index.php?occid=34795","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00530568"
"Hesperostipa comata",-102.66784,38.62827,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573446956","https://botanydb.colorado.edu/collections/individual/index.php?occid=34796","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00530576"
"Hesperostipa comata",-103.67861,39.47444,"cdc,ambinst","US","PRESENT",250,"COLO","2573452782","https://botanydb.colorado.edu/collections/individual/index.php?occid=35934","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00609461"
"Hesperostipa comata",-103.1625,38.85528,"cdc,ambinst","US","PRESENT",250,"COLO","2573451715","https://botanydb.colorado.edu/collections/individual/index.php?occid=35940","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00609628"
"Hesperostipa comata",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573452433","https://botanydb.colorado.edu/collections/individual/index.php?occid=36034","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00673400"
"Hesperostipa comata",-107.55486,40.82918,"cdc,ambinst","US","PRESENT",500,"COLO","2573455351","https://botanydb.colorado.edu/collections/individual/index.php?occid=36453","PRESERVED_SPECIMEN",2000,6,6,"2000-06-06","WGS84","00918599"
"Hesperostipa comata",-108.175,40.865,"cdc,ambinst","US","PRESENT",100,"COLO","2573455591","https://botanydb.colorado.edu/collections/individual/index.php?occid=36656","PRESERVED_SPECIMEN",2000,6,7,"2000-06-07","WGS84","00985911"
"Hesperostipa comata",-106.60983,39.76902,"cdc,ambinst","US","PRESENT",800,"COLO","2573461454","https://botanydb.colorado.edu/collections/individual/index.php?occid=374960","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","02137305"
"Hesperostipa comata",-118.08645,42.5492,"cdc,ambinst","US","PRESENT",805,"OSU","3820534213","https://oregonflora.org/collections/individual/index.php?occid=988922","PRESERVED_SPECIMEN",2000,6,4,"2000-06-04","WGS84",NA
"Hesperostipa comata",-103.594247,40.2544,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573446715","https://botanydb.colorado.edu/collections/individual/index.php?occid=34804","PRESERVED_SPECIMEN",1999,5,29,"1999-05-29","WGS84","00530659"
