"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Heterotheca villosa",-102.500902,39.49732,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573325793","https://botanydb.colorado.edu/collections/individual/index.php?occid=103385","PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","00481499"
"Heterotheca villosa",-102.694561,38.611328,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573326026","https://botanydb.colorado.edu/collections/individual/index.php?occid=103400","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84","00490383"
"Heterotheca villosa",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573326242","https://botanydb.colorado.edu/collections/individual/index.php?occid=103514","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00621318"
"Heterotheca villosa",-103.58472,39.15972,"cdc,ambinst","US","PRESENT",250,"COLO","2573325976","https://botanydb.colorado.edu/collections/individual/index.php?occid=103523","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00627638"
"Heterotheca villosa",-102.40976,39.46106,"cdc,ambinst","US","PRESENT",1000,"COLO","2573326562","https://botanydb.colorado.edu/collections/individual/index.php?occid=103559","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00649418"
"Heterotheca villosa",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573326796","https://botanydb.colorado.edu/collections/individual/index.php?occid=103592","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00668814"
"Heterotheca villosa",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573326854","https://botanydb.colorado.edu/collections/individual/index.php?occid=103595","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00673327"
"Heterotheca villosa",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573325979","https://botanydb.colorado.edu/collections/individual/index.php?occid=103607","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00691014"
"Heterotheca villosa",-106.35685,39.10162,"cdc,ambinst","US","PRESENT",1000,"COLO","2573327339","https://botanydb.colorado.edu/collections/individual/index.php?occid=103831","PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","00878942"
"Heterotheca villosa",-93.234418,45.392004,"cdc,ambcol","US","PRESENT",800,"MIN","2265509334","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=62674","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","441856"
