"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Holcus lanatus",-123.335173,38.57882,"cdc,cdround","US","PRESENT",15,"iNaturalist","3873980981","https://www.inaturalist.org/observations/125774331","HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00","WGS84","125774331"
"Holcus lanatus",-120.84935,35.53525,"cdc,inmafu","US","PRESENT",458,"OBI","2270193461","https://cch2.org/portal/collections/individual/index.php?occid=187335","PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","OBI177846"
"Holcus lanatus",-120.882549,35.535806,"cdc,inmafu","US","PRESENT",601,"CDA","3059713261","https://cch2.org/portal/collections/individual/index.php?occid=4113459","PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","CDA-0034894"
"Holcus lanatus",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064845862","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16915943","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","MOAR0016684"
"Holcus lanatus",-121.506667,39.353889,"cdc,ambinst","US","PRESENT",805,"CHSC","2417997114","https://cch2.org/portal/collections/individual/index.php?occid=2082371","PRESERVED_SPECIMEN",2000,7,17,"2000-07-17","WGS84","CHSC078407"
"Holcus lanatus",-123.725556,45.070278,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859277038","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695430","PRESERVED_SPECIMEN",2000,8,9,"2000-08-09","WGS84","CM497381"
"Holcus lanatus",-122.055278,41.289167,"cdc,ambinst","US","PRESENT",402,"CHSC","2417997408","https://cch2.org/portal/collections/individual/index.php?occid=2082927","PRESERVED_SPECIMEN",2000,8,17,"2000-08-17","WGS84","CHSC078958"
"Holcus lanatus",-75.97417,40.62556,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858995077","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11695492","PRESERVED_SPECIMEN",1999,6,6,"1999-06-06","WGS84","CM498162"
"Holcus lanatus",-119.499497,38.59553,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404951026","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4585107","PRESERVED_SPECIMEN",1999,6,24,"1999-06-24","WGS84","29758"
"Holcus lanatus",-97.391667,19.92,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"FCB-BUAP","1895951169",NA,"PRESERVED_SPECIMEN",1998,2,27,"1998-02-27","WGS84","8808"
"Holcus lanatus",-121.16097,44.208393,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820663304","https://oregonflora.org/collections/individual/index.php?occid=1013165","PRESERVED_SPECIMEN",1998,6,16,"1998-06-16","WGS84",NA
"Holcus lanatus",-79.22167,40.42,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859252011","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694037","PRESERVED_SPECIMEN",1998,6,5,"1998-06-05","WGS84","CM480090"
"Holcus lanatus",-123.462222,42.128611,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820604655","https://oregonflora.org/collections/individual/index.php?occid=2309201","PRESERVED_SPECIMEN",1998,6,26,"1998-06-26","WGS84","OSC-V-255281"
"Holcus lanatus",-79.67861,40.22083,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859278978","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694045","PRESERVED_SPECIMEN",1998,7,17,"1998-07-17","WGS84","CM480316"
"Holcus lanatus",-79.62667,40.29167,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859252013","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694073","PRESERVED_SPECIMEN",1998,7,17,"1998-07-17","WGS84","CM481162"
"Holcus lanatus",-79.46389,40.34556,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859253998","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11694022","PRESERVED_SPECIMEN",1997,6,11,"1997-06-11","WGS84","CM479721"
"Holcus lanatus",-119.820449,38.877811,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404951022","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4585103","PRESERVED_SPECIMEN",1997,6,7,"1997-06-07","WGS84","29754"
"Holcus lanatus",-123.26598,44.7145,"cdc,ambinst","US","PRESENT",805,"OSU","3820646231","https://oregonflora.org/collections/individual/index.php?occid=988656","PRESERVED_SPECIMEN",1997,6,10,"1997-06-10","WGS84",NA
"Holcus lanatus",-123.93131,46.11929,"cdc,ambinst","US","PRESENT",805,"OSU","3820528216","https://oregonflora.org/collections/individual/index.php?occid=988659","PRESERVED_SPECIMEN",1997,6,10,"1997-06-10","WGS84",NA
"Holcus lanatus",-79.59278,40.50833,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858995001","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11693935","PRESERVED_SPECIMEN",1997,7,11,"1997-07-11","WGS84","CM478068"
"Holcus lanatus",-97.341111,19.822222,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"IIB-UV","1418339869",NA,"PRESERVED_SPECIMEN",1996,5,4,"1996-05-04","WGS84","CIB 11867"
"Holcus lanatus",-80.868571,40.414902,"cdc,colmafu,inmafu","US","PRESENT",415,"CM","2858998996","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11693694","PRESERVED_SPECIMEN",1996,6,28,"1996-06-28","WGS84","CM473906"
"Holcus lanatus",-80.18139,42.05722,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858996970","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11693931","PRESERVED_SPECIMEN",1996,6,27,"1996-06-27","WGS84","CM477976"
"Holcus lanatus",-78.233333,41.383333,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2858993914","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11692173","PRESERVED_SPECIMEN",1995,6,24,"1995-06-24","WGS84","CM397464"
"Holcus lanatus",-88.914847,33.99561,"cdc,inmafu","US","PRESENT",957,"BAYLU","3978745094","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26931661","PRESERVED_SPECIMEN",1995,6,7,"1995-06-07","WGS84","BAYLU035136"
"Holcus lanatus",-89.333961,33.648863,"cdc,gass84,inmafu","US","PRESENT",502,"MISSA","3829948931","https://sernecportal.org/portal/collections/individual/index.php?occid=5799360","PRESERVED_SPECIMEN",1995,6,6,"1995-06-06","WGS84","MISSA021945"
"Holcus lanatus",-121.2972,37.442595,"cdc,inmafu","US","PRESENT",301,"SHTC","4079080620","https://cch2.org/portal/collections/individual/index.php?occid=3616000","PRESERVED_SPECIMEN",1994,4,26,"1994-04-26","WGS84","SHTC00823"
"Holcus lanatus",-79.325,40.10972,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858995854","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691535","PRESERVED_SPECIMEN",1994,6,25,"1994-06-25","WGS84","CM390158"
"Holcus lanatus",-79.84889,40.17917,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858993880","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691543","PRESERVED_SPECIMEN",1994,6,4,"1994-06-04","WGS84","CM390235"
"Holcus lanatus",-79.6125,40.17917,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859252882","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691547","PRESERVED_SPECIMEN",1994,6,4,"1994-06-04","WGS84","CM390249"
"Holcus lanatus",-79.618309,41.531643,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2858992855","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691574","PRESERVED_SPECIMEN",1994,6,11,"1994-06-11","WGS84","CM390685"
"Holcus lanatus",-79.35,41.833333,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2858989875","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691578","PRESERVED_SPECIMEN",1994,6,11,"1994-06-11","WGS84","CM390752"
"Holcus lanatus",-79.64306,40.65306,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859250886","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691609","PRESERVED_SPECIMEN",1994,6,15,"1994-06-15","WGS84","CM391015"
"Holcus lanatus",-78.366667,41.433333,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859275868","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691829","PRESERVED_SPECIMEN",1994,6,12,"1994-06-12","WGS84","CM393014"
"Holcus lanatus",-80.00139,41.78611,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859276860","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691849","PRESERVED_SPECIMEN",1994,6,24,"1994-06-24","WGS84","CM393857"
"Holcus lanatus",-122.51703,38.439878,"cdc,colmafu,inmafu","US","PRESENT",130,"DAV","2421711351","https://cch2.org/portal/collections/individual/index.php?occid=1336739","PRESERVED_SPECIMEN",1994,6,12,"1994-06-12","WGS84",NA
"Holcus lanatus",-121.113402,35.7008,"cdc,inmafu","US","PRESENT",97,"OBI","2270194324","https://cch2.org/portal/collections/individual/index.php?occid=187329","PRESERVED_SPECIMEN",1994,6,10,"1994-06-10","WGS84","OBI177855"
"Holcus lanatus",-121.0675,39.601667,"cdc,ambinst","US","PRESENT",805,"CHSC","2417981127","https://cch2.org/portal/collections/individual/index.php?occid=2068861","PRESERVED_SPECIMEN",1994,6,27,"1994-06-27","WGS84","CHSC063210"
"Holcus lanatus",-120.423438,39.665181,"cdc,colmafu,inmafu","US","PRESENT",200,"RENO","4404866469","https://intermountainbiota.org/portal/collections/individual/index.php?occid=21600966","PRESERVED_SPECIMEN",1994,6,30,"1994-06-30","WGS84","102073"
"Holcus lanatus",-121.1719,35.69866,"cdc,inmafu","US","PRESENT",1000,"CDA","3059713266","https://cch2.org/portal/collections/individual/index.php?occid=4113458","PRESERVED_SPECIMEN",1994,6,10,"1994-06-10","WGS84","CDA-0033369"
"Holcus lanatus",-79.44722,40.4,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859251864","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691184","PRESERVED_SPECIMEN",1993,5,21,"1993-05-21","WGS84","CM384675"
"Holcus lanatus",-79.29306,40.325,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858994863","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691207","PRESERVED_SPECIMEN",1993,5,30,"1993-05-30","WGS84","CM384925"
"Holcus lanatus",-79.14917,40.29583,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858991836","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691239","PRESERVED_SPECIMEN",1993,5,29,"1993-05-29","WGS84","CM385136"
"Holcus lanatus",-79.05139,40.36528,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858992837","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691240","PRESERVED_SPECIMEN",1993,5,29,"1993-05-29","WGS84","CM385149"
"Holcus lanatus",-79.60222,40.54806,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858990848","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691260","PRESERVED_SPECIMEN",1993,5,28,"1993-05-28","WGS84","CM385217"
"Holcus lanatus",-120.4447,34.8011,"cdc,inmafu","US","PRESENT",1000,"OBI","2270196250","https://cch2.org/portal/collections/individual/index.php?occid=187334","PRESERVED_SPECIMEN",1993,5,NA,"1993-05","WGS84","OBI177847"
"Holcus lanatus",-76.391937,37.089239,"cdc,inmafu","US","PRESENT",258,"ODU","3496961133","https://sernecportal.org/portal/collections/individual/index.php?occid=21903735","PRESERVED_SPECIMEN",1993,5,10,"1993-05-10","WGS84","ODU00007779"
"Holcus lanatus",-79.022451,41.350481,"cdc,colmafu,inmafu","US","PRESENT",600,"CM","2858991821","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11690979","PRESERVED_SPECIMEN",1993,6,18,"1993-06-18","WGS84","CM380150"
"Holcus lanatus",-79.72222,40.60417,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859278832","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691075","PRESERVED_SPECIMEN",1993,6,30,"1993-06-30","WGS84","CM381848"
"Holcus lanatus",-79.63611,40.24472,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2858996834","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11691195","PRESERVED_SPECIMEN",1993,6,4,"1993-06-04","WGS84","CM384878"
