"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Hypochaeris radicata",-84.130469,35.863135,"cdc,inmafu","US","PRESENT",549,"TENN","1990128819","https://sernecportal.org/portal/collections/individual/index.php?occid=16863164","PRESERVED_SPECIMEN",2000,5,26,"2000-05-26","WGS84","TENN-V-0238626"
"Hypochaeris radicata",-123.666695,42.163674,"cdc,inmafu","US","PRESENT",301,"ASC","3091200487","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2082362","PRESERVED_SPECIMEN",2000,7,26,"2000-07-26","WGS84","ASC00074335"
"Hypochaeris radicata",-121.083218,35.691368,"cdc,inmafu","US","PRESENT",301,"OBI","2270196256","https://cch2.org/portal/collections/individual/index.php?occid=187900","PRESERVED_SPECIMEN",1999,6,6,"1999-06-06","WGS84","OBI173514"
"Hypochaeris radicata",-122.339167,39.389444,"cdc,ambinst","US","PRESENT",402,"CHSC","2418000462","https://cch2.org/portal/collections/individual/index.php?occid=2087538","PRESERVED_SPECIMEN",1998,4,7,"1998-04-07","WGS84","CHSC083301"
"Hypochaeris radicata",-75.19871,40.002971,"cdc,inmafu","US","PRESENT",155,"MOAR","4064854342","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11142239","PRESERVED_SPECIMEN",1998,6,13,"1998-06-13","WGS84","MOAR0000493"
"Hypochaeris radicata",-120.68652,35.25861,"cdc,inmafu","US","PRESENT",262,"OBI","2270198616","https://cch2.org/portal/collections/individual/index.php?occid=187903","PRESERVED_SPECIMEN",1998,6,25,"1998-06-25","WGS84","OBI173605"
"Hypochaeris radicata",-122.5825,40.070556,"cdc,ambinst","US","PRESENT",805,"CHSC","2418000817","https://cch2.org/portal/collections/individual/index.php?occid=2087554","PRESERVED_SPECIMEN",1998,6,9,"1998-06-09","WGS84","CHSC083316"
"Hypochaeris radicata",-121.1965,35.8506,"cdc,inmafu","US","PRESENT",600,"SBBG","3053452831","https://cch2.org/portal/collections/individual/index.php?occid=103846","PRESERVED_SPECIMEN",1997,4,24,"1997-04-24","WGS84","121705"
"Hypochaeris radicata",-123.94393,46.12062,"cdc,ambinst","US","PRESENT",805,"OSU","3820563776","https://oregonflora.org/collections/individual/index.php?occid=1047759","PRESERVED_SPECIMEN",1997,5,20,"1997-05-20","WGS84",NA
"Hypochaeris radicata",-123.26598,44.7145,"cdc,ambinst","US","PRESENT",805,"OSU","3820653608","https://oregonflora.org/collections/individual/index.php?occid=996817","PRESERVED_SPECIMEN",1997,6,10,"1997-06-10","WGS84",NA
"Hypochaeris radicata",-124.128504,41.160626,"cdc,inmafu","US","PRESENT",100,"HSC","2982074782","https://cch2.org/portal/collections/individual/index.php?occid=1832125","PRESERVED_SPECIMEN",1997,8,3,"1997-08-03","WGS84",NA
"Hypochaeris radicata",-99.642778,19.292222,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"INECOL","1893687584",NA,"PRESERVED_SPECIMEN",1996,7,10,"1996-07-10","WGS84","127027"
"Hypochaeris radicata",-99.583,19.283,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3307872202",NA,"PRESERVED_SPECIMEN",1996,7,10,"1996-07-10","WGS84","759723"
"Hypochaeris radicata",-99.368611,19.297778,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893687572",NA,"PRESERVED_SPECIMEN",1996,9,7,"1996-09-07","WGS84","127026"
"Hypochaeris radicata",-99.367,19.3,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308465494",NA,"PRESERVED_SPECIMEN",1996,9,7,"1996-09-07","WGS84","759707"
