"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Kallstroemia parviflora",-102.78083,38.47889,"cdc,ambinst","US","PRESENT",250,"COLO","2573438320","https://botanydb.colorado.edu/collections/individual/index.php?occid=28","PRESERVED_SPECIMEN",2000,8,20,"2000-08-20","WGS84","00653410"
"Kallstroemia parviflora",-104.406785,32.179809,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"UNM","1843882222","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4091826","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","UNM0118414"
"Kallstroemia parviflora",-107.000972,35.011735,"cdc,ambinst","US","PRESENT",750,"COLO","2573424086","https://botanydb.colorado.edu/collections/individual/index.php?occid=224141","PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84","01497007"
"Kallstroemia parviflora",-111.661,33.1207,"cdc,gass84,inmafu","US","PRESENT",700,"DES","2572937818","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24521180","PRESERVED_SPECIMEN",1999,9,6,"1999-09-06","WGS84","DES00091225"
"Kallstroemia parviflora",-112.18333,26.75,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",60,"FC-UABC","2629933056",NA,"PRESERVED_SPECIMEN",1999,10,15,"1999-10-15","WGS84","12166"
"Kallstroemia parviflora",-99.852222,17.728333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"FC-UNAM","1893909928",NA,"PRESERVED_SPECIMEN",1998,8,10,"1998-08-10","WGS84","61783"
"Kallstroemia parviflora",-106.122514,35.611145,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843838198","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4048464","PRESERVED_SPECIMEN",1998,9,14,"1998-09-14","WGS84","UNM0118408"
"Kallstroemia parviflora",-104.359,33.442,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843822140","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4031647","PRESERVED_SPECIMEN",1997,6,25,"1997-06-25","WGS84","UNM0118346"
"Kallstroemia parviflora",-109.558333,28.575,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",60,"CIBNOR","1894819454",NA,"PRESERVED_SPECIMEN",1997,9,21,"1997-09-21","WGS84","13475"
"Kallstroemia parviflora",-108.431467,31.96311,"cdc,colmafu,inmafu","US","PRESENT",460,"UTEP","3413520991","http://arctos.database.museum/guid/UTEP:Herb:56451","PRESERVED_SPECIMEN",1997,9,27,"1997-09-27","WGS84","UTEP:Herb:56451"
"Kallstroemia parviflora",-109.65763,31.88578,"cdc,colmafu,inmafu","US","PRESENT",500,"ASU","2270601913","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=673829","PRESERVED_SPECIMEN",1996,7,30,"1996-07-30","WGS84","ASU0090162"
"Kallstroemia parviflora",-106.757132,33.874992,"cdc,colmafu,inmafu","US","PRESENT",969,"UNM","1843818626","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4028915","PRESERVED_SPECIMEN",1996,8,6,"1996-08-06","WGS84","UNM0118410"
"Kallstroemia parviflora",-109.491,31.8863,"cdc,gass84,colmafu,inmafu","US","PRESENT",800,"ASU","2270602050","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=673830","PRESERVED_SPECIMEN",1996,8,14,"1996-08-14","WGS84","ASU0090140"
"Kallstroemia parviflora",-109.53288,32.1027,"cdc,colmafu,inmafu","US","PRESENT",1000,"ASU","2270602896","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=673875","PRESERVED_SPECIMEN",1996,8,14,"1996-08-14","WGS84","ASU0090163"
"Kallstroemia parviflora",-100.267031,25.088322,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1895340728",NA,"PRESERVED_SPECIMEN",1996,9,14,"1996-09-14","WGS84","00259265"
"Kallstroemia parviflora",-109.86217,32.00665,"cdc,colmafu,inmafu","US","PRESENT",500,"ASU","2270602203","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=673874","PRESERVED_SPECIMEN",1996,9,10,"1996-09-10","WGS84","ASU0090166"
"Kallstroemia parviflora",-100.445,25.36,"cdc,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"NO APLICA","1894425767",NA,"PRESERVED_SPECIMEN",1995,7,29,"1995-07-29","WGS84","NO DISPONIBLE"
"Kallstroemia parviflora",-98.156667,18.752778,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"FCB-BUAP","1895956545",NA,"PRESERVED_SPECIMEN",1995,8,18,"1995-08-18","WGS84","10833"
"Kallstroemia parviflora",-106.594,32.195,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843810582","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4020901","PRESERVED_SPECIMEN",1995,9,30,"1995-09-30","WGS84","UNM0118321"
"Kallstroemia parviflora",-103.54925,37.0224,"cdc,ambinst","US","PRESENT",500,"COLO","2573444528","https://botanydb.colorado.edu/collections/individual/index.php?occid=32","PRESERVED_SPECIMEN",1994,6,28,"1994-06-28","WGS84","00806380"
"Kallstroemia parviflora",-97.2958101,18.1834374,"cdc,cdrep,cdround,elmms,typstativ,osiic,inmano","MX","PRESENT",10,"CNS-UT","1895340780",NA,"PRESERVED_SPECIMEN",1994,7,4,"1994-07-04","WGS84","00029356"
"Kallstroemia parviflora",-97.438333,18.548333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"INECOL","1893692175",NA,"PRESERVED_SPECIMEN",1994,7,4,"1994-07-04","WGS84","121985"
"Kallstroemia parviflora",-98.011667,17.599167,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"CNS-UT","1895340743",NA,"PRESERVED_SPECIMEN",1994,7,10,"1994-07-10","WGS84","00029440"
"Kallstroemia parviflora",-97.25103,18.17908,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3308466956",NA,"PRESERVED_SPECIMEN",1994,7,4,"1994-07-04","WGS84","781518"
"Kallstroemia parviflora",-98.016667,17.61,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"INECOL","1893692162",NA,"PRESERVED_SPECIMEN",1994,7,10,"1994-07-10","WGS84","121984"
"Kallstroemia parviflora",-102.65,25.183,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",50,"IBUNAM","3308483808",NA,"PRESERVED_SPECIMEN",1994,8,9,"1994-08-09","WGS84","676402"
"Kallstroemia parviflora",-104.376806,35.65711,"cdc,colmafu,inmafu","US","PRESENT",969,"UNM","1842925689","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4010359","PRESERVED_SPECIMEN",1994,9,18,"1994-09-18","WGS84","UNM0118387"
"Kallstroemia parviflora",-106.551498,35.28354,"cdc,colmafu,inmafu","US","PRESENT",320,"UNM","1843818693","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4029045","PRESERVED_SPECIMEN",1994,10,4,"1994-10-04","WGS84","UNM0118320"
"Kallstroemia parviflora",-104.398249,33.674274,"cdc,colmafu,inmafu","US","PRESENT",1000,"UNM","1843906999","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4117121","PRESERVED_SPECIMEN",1993,6,12,"1993-06-12","WGS84","UNM0087576"
"Kallstroemia parviflora",-100.11,20.831667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893692181",NA,"PRESERVED_SPECIMEN",1993,7,14,"1993-07-14","WGS84","121981"
"Kallstroemia parviflora",-100.1120214,24.0556839,"cdc,cdrep,cdround,elmms,typstativ,osiic,inmano","MX","PRESENT",10,"CNS-UT","1895340740",NA,"PRESERVED_SPECIMEN",1993,7,20,"1993-07-20","WGS84","00259267"
"Kallstroemia parviflora",-108.92975,31.417357,"cdc,cdround,colmafu,inmafu","US","PRESENT",1000,"UNM","1843824329","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4033942","PRESERVED_SPECIMEN",1993,8,20,"1993-08-20","WGS84","UNM0118402"
"Kallstroemia parviflora",-102.796667,26.225,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",50,"INECOL","1893692178",NA,"PRESERVED_SPECIMEN",1993,9,17,"1993-09-17","WGS84","121986"
"Kallstroemia parviflora",-98.817119,30.499982,"cdc,inmafu","US","PRESENT",100,"BRIT","3969855398","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28909321","PRESERVED_SPECIMEN",1992,7,16,"1992-07-16","WGS84","BRIT235952"
"Kallstroemia parviflora",-107.708501,31.914182,"cdc,colmafu,inmafu","US","PRESENT",531,"UTEP","3413530417","http://arctos.database.museum/guid/UTEP:Herb:44355","PRESERVED_SPECIMEN",1991,9,15,"1991-09-15","WGS84","UTEP:Herb:44355"
"Kallstroemia parviflora",-106.550581,31.795329,"cdc,colmafu,inmafu","US","PRESENT",174,"UTEP","3413529619","http://arctos.database.museum/guid/UTEP:Herb:44354","PRESERVED_SPECIMEN",1991,10,24,"1991-10-24","WGS84","UTEP:Herb:44354"
"Kallstroemia parviflora",-100.391667,20.591667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893692157",NA,"PRESERVED_SPECIMEN",1990,8,12,"1990-08-12","WGS84","121979"
"Kallstroemia parviflora",-110.058333,30.991667,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"DCBS-DICTUS-USON","1893591488",NA,"PRESERVED_SPECIMEN",1990,10,5,"1990-10-05","WGS84","02111"
"Kallstroemia parviflora",-107.52222,29.75889,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",60,"IBUNAM","3308535631",NA,"PRESERVED_SPECIMEN",1989,8,29,"1989-08-29","WGS84","949538"
"Kallstroemia parviflora",-110.26166,31.34681,"cdc,colmafu,inmafu","US","PRESENT",1000,"ASU","2270600862","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=673885","PRESERVED_SPECIMEN",1989,8,30,"1989-08-30","WGS84","ASU0090172"
"Kallstroemia parviflora",-107.522222,29.758889,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895340799",NA,"PRESERVED_SPECIMEN",1989,8,29,"1989-08-29","WGS84","00259272"
