"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Koeleria macrantha",-103.66889,39.36,"cdc,ambinst","US","PRESENT",400,"COLO","2573451842","https://botanydb.colorado.edu/collections/individual/index.php?occid=36017","PRESERVED_SPECIMEN",2000,5,15,"2000-05-15","WGS84","00665232"
"Koeleria macrantha",-102.548908,39.483288,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573449261","https://botanydb.colorado.edu/collections/individual/index.php?occid=34997","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00532598"
"Koeleria macrantha",-103.71234,39.26062,"cdc,ambinst","US","PRESENT",250,"COLO","2573452734","https://botanydb.colorado.edu/collections/individual/index.php?occid=35946","PRESERVED_SPECIMEN",2000,6,24,"2000-06-24","WGS84","00609867"
"Koeleria macrantha",-106.9238,39.30123,"cdc,ambinst","US","PRESENT",500,"COLO","2573452818","https://botanydb.colorado.edu/collections/individual/index.php?occid=36300","PRESERVED_SPECIMEN",2000,6,5,"2000-06-05","WGS84","00890673"
"Koeleria macrantha",-110.886155,58.191722,"osiic,colmano,inmafu","CA","PRESENT",30,"University of Alberta Museums","883430363","https://search.museums.ualberta.ca/12-126631","PRESERVED_SPECIMEN",2000,6,18,"2000-06-18","WGS84","132346"
"Koeleria macrantha",-93.166507,45.382973,"cdc,cdround","US","PRESENT",278,"iNaturalist","4597386613","https://www.inaturalist.org/observations/202336818","HUMAN_OBSERVATION",2000,7,4,"2000-07-04T15:56","WGS84","202336818"
"Koeleria macrantha",-94.386642,49.649627,"cdc,cdround","CA","PRESENT",31,"iNaturalist","2429249973","https://www.inaturalist.org/observations/32894610","HUMAN_OBSERVATION",2000,7,8,"2000-07-08T11:21","WGS84","32894610"
"Koeleria macrantha",-106.31088,40.86506,"cdc,ambinst","US","PRESENT",500,"COLO","2573453913","https://botanydb.colorado.edu/collections/individual/index.php?occid=36359","PRESERVED_SPECIMEN",2000,7,10,"2000-07-10","WGS84","00901322"
"Koeleria macrantha",-93.747385,45.465571,"cdc,ambcol","US","PRESENT",969,"MIN","2265602201","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=98973","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84","473297"
"Koeleria macrantha",-104.628991,32.138435,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"UNM","1843884778","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4094513","PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84","UNM0103596"
"Koeleria macrantha",-116.99667,32.89556,"cdc,colmano,inmafu","US","PRESENT",80,"SD","3125155142","https://cch2.org/portal/collections/individual/index.php?occid=424241","PRESERVED_SPECIMEN",1999,4,27,"1999-04-27","WGS84",NA
"Koeleria macrantha",-104.840738,32.381588,"cdc,gass84,inmafu","US","PRESENT",969,"DES","1846546006","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3223275","PRESERVED_SPECIMEN",1999,5,11,"1999-05-11","WGS84","DES00043889"
"Koeleria macrantha",-105.607077,41.329751,"ambcol","US","PRESENT",348,"KU","176968013",NA,"PRESERVED_SPECIMEN",1999,6,4,"1999-06-04","WGS84","322769"
"Koeleria macrantha",-106.808451,41.442371,"ambcol","US","PRESENT",584,"KU","176968195",NA,"PRESERVED_SPECIMEN",1999,6,1,"1999-06-01","WGS84","322684"
"Koeleria macrantha",-103.874661,40.417863,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573448015","https://botanydb.colorado.edu/collections/individual/index.php?occid=35032","PRESERVED_SPECIMEN",1999,6,13,"1999-06-13","WGS84","00532945"
"Koeleria macrantha",-103.17385,40.50177,"cdc,ambinst","US","PRESENT",805,"COLO","2573446660","https://botanydb.colorado.edu/collections/individual/index.php?occid=35043","PRESERVED_SPECIMEN",1999,6,25,"1999-06-25","WGS84","00533059"
"Koeleria macrantha",-117.058333,45.956667,"cdc,cdround,gass84,ambinst","US","PRESENT",805,"OSU","3820653374","https://oregonflora.org/collections/individual/index.php?occid=991236","PRESERVED_SPECIMEN",1999,6,7,"1999-06-07","WGS84",NA
"Koeleria macrantha",-117.1938727,45.9412728,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073810131",NA,"PRESERVED_SPECIMEN",1999,6,30,"1999-06-30","WGS84","123851"
"Koeleria macrantha",-101.558537,40.434608,"ambcol","US","PRESENT",409,"KU","176968131",NA,"PRESERVED_SPECIMEN",1999,7,8,"1999-07-08","WGS84","332991"
"Koeleria macrantha",-117.2516,42.3433,"cdc,inmano","US","PRESENT",6,"VALE","4074152976",NA,"PRESERVED_SPECIMEN",1999,7,1,"1999-07-01","WGS84","4142"
"Koeleria macrantha",-118.23111,48.56212,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404973377","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4670494","PRESERVED_SPECIMEN",1999,7,11,"1999-07-11","WGS84","30054"
"Koeleria macrantha",-118.831713,48.826305,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404972907","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4670546","PRESERVED_SPECIMEN",1999,7,9,"1999-07-09","WGS84","30077"
"Koeleria macrantha",-112.929611,53.707154,"osiic,colmano,inmafu","CA","PRESENT",284,"University of Alberta Museums","883377757","https://search.museums.ualberta.ca/12-73692","PRESERVED_SPECIMEN",1999,7,18,"1999-07-18","WGS84","102500"
"Koeleria macrantha",-103.835758,44.492762,"cdc,inmafu","US","PRESENT",706,"BHSC","2821218378","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25282963","PRESERVED_SPECIMEN",1999,9,15,"1999-09-15","WGS84","BHSC0026728"
"Koeleria macrantha",-102.168717,43.987247,"cdc,inmafu","US","PRESENT",969,"BHSC","2821218372","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25282964","PRESERVED_SPECIMEN",1999,10,2,"1999-10-02","WGS84","BHSC0026884"
"Koeleria macrantha",-111.030779,33.335907,"cdc,cdround,gass84,inmano","US","PRESENT",1000,"USFS","4161542954","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=275039","PRESERVED_SPECIMEN",1999,10,15,"1999-10-15","WGS84","TEUI0003910"
"Koeleria macrantha",-121.045942,35.670038,"cdc,inmafu","US","PRESENT",28,"OBI","2270197770","https://cch2.org/portal/collections/individual/index.php?occid=188529","PRESERVED_SPECIMEN",1998,5,27,"1998-05-27","WGS84","OBI180143"
"Koeleria macrantha",-121.0475,35.6705,"cdc,inmafu","US","PRESENT",400,"OBI","2270195647","https://cch2.org/portal/collections/individual/index.php?occid=188539","PRESERVED_SPECIMEN",1998,5,27,"1998-05-27","WGS84","OBI180146"
"Koeleria macrantha",-110.304,32.8962,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270569154","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3366183","PRESERVED_SPECIMEN",1998,5,23,"1998-05-23","WGS84","ASU0070372"
"Koeleria macrantha",-104.85267,37.93594,"cdc,ambinst","US","PRESENT",250,"COLO","2573455633","https://botanydb.colorado.edu/collections/individual/index.php?occid=36482","PRESERVED_SPECIMEN",1998,5,25,"1998-05-25","WGS84","00926121"
"Koeleria macrantha",-112.13889,36.05556,"cdc,inmafu,diffown","US","PRESENT",100,"ASC","3091206722","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1028840","PRESERVED_SPECIMEN",1998,6,25,"1998-06-25","WGS84","ASC00067787"
"Koeleria macrantha",-117.04085,33.41927,"cdc,inmafu","US","PRESENT",162,"RSA","2430138525","https://cch2.org/portal/collections/individual/index.php?occid=1110166","PRESERVED_SPECIMEN",1998,6,8,"1998-06-08","WGS84",NA
