"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Koeleria pyramidata",-90.8304,40.637139,"cdc,inmafu","US","PRESENT",969,"VT","3970640351","https://nansh.org/portal/collections/individual/index.php?occid=28479289","PRESERVED_SPECIMEN",1997,6,5,"1997-06-05","WGS84","UVMVT298573"
"Koeleria pyramidata",-116.4441674,46.7945753,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073878645",NA,"PRESERVED_SPECIMEN",1995,6,8,"1995-06-08","WGS84","129577"
"Koeleria pyramidata",-116.9861804,46.693071,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073956778",NA,"PRESERVED_SPECIMEN",1995,7,11,"1995-07-11","WGS84","113157"
"Koeleria pyramidata",-110.940946,33.902394,"cdc,colmafu,inmafu","US","PRESENT",602,"UTEP","3122395571","http://arctos.database.museum/guid/UTEP:Herb:54240","PRESERVED_SPECIMEN",1992,5,16,"1992-05-16","WGS84","UTEP:Herb:54240"
"Koeleria pyramidata",-113.3577646,45.7197048,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073883365",NA,"PRESERVED_SPECIMEN",1992,6,21,"1992-06-21","WGS84","105606"
"Koeleria pyramidata",-110.075278,30.563611,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"DCBS-DICTUS-USON","1893591122",NA,"PRESERVED_SPECIMEN",1991,6,13,"1991-06-13","WGS84","03149"
"Koeleria pyramidata",-118.6473651,48.7212524,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073867457",NA,"PRESERVED_SPECIMEN",1991,7,8,"1991-07-08","WGS84","125299"
"Koeleria pyramidata",-100.9439869,25.3500102,"cdc,cdrep,cdround,elmms,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1895446607",NA,"PRESERVED_SPECIMEN",1990,8,22,"1990-08-22","WGS84","00080990"
"Koeleria pyramidata",-107.591667,27.041667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CIIDIR-IPN","1895112111",NA,"PRESERVED_SPECIMEN",1989,9,13,"1989-09-13","WGS84","NO DISPONIBLE"
"Koeleria pyramidata",-96.25,16.166667,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",100,"CNS-UT","1895446522",NA,"PRESERVED_SPECIMEN",1989,12,10,"1989-12-10","WGS84","00080986"
"Koeleria pyramidata",-115.5503,30.9794,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"CalBG","4168452886",NA,"PRESERVED_SPECIMEN",1988,7,20,"1988-07-20","WGS84","836479"
"Koeleria pyramidata",-107.0456967,25.9575084,"cdc,cdrep,cdround,elmms,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1895446530",NA,"PRESERVED_SPECIMEN",1987,8,27,"1987-08-27","WGS84","00080972"
"Koeleria pyramidata",-116.714755,46.391342,"cdc,cdround,ambinst","US","PRESENT",805,"OSU","3820546142","https://oregonflora.org/collections/individual/index.php?occid=1010249","PRESERVED_SPECIMEN",1986,6,5,"1986-06-05","WGS84",NA
"Koeleria pyramidata",-99.8448539,23.8027544,"cdc,cdrep,cdround,elmms,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895446560",NA,"PRESERVED_SPECIMEN",1986,8,22,"1986-08-22","WGS84","00080983"
"Koeleria pyramidata",-100.2968757,25.2113681,"cdc,cdrep,cdround,elmms,typstativ,osiic,inmano","MX","PRESENT",50,"CNS-UT","1895446586",NA,"PRESERVED_SPECIMEN",1986,8,29,"1986-08-29","WGS84","00080987"
