"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Lespedeza capitata",-89.0225,39.823889,"cdc,gass84,inmafu","US","PRESENT",100,"EIU","4081306495","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4897832","PRESERVED_SPECIMEN",2000,8,4,"2000-08-04","WGS84",NA
"Lespedeza capitata",-94.251125,45.948517,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265444391","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=189039","PRESERVED_SPECIMEN",2000,9,17,"2000-09-17","WGS84","440647"
"Lespedeza capitata",-93.32778,46.688354,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265349745","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=102106","PRESERVED_SPECIMEN",1998,7,6,"1998-07-06","WGS84","455337"
"Lespedeza capitata",-92.339224,44.519991,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265495558","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=5329","PRESERVED_SPECIMEN",1998,8,18,"1998-08-18","WGS84","436879"
"Lespedeza capitata",-92.498575,42.740748,"ambcol","US","PRESENT",419,"KU","176972107",NA,"PRESERVED_SPECIMEN",1997,8,30,"1997-08-30","WGS84","314120"
"Lespedeza capitata",-94.401883,44.290079,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265427793","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=172923","PRESERVED_SPECIMEN",1997,8,28,"1997-08-28","WGS84","489353"
"Lespedeza capitata",-92.480111,42.693189,"ambcol","US","PRESENT",861,"KU","176971881",NA,"PRESERVED_SPECIMEN",1996,8,31,"1996-08-31","WGS84","312058"
"Lespedeza capitata",-95.947693,44.348727,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265348962","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=102112","PRESERVED_SPECIMEN",1996,8,23,"1996-08-23","WGS84","516077"
"Lespedeza capitata",-95.430806,38.931395,"ambcol","US","PRESENT",459,"KU","176972193",NA,"PRESERVED_SPECIMEN",1995,9,10,"1995-09-10","WGS84","114550"
"Lespedeza capitata",-95.451123,38.904398,"ambcol","US","PRESENT",742,"KU","176972086",NA,"PRESERVED_SPECIMEN",1995,10,6,"1995-10-06","WGS84","114537"
"Lespedeza capitata",-97.394406,39.114097,"ambcol","US","PRESENT",574,"KU","176972172",NA,"PRESERVED_SPECIMEN",1994,1,7,"1994-01-07","WGS84","109934"
