"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Liatris punctata",-103.085688,38.93686,"ambcol","US","PRESENT",569,"KU","176973997",NA,"PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","335978"
"Liatris punctata",-103.210296,39.127914,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573326383","https://botanydb.colorado.edu/collections/individual/index.php?occid=103373","PRESERVED_SPECIMEN",2000,8,16,"2000-08-16","WGS84","00477182"
"Liatris punctata",-102.500774,39.511921,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573325839","https://botanydb.colorado.edu/collections/individual/index.php?occid=103379","PRESERVED_SPECIMEN",2000,8,15,"2000-08-15","WGS84","00478495"
"Liatris punctata",-105.80654,38.187727,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573325906","https://botanydb.colorado.edu/collections/individual/index.php?occid=103405","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00498311"
"Liatris punctata",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573326974","https://botanydb.colorado.edu/collections/individual/index.php?occid=103550","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00646232"
"Liatris punctata",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573326852","https://botanydb.colorado.edu/collections/individual/index.php?occid=103571","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00659797"
"Liatris punctata",-102.98444,39.28472,"cdc,ambinst","US","PRESENT",250,"COLO","2573326740","https://botanydb.colorado.edu/collections/individual/index.php?occid=103609","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84","00691295"
"Liatris punctata",-94.90439,43.522882,"cdc,ambcol","US","PRESENT",800,"MIN","2265438757","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=183395","PRESERVED_SPECIMEN",1999,7,30,"1999-07-30","WGS84","454385"
"Liatris punctata",-94.442024,44.33349,"cdc,ambcol","US","PRESENT",800,"MIN","2265455960","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=19657","PRESERVED_SPECIMEN",1999,7,16,"1999-07-16","WGS84","479725"
"Liatris punctata",-101.010372,38.86958,"ambcol","US","PRESENT",891,"KU","176974534",NA,"PRESERVED_SPECIMEN",1999,8,25,"1999-08-25","WGS84","325145"
